st_id,st_name,lng,lat
466880,板橋,121.4420167,24.99764722
466900,淡水,121.4489056,25.16488889
466910,鞍部,121.5297306,25.18258611
466920,臺北,121.5148833,25.03760556
466930,竹子湖,121.5445472,25.16207778
466940,基隆,121.740475,25.13331389
466950,彭佳嶼,122.0797444,25.627975
466990,花蓮,121.613275,23.97512778
467050,新屋,121.0474917,25.006725
467060,蘇澳,121.8573722,24.59673611
467080,宜蘭,121.7565278,24.763975
467110,金門,118.2892806,24.40730556
467300,東吉島,119.6674667,23.25695
467350,澎湖,119.5630944,23.56550278
467410,臺南,120.2047722,22.99323889
467420,永康,120.2367,23.03838611
467440,高雄,120.3157333,22.56599167
467480,嘉義,120.4329056,23.495925
467490,臺中,120.684075,24.14573611
467530,阿里山,120.8132417,23.50820833
467540,大武,120.9037889,22.355675
467550,玉山,120.9595222,23.48761389
467570,新竹,121.0142194,24.82785278
467590,恆春,120.7463389,22.00389722
467610,成功,121.3734278,23.09748611
467620,蘭嶼,121.5583389,22.03696944
467650,日月潭,120.90805,23.881325
467660,臺東,121.1545861,22.75221111
467770,梧棲,120.5233806,24.25600278
467780,七股,120.0861528,23.14700556
467990,馬祖,119.9234194,26.16926944
C0U640,羅東,121.747817,24.683783
C1U500,牛鬥,121.573656,24.637836
C1U660,三星,121.6544,24.670636
C1U670,寒溪,121.716744,24.634186
C1U510,古魯,121.671639,24.571639
C0U680,冬山,121.793544,24.632419
C1U690,新寮,121.751267,24.625561
C0U650,玉蘭,121.587061,24.675286
C0U780,五結,121.797944,24.686369
C0U710,太平山,121.525656,24.505486
C1U720,南山,121.381669,24.437419
C0U730,思源,121.356664,24.397208
C1U630,再連,121.679411,24.715053
C0U520,雙連埤,121.641303,24.753033
C1U610,大礁溪,121.678333,24.785958
C0U600,礁溪,121.765536,24.817544
C1U580,北關,121.873428,24.907222
C0U750,龜山島,121.953133,24.841667
C1U590,頭城,121.814639,24.851928
C0U620,壯圍,121.78965,24.743703
C0A970,三貂角,122.002058,25.007606
C0T820,天祥,121.495639,24.179597
C1T810,慈恩,121.388386,24.192044
C1T800,洛韶,121.453956,24.204558
C1T830,布洛灣,121.571269,24.171842
C0T840,新城,121.609461,24.037928
C0T9C0,富世,121.629633,24.148153
C1Z090,三棧,121.605119,24.116964
C0Z100,東華,121.549833,23.89525
C0T870,鯉魚潭,121.508944,23.935639
C1T890,壽豐,121.507878,23.869097
C1T860,銅門,121.492692,23.966031
C1T980,龍澗,121.411328,24.023289
C1T920,中興,121.498653,23.769503
C1T850,吉安,121.562756,23.973325
