"","time","rf","Press","temperture","Hum"
"1",2017-03-19 01:00:00,"0.0","1009.6","21.0","92"
"2",2017-03-19 02:00:00,"0.0","1009.7","20.9","93"
"3",2017-03-19 03:00:00,"0.0","1009.6","20.6","93"
"4",2017-03-19 04:00:00,"0.0","1009.6","19.8","96"
"5",2017-03-19 05:00:00,"0.0","1009.9","19.4","98"
"6",2017-03-19 06:00:00,"0.0","1010.4","19.5","99"
"7",2017-03-19 07:00:00,"0.0","1010.7","19.7","99"
"8",2017-03-19 08:00:00,"0.0","1010.9","21.3","92"
"9",2017-03-19 09:00:00,"0.0","1010.1","24.3","81"
"10",2017-03-19 10:00:00,"0.0","1009.3","28.1","64"
"11",2017-03-19 11:00:00,"0.0","1008.5","29.9","52"
"12",2017-03-19 12:00:00,"0.0","1008.6","26.4","66"
"13",2017-03-19 13:00:00,"0.0","1008.0","26.6","68"
"14",2017-03-19 14:00:00,"0.0","1007.8","25.2","71"
"15",2017-03-19 15:00:00,"0.0","1007.5","26.4","67"
"16",2017-03-19 16:00:00,"0.0","1007.9","25.6","69"
"17",2017-03-19 17:00:00,"0.0","1008.4","24.8","72"
"18",2017-03-19 18:00:00,"0.0","1008.8","24.1","74"
"19",2017-03-19 19:00:00,"0.0","1009.1","23.3","80"
"20",2017-03-19 20:00:00,"0.0","1009.6","22.6","84"
"21",2017-03-19 21:00:00,"0.0","1010.1","22.0","86"
"22",2017-03-19 22:00:00,"0.0","1010.1","21.2","90"
"23",2017-03-19 23:00:00,"0.0","1009.8","21.0","91"
"24",2017-03-20 00:00:00,"0.0","1009.3","20.5","94"
"25",2017-03-20 01:00:00,"0.0","X","X","X"
"26",2017-03-20 02:00:00,"0.0","1007.4","19.7","98"
"27",2017-03-20 03:00:00,"0.0","1006.3","21.0","94"
"28",2017-03-20 04:00:00,"0.0","1005.8","22.0","89"
"29",2017-03-20 05:00:00,"0.0","1006.3","22.1","89"
"30",2017-03-20 06:00:00,"0.0","1006.9","21.3","93"
"31",2017-03-20 07:00:00,"0.0","1007.7","21.4","95"
"32",2017-03-20 08:00:00,"0.0","1008.1","23.1","85"
"33",2017-03-20 09:00:00,"0.0","1008.2","25.3","76"
"34",2017-03-20 10:00:00,"0.0","1008.0","27.3","69"
"35",2017-03-20 11:00:00,"0.0","1007.5","28.2","65"
"36",2017-03-20 12:00:00,"0.0","1006.9","27.9","64"
"37",2017-03-20 13:00:00,"0.0","1006.0","29.0","60"
"38",2017-03-20 14:00:00,"0.0","1005.1","29.7","56"
"39",2017-03-20 15:00:00,"0.0","1004.5","28.1","62"
"40",2017-03-20 16:00:00,"0.0","X","X","X"
"41",2017-03-20 17:00:00,"X","X","X","X"
"42",2017-03-20 18:00:00,"X","X","X","X"
"43",2017-03-20 19:00:00,"X","X","X","X"
"44",2017-03-20 20:00:00,"X","X","X","X"
"45",2017-03-20 21:00:00,"X","X","X","X"
"46",2017-03-20 22:00:00,"X","X","X","X"
"47",2017-03-20 23:00:00,"X","X","X","X"
"48",2017-03-21 00:00:00,"X","1006.7","21.6","93"
"49",2017-03-21 01:00:00,"0.0","1006.4","21.1","96"
"50",2017-03-21 02:00:00,"0.0","1006.0","20.6","98"
"51",2017-03-21 03:00:00,"0.0","1005.8","20.4","97"
"52",2017-03-21 04:00:00,"0.0","1006.0","20.7","96"
"53",2017-03-21 05:00:00,"0.0","1006.6","20.5","96"
"54",2017-03-21 06:00:00,"0.0","1007.1","20.2","97"
"55",2017-03-21 07:00:00,"0.0","1007.8","21.3","95"
"56",2017-03-21 08:00:00,"0.0","1008.2","24.5","79"
"57",2017-03-21 09:00:00,"0.0","1007.7","26.1","69"
"58",2017-03-21 10:00:00,"0.0","1007.7","27.3","65"
"59",2017-03-21 11:00:00,"0.0","1007.1","28.6","60"
"60",2017-03-21 12:00:00,"0.0","1006.3","29.3","57"
"61",2017-03-21 13:00:00,"0.0","1005.1","30.0","54"
"62",2017-03-21 14:00:00,"0.0","1004.3","30.6","51"
"63",2017-03-21 15:00:00,"0.0","1003.8","30.2","57"
"64",2017-03-21 16:00:00,"0.0","1004.2","27.9","61"
"65",2017-03-21 17:00:00,"0.0","1004.6","26.1","64"
"66",2017-03-21 18:00:00,"0.0","1005.2","24.4","68"
"67",2017-03-21 19:00:00,"0.0","1006.1","22.6","74"
"68",2017-03-21 20:00:00,"0.0","1007.0","21.6","78"
"69",2017-03-21 21:00:00,"0.0","1007.5","21.0","80"
"70",2017-03-21 22:00:00,"0.0","1007.5","20.6","81"
"71",2017-03-21 23:00:00,"0.0","1007.4","20.4","82"
"72",2017-03-22 00:00:00,"0.0","1007.2","19.9","82"
"73",2017-03-22 01:00:00,"0.0","1006.6","19.4","82"
"74",2017-03-22 02:00:00,"0.0","1006.1","19.2","82"
"75",2017-03-22 03:00:00,"0.0","X","X","X"
"76",2017-03-22 04:00:00,"0.0","1005.4","18.3","86"
"77",2017-03-22 05:00:00,"0.0","1005.6","18.2","84"
"78",2017-03-22 06:00:00,"0.0","1005.8","18.1","87"
"79",2017-03-22 07:00:00,"0.0","1005.9","18.9","85"
"80",2017-03-22 08:00:00,"0.0","1006.5","21.7","76"
"81",2017-03-22 09:00:00,"0.0","1006.9","24.0","68"
"82",2017-03-22 10:00:00,"0.0","X","X","X"
"83",2017-03-22 11:00:00,"0.0","X","X","X"
"84",2017-03-22 12:00:00,"0.0","X","X","X"
"85",2017-03-22 13:00:00,"0.0","X","X","X"
