"","time","Tem"
"1",2017-03-14 01:00:00,"21.1"
"2",2017-03-14 02:00:00,"20.4"
"3",2017-03-14 03:00:00,"X"
"4",2017-03-14 04:00:00,"20.0"
"5",2017-03-14 05:00:00,"19.7"
"6",2017-03-14 06:00:00,"18.3"
"7",2017-03-14 07:00:00,"18.1"
"8",2017-03-14 08:00:00,"18.8"
"9",2017-03-14 09:00:00,"18.1"
"10",2017-03-14 10:00:00,"18.0"
"11",2017-03-14 11:00:00,"19.4"
"12",2017-03-14 12:00:00,"23.8"
"13",2017-03-14 13:00:00,"25.1"
"14",2017-03-14 14:00:00,"25.3"
"15",2017-03-14 15:00:00,"25.3"
"16",2017-03-14 16:00:00,"22.8"
"17",2017-03-14 17:00:00,"22.5"
"18",2017-03-14 18:00:00,"19.4"
"19",2017-03-14 19:00:00,"18.2"
"20",2017-03-14 20:00:00,"17.6"
"21",2017-03-14 21:00:00,"17.5"
"22",2017-03-14 22:00:00,"17.8"
"23",2017-03-14 23:00:00,"16.6"
"24",2017-03-15 00:00:00,"16.8"
"25",2017-03-15 01:00:00,"16.5"
"26",2017-03-15 02:00:00,"16.8"
"27",2017-03-15 03:00:00,"16.6"
"28",2017-03-15 04:00:00,"15.8"
"29",2017-03-15 05:00:00,"16.3"
"30",2017-03-15 06:00:00,"16.1"
"31",2017-03-15 07:00:00,"16.8"
"32",2017-03-15 08:00:00,"17.6"
"33",2017-03-15 09:00:00,"17.9"
"34",2017-03-15 10:00:00,"18.5"
"35",2017-03-15 11:00:00,"21.6"
"36",2017-03-15 12:00:00,"23.0"
"37",2017-03-15 13:00:00,"23.0"
"38",2017-03-15 14:00:00,"24.1"
"39",2017-03-15 15:00:00,"24.7"
"40",2017-03-15 16:00:00,"22.7"
"41",2017-03-15 17:00:00,"22.8"
"42",2017-03-15 18:00:00,"22.0"
"43",2017-03-15 19:00:00,"21.0"
"44",2017-03-15 20:00:00,"20.2"
"45",2017-03-15 21:00:00,"19.1"
"46",2017-03-15 22:00:00,"18.9"
"47",2017-03-15 23:00:00,"19.3"
"48",2017-03-16 00:00:00,"19.5"
"49",2017-03-16 01:00:00,"18.7"
"50",2017-03-16 02:00:00,"18.5"
"51",2017-03-16 03:00:00,"17.9"
"52",2017-03-16 04:00:00,"17.6"
"53",2017-03-16 05:00:00,"X"
"54",2017-03-16 06:00:00,"16.8"
"55",2017-03-16 07:00:00,"17.7"
"56",2017-03-16 08:00:00,"18.5"
"57",2017-03-16 09:00:00,"19.8"
"58",2017-03-16 10:00:00,"23.6"
"59",2017-03-16 11:00:00,"27.1"
"60",2017-03-16 12:00:00,"23.8"
"61",2017-03-16 13:00:00,"24.3"
"62",2017-03-16 14:00:00,"23.7"
"63",2017-03-16 15:00:00,"23.7"
"64",2017-03-16 16:00:00,"X"
"65",2017-03-16 17:00:00,"21.7"
"66",2017-03-16 18:00:00,"20.7"
"67",2017-03-16 19:00:00,"20.1"
"68",2017-03-16 20:00:00,"19.7"
"69",2017-03-16 21:00:00,"19.0"
"70",2017-03-16 22:00:00,"18.8"
"71",2017-03-16 23:00:00,"18.9"
"72",2017-03-17 00:00:00,"18.7"
"73",2017-03-17 01:00:00,"18.6"
"74",2017-03-17 02:00:00,"18.5"
"75",2017-03-17 03:00:00,"18.3"
"76",2017-03-17 04:00:00,"17.3"
"77",2017-03-17 05:00:00,"16.9"
"78",2017-03-17 06:00:00,"16.6"
"79",2017-03-17 07:00:00,"17.6"
"80",2017-03-17 08:00:00,"19.2"
"81",2017-03-17 09:00:00,"21.5"
"82",2017-03-17 10:00:00,"22.8"
"83",2017-03-17 11:00:00,"24.6"
"84",2017-03-17 12:00:00,"25.2"
"85",2017-03-17 13:00:00,"25.6"
"86",2017-03-17 14:00:00,"24.7"
"87",2017-03-17 15:00:00,"24.9"
"88",2017-03-17 16:00:00,"24.9"
"89",2017-03-17 17:00:00,"24.2"
"90",2017-03-17 18:00:00,"22.4"
"91",2017-03-17 19:00:00,"21.6"
"92",2017-03-17 20:00:00,"20.7"
"93",2017-03-17 21:00:00,"20.3"
"94",2017-03-17 22:00:00,"20.0"
"95",2017-03-17 23:00:00,"20.0"
"96",2017-03-18 00:00:00,"19.8"
"97",2017-03-18 01:00:00,"19.6"
"98",2017-03-18 02:00:00,"19.9"
"99",2017-03-18 03:00:00,"19.4"
"100",2017-03-18 04:00:00,"18.9"
"101",2017-03-18 05:00:00,"19.1"
"102",2017-03-18 06:00:00,"18.8"
"103",2017-03-18 07:00:00,"19.2"
"104",2017-03-18 08:00:00,"20.0"
"105",2017-03-18 09:00:00,"21.8"
"106",2017-03-18 10:00:00,"22.9"
