"","Hour","variable","value"
"1",1,"2017-01-17",""
"2",2,"2017-01-17",""
"3",3,"2017-01-17",""
"4",4,"2017-01-17",""
"5",5,"2017-01-17",""
"6",6,"2017-01-17",""
"7",7,"2017-01-17",""
"8",8,"2017-01-17",""
"9",9,"2017-01-17",""
"10",10,"2017-01-17",""
"11",11,"2017-01-17",""
"12",12,"2017-01-17",""
"13",13,"2017-01-17",""
"14",14,"2017-01-17",""
"15",15,"2017-01-17",""
"16",16,"2017-01-17",""
"17",17,"2017-01-17",""
"18",18,"2017-01-17",""
"19",19,"2017-01-17",""
"20",20,"2017-01-17",""
"21",21,"2017-01-17",""
"22",22,"2017-01-17",""
"23",23,"2017-01-17",""
"24",24,"2017-01-17",""
"25",1,"2017-01-18",""
"26",2,"2017-01-18",""
"27",3,"2017-01-18",""
"28",4,"2017-01-18",""
"29",5,"2017-01-18",""
"30",6,"2017-01-18",""
"31",7,"2017-01-18",""
"32",8,"2017-01-18",""
"33",9,"2017-01-18",""
"34",10,"2017-01-18",""
"35",11,"2017-01-18",""
"36",12,"2017-01-18",""
"37",13,"2017-01-18",""
"38",14,"2017-01-18",""
"39",15,"2017-01-18",""
"40",16,"2017-01-18",""
"41",17,"2017-01-18",""
"42",18,"2017-01-18",""
"43",19,"2017-01-18",""
"44",20,"2017-01-18",""
"45",21,"2017-01-18",""
"46",22,"2017-01-18",""
"47",23,"2017-01-18",""
"48",24,"2017-01-18",""
"49",1,"2017-01-19",""
"50",2,"2017-01-19",""
"51",3,"2017-01-19",""
"52",4,"2017-01-19",""
"53",5,"2017-01-19",""
"54",6,"2017-01-19",""
"55",7,"2017-01-19",""
"56",8,"2017-01-19",""
"57",9,"2017-01-19",""
"58",10,"2017-01-19",""
"59",11,"2017-01-19",""
"60",12,"2017-01-19",""
"61",13,"2017-01-19",""
"62",14,"2017-01-19",""
"63",15,"2017-01-19",""
"64",16,"2017-01-19",""
"65",17,"2017-01-19",""
"66",18,"2017-01-19",""
"67",19,"2017-01-19",""
"68",20,"2017-01-19",""
"69",21,"2017-01-19",""
"70",22,"2017-01-19",""
"71",23,"2017-01-19",""
"72",24,"2017-01-19",""
"73",1,"2017-01-20",""
"74",2,"2017-01-20",""
"75",3,"2017-01-20",""
"76",4,"2017-01-20",""
"77",5,"2017-01-20",""
"78",6,"2017-01-20",""
"79",7,"2017-01-20",""
"80",8,"2017-01-20",""
"81",9,"2017-01-20",""
"82",10,"2017-01-20",""
"83",11,"2017-01-20",""
"84",12,"2017-01-20",""
"85",13,"2017-01-20",""
"86",14,"2017-01-20",""
"87",15,"2017-01-20",""
"88",16,"2017-01-20",""
"89",17,"2017-01-20",""
"90",18,"2017-01-20",""
"91",19,"2017-01-20",""
"92",20,"2017-01-20",""
"93",21,"2017-01-20",""
"94",22,"2017-01-20",""
"95",23,"2017-01-20",""
"96",24,"2017-01-20",""
"97",1,"2017-01-21",""
"98",2,"2017-01-21",""
"99",3,"2017-01-21",""
"100",4,"2017-01-21",""
"101",5,"2017-01-21",""
"102",6,"2017-01-21",""
"103",7,"2017-01-21",""
"104",8,"2017-01-21",""
"105",9,"2017-01-21",""
"106",10,"2017-01-21",""
"107",11,"2017-01-21",""
"108",12,"2017-01-21",""
"109",13,"2017-01-21",""
"110",14,"2017-01-21",""
"111",15,"2017-01-21",""
"112",16,"2017-01-21",""
"113",17,"2017-01-21",""
"114",18,"2017-01-21",""
"115",19,"2017-01-21",""
"116",20,"2017-01-21",""
"117",21,"2017-01-21",""
"118",22,"2017-01-21",""
"119",23,"2017-01-21",""
"120",24,"2017-01-21",""
"121",1,"2017-01-22",""
"122",2,"2017-01-22",""
"123",3,"2017-01-22",""
"124",4,"2017-01-22",""
"125",5,"2017-01-22",""
"126",6,"2017-01-22",""
"127",7,"2017-01-22",""
"128",8,"2017-01-22",""
"129",9,"2017-01-22",""
