"","Hour","variable","value"
"1",1,"2017-01-17","1021.4"
"2",2,"2017-01-17","1021.1"
"3",3,"2017-01-17","1020.4"
"4",4,"2017-01-17","1020.7"
"5",5,"2017-01-17","1020.8"
"6",6,"2017-01-17","1021.5"
"7",7,"2017-01-17","1021.8"
"8",8,"2017-01-17","1022.2"
"9",9,"2017-01-17","1022.5"
"10",10,"2017-01-17","1022.3"
"11",11,"2017-01-17","1021.5"
"12",12,"2017-01-17","1020.4"
"13",13,"2017-01-17","1019.3"
"14",14,"2017-01-17","1018.9"
"15",15,"2017-01-17","1018.8"
"16",16,"2017-01-17","1019.0"
"17",17,"2017-01-17","1019.3"
"18",18,"2017-01-17","1019.8"
"19",19,"2017-01-17","1020.6"
"20",20,"2017-01-17","1020.6"
"21",21,"2017-01-17","1020.8"
"22",22,"2017-01-17","1020.7"
"23",23,"2017-01-17","1020.7"
"24",24,"2017-01-17","1020.3"
"25",1,"2017-01-18","1020.0"
"26",2,"2017-01-18","1019.6"
"27",3,"2017-01-18","1019.4"
"28",4,"2017-01-18","1019.5"
"29",5,"2017-01-18","1019.4"
"30",6,"2017-01-18","1020.0"
"31",7,"2017-01-18","1020.4"
"32",8,"2017-01-18","1020.8"
"33",9,"2017-01-18","1021.1"
"34",10,"2017-01-18","1020.7"
"35",11,"2017-01-18","1020.0"
"36",12,"2017-01-18","1019.0"
"37",13,"2017-01-18","1018.1"
"38",14,"2017-01-18","1017.5"
"39",15,"2017-01-18","1017.6"
"40",16,"2017-01-18","1017.8"
"41",17,"2017-01-18","1017.9"
"42",18,"2017-01-18","1018.1"
"43",19,"2017-01-18","1018.6"
"44",20,"2017-01-18","1018.8"
"45",21,"2017-01-18","1019.0"
"46",22,"2017-01-18","1019.0"
"47",23,"2017-01-18","1018.8"
"48",24,"2017-01-18","1018.6"
"49",1,"2017-01-19","1018.6"
"50",2,"2017-01-19","1018.3"
"51",3,"2017-01-19","1018.1"
"52",4,"2017-01-19","1017.8"
"53",5,"2017-01-19","1018.0"
