"","Hour","2016-10-01","2016-10-02","2016-10-03","2016-10-04","2016-10-05","2016-10-06","2016-10-07","2016-10-08","2016-10-09","2016-10-10","2016-10-11","2016-10-12","2016-10-13","2016-10-14","2016-10-15","2016-10-16","2016-10-17","2016-10-18","2016-10-19","2016-10-20","2016-10-21","2016-10-22","2016-10-23","2016-10-24","2016-10-25","2016-10-26","2016-10-27","2016-10-28","2016-10-29","2016-10-30","2016-10-31","2016-11-01","2016-11-02","2016-11-03","2016-11-04","2016-11-05","2016-11-06","2016-11-07","2016-11-08","2016-11-09","2016-11-10","2016-11-11","2016-11-12","2016-11-13","2016-11-14","2016-11-15","2016-11-16","2016-11-17","2016-11-18","2016-11-19","2016-11-20","2016-11-21","2016-11-22","2016-11-23","2016-11-24","2016-11-25","2016-11-26","2016-11-27","2016-11-28","2016-11-29","2016-11-30","2016-12-01","2016-12-02","2016-12-03","2016-12-04","2016-12-05","2016-12-06","2016-12-07","2016-12-08","2016-12-09","2016-12-10","2016-12-11","2016-12-12","2016-12-13","2016-12-14","2016-12-15","2016-12-16","2016-12-17","2016-12-18","2016-12-19","2016-12-20","2016-12-21","2016-12-22","2016-12-23","2016-12-24","2016-12-25","2016-12-26","2016-12-27","2016-12-28","2016-12-29","2016-12-30","2016-12-31","2017-01-01","2017-01-02","2017-01-03","2017-01-04","2017-01-05","2017-01-06","2017-01-07","2017-01-08","2017-01-09","2017-01-10","2017-01-11","2017-01-12","2017-01-13","2017-01-14","2017-01-15","2017-01-16"
"1",1,"1009.5","1010.6","1006.3","1005.9","1007.6","1008.0","1009.0","1007.2","1007.6","1008.3","1008.8","1010.5","1012.3","1012.2","1011.4","1010.4","1011.2","1011.6","1010.5","1007.8","1005.5","1007.3","1006.6","1010.0","1011.0","1012.8","1013.9","1013.4","1015.3","1021.7","1020.0","1019.8","1020.9","1019.7","1014.9","1010.8","1011.3","1015.3","1014.5","1020.1","1017.4","1017.6","1018.3","1016.6","1013.7","1014.2","1016.9","1015.9","1014.4","1012.2","1011.7","1012.4","1011.4","1015.6","1019.5","1018.2","1015.7","1014.8","1019.4","1022.8","1021.5","1019.3","1022.6","1021.1","1015.9","1015.3","1020.3","1019.5","1016.3","1013.5","1015.8","1015.8","1014.6","1013.7","1016.3","1021.0","1025.3","1024.5","1021.8","1018.6","1016.9","1015.7","1014.3","1020.2","1022.4","1018.4","1016.4","1014.6","1023.4","1022.7","1025.2","1022.4","1021.9","1018.0","1018.2","1017.0","1015.0","1014.3","1012.0","1010.5","1014.4","1018.4","1019.4","1015.8","1013.1","1016.9","1020.9","1020.4"
"2",2,"1009.2","1010.1","1005.6","1005.5","1007.6","1007.6","1008.3","1006.4","1007.0","1007.5","1008.5","1010.3","1012.1","1011.8","1011.0","1010.4","1010.6","1011.4","1010.0","1007.1","1005.0","1007.3","1006.0","1009.8","1010.4","1012.7","1013.6","1013.1","1015.2","1021.3","1019.3","1019.5","1020.8","1019.2","1014.3","1010.7","1011.3","1015.2","1014.1","1020.2","1016.9","1017.2","1018.0","1016.0","1013.0","1013.8","1016.7","1015.7","1014.0","1012.0","1011.3","1012.0","1011.0","1014.9","1019.4","1017.8","1014.9","1014.8","1018.9","1022.3","1020.6","1019.0","1022.2","1020.5","1015.4","1014.7","1020.4","1019.3","1015.8","1013.1","1015.4","1015.6","1014.1","1013.3","1015.9","1020.8","1025.2","1023.9","1021.5","1018.0","1016.8","1015.7","1014.1","1020.5","1022.0","1018.0","1015.9","1014.7","1022.8","1022.3","1024.5","1021.9","1021.6","1017.8","1018.2","1016.9","1014.8","1013.8","1011.5","1010.2","1014.4","1018.0","1018.7","1015.5","1012.9","1016.9","1020.8","1020.2"
"3",3,"1009.1","1009.8","1005.0","1005.4","1007.6","1007.4","1008.2","1006.1","1006.8","1006.8","1008.3","1010.2","1011.9","1011.2","1010.5","1009.7","1010.4","1010.9","1009.6","1006.8","1005.0","1007.2","1005.9","1009.7","1010.6","1012.5","1013.4","1012.9","1015.2","1021.1","1018.6","1019.4","1020.5","1018.9","1013.7","1010.3","1011.5","1015.5","1013.7","1020.1","1016.5","1017.1","1017.4","1016.0","1012.9","1013.8","1016.4","1015.8","1013.6","1011.8","1011.6","1012.1","1011.7","1015.0","1019.5","1017.8","1014.5","1014.5","1019.1","1022.1","1020.2","1018.5","1022.4","1020.3","1014.8","1014.3","1020.8","1018.8","1015.3","1013.1","1015.3","1015.9","1014.2","1012.7","1015.9","1020.6","1025.2","1023.9","1021.3","1017.9","1016.6","1015.4","1014.1","1020.6","1021.5","1017.8","1015.8","1014.8","1022.2","1022.4","1024.0","1021.6","1021.2","1017.6","1018.0","1016.5","1014.5","1013.9","1011.7","1010.1","1014.7","1017.6","1018.8","1014.8","1012.9","1017.2","1020.9","1020.2"
"4",4,"1009.1","1009.3","1004.7","1005.1","1007.8","1007.0","1008.8","1006.5","1007.6","1007.3","1008.2","1010.2","1012.0","1011.4","1010.0","1009.8","1010.2","1010.5","1009.6","1006.5","1004.6","1007.1","1006.0","1009.8","1010.6","1012.7","1013.4","1012.6","1015.3","1021.5","1018.4","1019.3","1020.4","1018.8","1013.4","1010.2","1011.6","1015.6","1013.8","1019.8","1016.4","1017.2","1017.5","1016.1","1012.7","1014.0","1016.4","1015.3","1013.6","1011.7","1011.9","1011.7","1012.0","1014.8","1019.6","1017.4","1014.0","1015.0","1019.5","1022.0","1019.9","1019.3","1022.5","1019.8","1014.6","1014.1","1021.3","1018.4","1015.0","1013.1","1015.1","1016.0","1013.9","1012.4","1016.2","1021.1","1025.3","1023.7","1021.1","1017.6","1016.4","1015.5","1013.9","1020.8","1021.4","1017.6","1015.5","1015.6","1021.6","1022.4","1023.8","1021.4","1021.0","1017.5","1017.9","1016.4","1014.3","1013.8","1011.5","1009.9","1015.0","1017.4","1018.4","1014.6","1012.9","1017.5","1020.6","1020.3"
"5",5,"1009.5","1009.4","1004.9","1005.4","1008.0","1008.3","1008.7","1006.4","1007.6","1007.6","1008.5","1010.4","1011.8","1011.4","1010.0","1010.0","1010.4","1010.5","1009.5","1006.2","1005.1","1007.3","1006.5","1010.7","1011.1","1013.3","1013.8","1012.8","1015.9","1021.8","1018.8","1019.5","1020.5","1018.7","1013.7","1010.2","1012.0","1015.9","1014.2","1019.9","1016.6","1017.5","1017.4","1016.3","1013.0","1014.3","1016.7","1015.5","1013.4","1011.9","1012.7","1012.4","1012.6","1015.1","1019.6","1017.6","1014.0","1015.5","1020.0","1022.3","1019.9","1019.5","1022.9","1020.0","1014.8","1014.2","1021.8","1018.5","1015.3","1013.4","1015.7","1016.4","1013.9","1012.3","1016.8","1021.5","1025.6","1023.9","1021.2","1017.8","1016.4","1015.7","1013.9","1020.7","1021.2","1017.8","1015.6","1016.4","1021.3","1022.9","1024.1","1021.7","1021.2","1017.6","1018.0","1016.8","1014.2","1014.0","1011.8","1010.0","1015.6","1017.7","1018.6","1014.6","1013.4","1018.0","1020.9","1020.7"
"6",6,"1009.7","1009.5","1005.3","1005.5","1008.5","1009.2","1008.8","1006.8","1008.0","1008.3","1009.0","1011.0","1012.6","1012.2","1010.2","1010.4","1010.6","1011.0","1010.0","1006.7","1005.8","1008.0","1007.4","1011.4","1011.9","1014.1","1014.7","1013.4","1016.5","1022.2","1019.2","1019.9","1021.0","1019.2","1013.8","1010.7","1013.1","1017.0","1014.7","1020.6","1017.2","1018.3","1017.8","1016.7","1013.7","1014.9","1017.2","1015.7","1013.6","1012.3","1013.3","1013.1","1012.5","1016.7","1020.0","1018.1","1014.1","1016.0","1020.7","1023.3","1020.2","1020.2","1023.2","1020.4","1015.5","1015.0","1022.6","1018.7","1015.6","1013.9","1015.9","1016.7","1014.2","1012.4","1017.5","1022.0","1026.3","1024.2","1021.7","1018.3","1016.8","1016.2","1014.3","1021.3","1021.6","1018.5","1015.8","1017.4","1021.9","1023.4","1024.6","1022.0","1021.6","1018.0","1018.4","1017.6","1014.3","1014.2","1012.2","1010.9","1016.4","1018.3","1019.1","1014.7","1014.0","1018.6","1021.1","1021.2"
"7",7,"1010.4","1009.9","1005.4","1005.5","1009.2","1009.3","1008.9","1007.1","1008.9","1009.2","1009.6","1011.9","1012.9","1012.4","1010.3","1011.3","1011.2","1011.4","1010.7","1007.4","1006.1","1008.5","1007.7","1011.7","1012.3","1014.7","1015.2","1013.8","1017.1","1022.7","1019.8","1020.7","1021.4","1019.5","1013.9","1011.2","1013.9","1018.0","1015.3","1021.2","1017.7","1018.9","1018.1","1016.9","1014.2","1015.4","1017.6","1015.8","1013.9","1013.0","1013.7","1013.8","1013.4","1017.2","1020.3","1018.4","1014.0","1016.6","1021.8","1023.8","1020.7","1020.9","1023.5","1020.8","1015.8","1015.6","1023.5","1019.1","1015.6","1014.5","1016.7","1017.7","X","1012.8","1018.5","1022.8","1026.6","1024.7","1022.1","1018.7","1017.4","1016.6","1014.7","1022.2","1022.2","1019.2","1016.0","1018.5","1022.0","1024.1","1025.0","1022.6","1022.4","1018.3","1019.1","1017.8","1014.7","1014.6","1012.5","1011.4","1017.0","1019.0","1019.6","1015.2","1014.2","1019.2","1021.4","1021.7"
"8",8,"1010.7","1009.8","1005.0","1005.4","1009.7","1009.9","1009.7","1007.9","1009.7","1010.0","1009.9","1012.2","1013.5","1013.2","1011.5","1011.8","1011.7","1012.1","1010.7","1007.4","1006.6","1008.9","1008.2","1012.2","1012.5","1015.1","1015.6","1014.1","1017.9","1023.0","1020.0","1021.0","1021.9","1020.0","1014.4","1011.5","1014.5","1018.3","1015.8","1021.7","1018.2","1019.3","1018.1","1017.2","1014.5","1016.1","1018.1","1016.3","1014.1","1013.4","1014.3","1014.2","1014.0","1018.1","1020.8","1018.5","1014.4","1016.7","1023.0","1024.2","1020.7","1021.6","1024.1","1021.3","1016.1","1016.4","1023.4","1019.5","1015.8","1015.0","1017.3","1018.1","X","1013.2","1018.7","1023.3","1027.2","1025.3","1022.3","1019.1","1018.0","1017.2","1015.2","1023.0","1022.6","1019.6","1016.0","1019.3","1022.8","1025.0","1025.4","1022.9","1023.0","1018.9","1019.6","1018.3","1015.0","1015.1","1012.5","1012.0","1017.9","1019.9","1020.2","1015.5","1015.3","1020.1","1021.9","1022.1"
"9",9,"1011.0","1009.7","1005.1","1005.4","1010.1","1009.4","1009.6","1007.8","1010.2","1010.2","1010.3","X","1013.9","1013.5","1012.0","1011.8","1012.1","1012.4","1010.8","1007.3","1007.5","1009.0","1008.5","1012.5","1012.7","1015.4","1015.8","1014.3","1018.2","1023.3","1020.1","1021.6","1022.2","1020.2","1014.7","1011.8","1014.8","1017.9","1016.3","1022.2","1018.4","1019.9","1018.4","1017.5","1014.9","1016.6","1018.4","1016.6","1014.2","1013.8","1014.9","1014.3","1014.6","1018.5","1021.0","1018.6","1014.7","1017.3","1023.6","1024.3","1020.8","1022.1","1024.5","1021.7","1016.0","1016.7","1023.7","1019.9","1016.1","1015.3","1017.7","1018.8","X","1013.8","1018.8","1023.8","1027.4","1025.4","1022.4","1019.6","1018.3","1017.8","1015.8","1023.2","1022.8","1019.8","1016.0","1020.5","1023.3","1025.8","1025.7","1023.3","1023.0","1019.5","1020.1","1018.8","1015.4","1015.7","1012.6","1012.8","1018.6","1020.4","1020.7","1015.0","1016.0","1020.9","1022.5","1022.4"
"10",10,"1011.1","1009.6","1004.9","1005.8","1009.7","1009.4","1009.1","1007.3","1010.0","1010.3","1010.1","1012.6","1013.9","1013.4","1012.4","1011.3","1012.2","1012.3","1010.6","1007.2","1007.1","1008.7","1008.4","1012.4","1012.5","1015.1","1015.4","1014.2","1018.3","1023.3","1019.4","1021.3","1022.0","1020.0","1014.3","1011.4","1014.7","1017.4","1015.9","1021.9","1018.4","1019.9","1018.0","1017.0","1014.5","1016.5","1018.3","1016.4","1014.1","1013.6","1015.4","1013.9","1014.2","1018.1","1020.6","1018.4","1014.1","1017.0","1023.1","1024.3","1020.5","1022.5","1024.0","1021.4","1015.6","1016.7","1023.4","1019.5","1015.5","1015.4","1017.7","1018.7","1014.8","1013.6","1018.7","1023.4","1027.1","1025.3","1021.8","1019.1","1018.1","1017.3","1016.0","1023.0","1022.5","1019.7","1015.8","1021.0","1023.7","1025.9","1025.4","1023.4","1022.7","1019.3","1020.2","1018.6","1015.4","1015.3","1012.4","1012.4","1018.6","1020.4","1020.3","1015.1","1016.2","1020.7","1022.0","1022.5"
