"","Hour","variable","value"
"1",1,"2016-10-01","26.4"
"2",2,"2016-10-01","26.6"
"3",3,"2016-10-01","25.9"
"4",4,"2016-10-01","26.6"
"5",5,"2016-10-01","26.5"
"6",6,"2016-10-01","26.6"
"7",7,"2016-10-01","27.1"
"8",8,"2016-10-01","28.7"
"9",9,"2016-10-01","29.1"
"10",10,"2016-10-01","29.7"
"11",11,"2016-10-01","30.6"
"12",12,"2016-10-01","29.7"
"13",13,"2016-10-01","29.6"
"14",14,"2016-10-01","29.9"
"15",15,"2016-10-01","28.5"
"16",16,"2016-10-01","29.0"
"17",17,"2016-10-01","27.7"
"18",18,"2016-10-01","27.5"
"19",19,"2016-10-01","27.4"
"20",20,"2016-10-01","27.2"
"21",21,"2016-10-01","27.2"
"22",22,"2016-10-01","27.0"
"23",23,"2016-10-01","26.8"
"24",24,"2016-10-01","26.8"
"25",1,"2016-10-02","26.6"
"26",2,"2016-10-02","26.5"
"27",3,"2016-10-02","26.6"
"28",4,"2016-10-02","26.3"
"29",5,"2016-10-02","26.8"
"30",6,"2016-10-02","25.4"
"31",7,"2016-10-02","27.7"
"32",8,"2016-10-02","29.1"
"33",9,"2016-10-02","30.6"
"34",10,"2016-10-02","29.9"
"35",11,"2016-10-02","30.1"
"36",12,"2016-10-02","30.3"
"37",13,"2016-10-02","29.8"
"38",14,"2016-10-02","30.3"
"39",15,"2016-10-02","29.7"
"40",16,"2016-10-02","X"
"41",17,"2016-10-02","28.6"
"42",18,"2016-10-02","27.5"
"43",19,"2016-10-02","27.1"
"44",20,"2016-10-02","26.3"
"45",21,"2016-10-02","25.6"
"46",22,"2016-10-02","26.0"
"47",23,"2016-10-02","25.3"
"48",24,"2016-10-02","25.2"
"49",1,"2016-10-03","25.2"
"50",2,"2016-10-03","25.2"
"51",3,"2016-10-03","25.0"
"52",4,"2016-10-03","24.6"
"53",5,"2016-10-03","24.4"
"54",6,"2016-10-03","24.3"
"55",7,"2016-10-03","26.9"
"56",8,"2016-10-03","29.8"
"57",9,"2016-10-03","30.5"
"58",10,"2016-10-03","31.7"
"59",11,"2016-10-03","33.3"
"60",12,"2016-10-03","33.0"
"61",13,"2016-10-03","31.8"
"62",14,"2016-10-03","31.4"
"63",15,"2016-10-03","31.1"
"64",16,"2016-10-03","30.1"
"65",17,"2016-10-03","29.7"
"66",18,"2016-10-03","28.5"
"67",19,"2016-10-03","26.2"
"68",20,"2016-10-03","27.1"
"69",21,"2016-10-03","26.6"
"70",22,"2016-10-03","26.3"
"71",23,"2016-10-03","26.6"
"72",24,"2016-10-03","27.4"
"73",1,"2016-10-04","27.4"
"74",2,"2016-10-04","27.1"
"75",3,"2016-10-04","26.2"
"76",4,"2016-10-04","26.0"
"77",5,"2016-10-04","26.8"
"78",6,"2016-10-04","27.3"
"79",7,"2016-10-04","28.1"
"80",8,"2016-10-04","28.8"
"81",9,"2016-10-04","30.0"
"82",10,"2016-10-04","30.3"
"83",11,"2016-10-04","31.9"
"84",12,"2016-10-04","33.0"
"85",13,"2016-10-04","31.7"
"86",14,"2016-10-04","30.1"
"87",15,"2016-10-04","31.4"
"88",16,"2016-10-04","30.0"
"89",17,"2016-10-04","28.8"
"90",18,"2016-10-04","27.2"
"91",19,"2016-10-04","26.6"
"92",20,"2016-10-04","25.4"
"93",21,"2016-10-04","25.1"
"94",22,"2016-10-04","24.9"
"95",23,"2016-10-04","25.6"
"96",24,"2016-10-04","25.7"
"97",1,"2016-10-05","25.7"
"98",2,"2016-10-05","25.3"
"99",3,"2016-10-05","25.3"
"100",4,"2016-10-05","25.3"
"101",5,"2016-10-05","25.4"
"102",6,"2016-10-05","25.5"
"103",7,"2016-10-05","26.3"
"104",8,"2016-10-05","27.1"
"105",9,"2016-10-05","27.4"
"106",10,"2016-10-05","28.5"
"107",11,"2016-10-05","29.6"
"108",12,"2016-10-05","29.7"
"109",13,"2016-10-05","29.7"
"110",14,"2016-10-05","29.7"
"111",15,"2016-10-05","28.5"
"112",16,"2016-10-05","28.9"
"113",17,"2016-10-05","28.3"
