"","time","Hum"
"1",2017-03-14 01:00:00,"95"
"2",2017-03-14 02:00:00,"95"
"3",2017-03-14 03:00:00,"94"
"4",2017-03-14 04:00:00,"93"
"5",2017-03-14 05:00:00,"95"
"6",2017-03-14 06:00:00,"94"
"7",2017-03-14 07:00:00,"93"
"8",2017-03-14 08:00:00,"94"
"9",2017-03-14 09:00:00,"93"
"10",2017-03-14 10:00:00,"93"
"11",2017-03-14 11:00:00,"90"
"12",2017-03-14 12:00:00,"85"
"13",2017-03-14 13:00:00,"81"
"14",2017-03-14 14:00:00,"81"
"15",2017-03-14 15:00:00,"80"
"16",2017-03-14 16:00:00,"80"
"17",2017-03-14 17:00:00,"80"
"18",2017-03-14 18:00:00,"79"
"19",2017-03-14 19:00:00,"78"
"20",2017-03-14 20:00:00,"75"
"21",2017-03-14 21:00:00,"74"
"22",2017-03-14 22:00:00,"73"
"23",2017-03-14 23:00:00,"72"
"24",2017-03-15 00:00:00,"72"
"25",2017-03-15 01:00:00,"72"
"26",2017-03-15 02:00:00,"72"
"27",2017-03-15 03:00:00,"72"
"28",2017-03-15 04:00:00,"73"
"29",2017-03-15 05:00:00,"74"
"30",2017-03-15 06:00:00,"73"
"31",2017-03-15 07:00:00,"73"
"32",2017-03-15 08:00:00,"72"
"33",2017-03-15 09:00:00,"70"
"34",2017-03-15 10:00:00,"67"
"35",2017-03-15 11:00:00,"66"
"36",2017-03-15 12:00:00,"65"
"37",2017-03-15 13:00:00,"66"
"38",2017-03-15 14:00:00,"66"
"39",2017-03-15 15:00:00,"69"
"40",2017-03-15 16:00:00,"74"
"41",2017-03-15 17:00:00,"78"
"42",2017-03-15 18:00:00,"78"
"43",2017-03-15 19:00:00,"79"
"44",2017-03-15 20:00:00,"80"
"45",2017-03-15 21:00:00,"79"
"46",2017-03-15 22:00:00,"80"
"47",2017-03-15 23:00:00,"80"
"48",2017-03-16 00:00:00,"81"
"49",2017-03-16 01:00:00,"85"
"50",2017-03-16 02:00:00,"87"
"51",2017-03-16 03:00:00,"91"
"52",2017-03-16 04:00:00,"94"
"53",2017-03-16 05:00:00,"96"
"54",2017-03-16 06:00:00,"97"
"55",2017-03-16 07:00:00,"98"
"56",2017-03-16 08:00:00,"98"
"57",2017-03-16 09:00:00,"97"
"58",2017-03-16 10:00:00,"95"
"59",2017-03-16 11:00:00,"91"
"60",2017-03-16 12:00:00,"89"
"61",2017-03-16 13:00:00,"87"
"62",2017-03-16 14:00:00,"93"
"63",2017-03-16 15:00:00,"95"
"64",2017-03-16 16:00:00,"96"
"65",2017-03-16 17:00:00,"96"
"66",2017-03-16 18:00:00,"97"
"67",2017-03-16 19:00:00,"97"
"68",2017-03-16 20:00:00,"98"
"69",2017-03-16 21:00:00,"98"
"70",2017-03-16 22:00:00,"98"
"71",2017-03-16 23:00:00,"98"
"72",2017-03-17 00:00:00,"98"
"73",2017-03-17 01:00:00,"98"
"74",2017-03-17 02:00:00,"98"
"75",2017-03-17 03:00:00,"98"
"76",2017-03-17 04:00:00,"97"
"77",2017-03-17 05:00:00,"97"
"78",2017-03-17 06:00:00,"97"
"79",2017-03-17 07:00:00,"97"
"80",2017-03-17 08:00:00,"95"
"81",2017-03-17 09:00:00,"90"
"82",2017-03-17 10:00:00,"87"
"83",2017-03-17 11:00:00,"85"
"84",2017-03-17 12:00:00,"85"
"85",2017-03-17 13:00:00,"83"
"86",2017-03-17 14:00:00,"83"
"87",2017-03-17 15:00:00,"86"
"88",2017-03-17 16:00:00,"87"
"89",2017-03-17 17:00:00,"89"
"90",2017-03-17 18:00:00,"92"
"91",2017-03-17 19:00:00,"92"
"92",2017-03-17 20:00:00,"94"
