"","time","Tem"
"1",2017-03-14 01:00:00,"12.2"
"2",2017-03-14 02:00:00,"12.0"
"3",2017-03-14 03:00:00,"11.9"
"4",2017-03-14 04:00:00,"11.8"
"5",2017-03-14 05:00:00,"11.6"
"6",2017-03-14 06:00:00,"11.4"
"7",2017-03-14 07:00:00,"11.0"
"8",2017-03-14 08:00:00,"11.2"
"9",2017-03-14 09:00:00,"11.1"
"10",2017-03-14 10:00:00,"11.2"
"11",2017-03-14 11:00:00,"11.0"
"12",2017-03-14 12:00:00,"11.4"
"13",2017-03-14 13:00:00,"12.1"
"14",2017-03-14 14:00:00,"12.5"
"15",2017-03-14 15:00:00,"12.3"
"16",2017-03-14 16:00:00,"12.2"
"17",2017-03-14 17:00:00,"11.8"
"18",2017-03-14 18:00:00,"11.6"
"19",2017-03-14 19:00:00,"11.7"
"20",2017-03-14 20:00:00,"11.7"
"21",2017-03-14 21:00:00,"11.8"
"22",2017-03-14 22:00:00,"11.9"
"23",2017-03-14 23:00:00,"12.0"
"24",2017-03-15 00:00:00,"12.2"
"25",2017-03-15 01:00:00,"12.5"
"26",2017-03-15 02:00:00,"12.5"
"27",2017-03-15 03:00:00,"12.6"
"28",2017-03-15 04:00:00,"12.7"
"29",2017-03-15 05:00:00,"12.8"
"30",2017-03-15 06:00:00,"12.9"
"31",2017-03-15 07:00:00,"12.9"
"32",2017-03-15 08:00:00,"13.1"
"33",2017-03-15 09:00:00,"13.8"
"34",2017-03-15 10:00:00,"14.6"
"35",2017-03-15 11:00:00,"15.0"
"36",2017-03-15 12:00:00,"15.4"
"37",2017-03-15 13:00:00,"15.5"
"38",2017-03-15 14:00:00,"15.8"
"39",2017-03-15 15:00:00,"15.0"
"40",2017-03-15 16:00:00,"14.3"
"41",2017-03-15 17:00:00,"13.6"
"42",2017-03-15 18:00:00,"13.4"
"43",2017-03-15 19:00:00,"13.3"
"44",2017-03-15 20:00:00,"13.2"
"45",2017-03-15 21:00:00,"13.3"
"46",2017-03-15 22:00:00,"13.3"
"47",2017-03-15 23:00:00,"13.4"
"48",2017-03-16 00:00:00,"13.5"
"49",2017-03-16 01:00:00,"13.2"
"50",2017-03-16 02:00:00,"13.2"
"51",2017-03-16 03:00:00,"12.7"
"52",2017-03-16 04:00:00,"12.5"
"53",2017-03-16 05:00:00,"12.4"
"54",2017-03-16 06:00:00,"12.6"
"55",2017-03-16 07:00:00,"12.6"
