"","Hour","variable","value"
"1",1,"2017-01-17","80"
"2",2,"2017-01-17","81"
"3",3,"2017-01-17","X"
"4",4,"2017-01-17","X"
"5",5,"2017-01-17","86"
"6",6,"2017-01-17","87"
"7",7,"2017-01-17","87"
"8",8,"2017-01-17","86"
"9",9,"2017-01-17","80"
"10",10,"2017-01-17","68"
"11",11,"2017-01-17","63"
"12",12,"2017-01-17","59"
"13",13,"2017-01-17","57"
"14",14,"2017-01-17","60"
"15",15,"2017-01-17","63"
"16",16,"2017-01-17","67"
"17",17,"2017-01-17","74"
"18",18,"2017-01-17","79"
"19",19,"2017-01-17","82"
"20",20,"2017-01-17","86"
"21",21,"2017-01-17","87"
"22",22,"2017-01-17","87"
"23",23,"2017-01-17","88"
"24",24,"2017-01-17","91"
"25",1,"2017-01-18","93"
"26",2,"2017-01-18","94"
"27",3,"2017-01-18","94"
"28",4,"2017-01-18","X"
"29",5,"2017-01-18","X"
"30",6,"2017-01-18","96"
"31",7,"2017-01-18","96"
"32",8,"2017-01-18","92"
"33",9,"2017-01-18","85"
"34",10,"2017-01-18","88"
"35",11,"2017-01-18","81"
"36",12,"2017-01-18","76"
"37",13,"2017-01-18","78"
"38",14,"2017-01-18","66"
"39",15,"2017-01-18","82"
"40",16,"2017-01-18","86"
"41",17,"2017-01-18","90"
"42",18,"2017-01-18","90"
"43",19,"2017-01-18","92"
"44",20,"2017-01-18","92"
"45",21,"2017-01-18","93"
"46",22,"2017-01-18","93"
"47",23,"2017-01-18","94"
"48",24,"2017-01-18","93"
"49",1,"2017-01-19","92"
"50",2,"2017-01-19","94"
"51",3,"2017-01-19","94"
"52",4,"2017-01-19","93"
"53",5,"2017-01-19","94"
"54",6,"2017-01-19","96"
"55",7,"2017-01-19","96"
"56",8,"2017-01-19","96"
"57",9,"2017-01-19","97"
"58",10,"2017-01-19","92"
"59",11,"2017-01-19","86"
"60",12,"2017-01-19","82"
"61",13,"2017-01-19","77"
"62",14,"2017-01-19","75"
"63",15,"2017-01-19","83"
"64",16,"2017-01-19","85"
"65",17,"2017-01-19","86"
"66",18,"2017-01-19","86"
"67",19,"2017-01-19","86"
"68",20,"2017-01-19","X"
"69",21,"2017-01-19","X"
"70",22,"2017-01-19","X"
"71",23,"2017-01-19","X"
"72",24,"2017-01-19","X"
"73",1,"2017-01-20","X"
"74",2,"2017-01-20","91"
"75",3,"2017-01-20","90"
"76",4,"2017-01-20","89"
"77",5,"2017-01-20","X"
"78",6,"2017-01-20","X"
"79",7,"2017-01-20","89"
"80",8,"2017-01-20","88"
"81",9,"2017-01-20","84"
"82",10,"2017-01-20","83"
"83",11,"2017-01-20","81"
"84",12,"2017-01-20","82"
"85",13,"2017-01-20","83"
"86",14,"2017-01-20","83"
"87",15,"2017-01-20","X"
"88",16,"2017-01-20","X"
"89",17,"2017-01-20","X"
"90",18,"2017-01-20","X"
"91",19,"2017-01-20","72"
"92",20,"2017-01-20","70"
"93",21,"2017-01-20","71"
"94",22,"2017-01-20","X"
"95",23,"2017-01-20","X"
"96",24,"2017-01-20","X"
"97",1,"2017-01-21","X"
"98",2,"2017-01-21","73"
"99",3,"2017-01-21","76"
"100",4,"2017-01-21","76"
"101",5,"2017-01-21","76"
"102",6,"2017-01-21","77"
"103",7,"2017-01-21","76"
"104",8,"2017-01-21","76"
"105",9,"2017-01-21","74"
"106",10,"2017-01-21","X"
"107",11,"2017-01-21","65"
"108",12,"2017-01-21","66"
"109",13,"2017-01-21","66"
"110",14,"2017-01-21","68"
"111",15,"2017-01-21","70"
"112",16,"2017-01-21","73"
