"","Hour","variable","value"
"1",1,"2017-01-17","14.0"
"2",2,"2017-01-17","13.8"
"3",3,"2017-01-17","X"
"4",4,"2017-01-17","X"
"5",5,"2017-01-17","13.7"
"6",6,"2017-01-17","13.6"
"7",7,"2017-01-17","13.7"
"8",8,"2017-01-17","14.3"
"9",9,"2017-01-17","16.1"
"10",10,"2017-01-17","19.4"
"11",11,"2017-01-17","20.9"
"12",12,"2017-01-17","22.0"
"13",13,"2017-01-17","22.3"
"14",14,"2017-01-17","22.4"
"15",15,"2017-01-17","21.9"
"16",16,"2017-01-17","20.8"
"17",17,"2017-01-17","19.4"
"18",18,"2017-01-17","18.5"
"19",19,"2017-01-17","17.8"
"20",20,"2017-01-17","17.2"
"21",21,"2017-01-17","16.7"
"22",22,"2017-01-17","16.6"
"23",23,"2017-01-17","16.4"
"24",24,"2017-01-17","16.1"
"25",1,"2017-01-18","16.0"
"26",2,"2017-01-18","15.8"
"27",3,"2017-01-18","16.1"
"28",4,"2017-01-18","X"
"29",5,"2017-01-18","X"
"30",6,"2017-01-18","15.8"
"31",7,"2017-01-18","15.7"
"32",8,"2017-01-18","16.6"
"33",9,"2017-01-18","18.5"
"34",10,"2017-01-18","17.9"
"35",11,"2017-01-18","19.7"
"36",12,"2017-01-18","20.8"
"37",13,"2017-01-18","19.8"
"38",14,"2017-01-18","22.4"
"39",15,"2017-01-18","19.4"
"40",16,"2017-01-18","18.2"
"41",17,"2017-01-18","17.5"
"42",18,"2017-01-18","17.3"
"43",19,"2017-01-18","17.0"
"44",20,"2017-01-18","16.9"
"45",21,"2017-01-18","16.9"
"46",22,"2017-01-18","16.8"
"47",23,"2017-01-18","16.8"
"48",24,"2017-01-18","16.9"
"49",1,"2017-01-19","17.0"
"50",2,"2017-01-19","16.7"
"51",3,"2017-01-19","16.3"
"52",4,"2017-01-19","16.7"
"53",5,"2017-01-19","16.6"
"54",6,"2017-01-19","16.0"
"55",7,"2017-01-19","16.1"
"56",8,"2017-01-19","16.1"
"57",9,"2017-01-19","16.2"
"58",10,"2017-01-19","17.6"
"59",11,"2017-01-19","18.3"
"60",12,"2017-01-19","18.8"
"61",13,"2017-01-19","20.0"
"62",14,"2017-01-19","20.8"
"63",15,"2017-01-19","18.0"
"64",16,"2017-01-19","17.5"
"65",17,"2017-01-19","17.0"
"66",18,"2017-01-19","16.8"
"67",19,"2017-01-19","16.5"
"68",20,"2017-01-19","X"
"69",21,"2017-01-19","X"
"70",22,"2017-01-19","X"
"71",23,"2017-01-19","X"
"72",24,"2017-01-19","X"
"73",1,"2017-01-20","X"
"74",2,"2017-01-20","14.6"
"75",3,"2017-01-20","13.9"
"76",4,"2017-01-20","13.4"
"77",5,"2017-01-20","X"
"78",6,"2017-01-20","X"
"79",7,"2017-01-20","12.5"
"80",8,"2017-01-20","12.5"
"81",9,"2017-01-20","12.8"
"82",10,"2017-01-20","12.7"
"83",11,"2017-01-20","12.6"
"84",12,"2017-01-20","12.0"
"85",13,"2017-01-20","11.6"
"86",14,"2017-01-20","11.0"
"87",15,"2017-01-20","X"
"88",16,"2017-01-20","X"
"89",17,"2017-01-20","X"
"90",18,"2017-01-20","X"
"91",19,"2017-01-20","10.0"
"92",20,"2017-01-20","10.2"
"93",21,"2017-01-20","10.1"
"94",22,"2017-01-20","X"
"95",23,"2017-01-20","X"
"96",24,"2017-01-20","X"
"97",1,"2017-01-21","X"
"98",2,"2017-01-21","10.1"
"99",3,"2017-01-21","10.1"
"100",4,"2017-01-21","10.0"
"101",5,"2017-01-21","10.1"
"102",6,"2017-01-21","10.2"
"103",7,"2017-01-21","10.4"
"104",8,"2017-01-21","11.1"
"105",9,"2017-01-21","11.9"
"106",10,"2017-01-21","X"
"107",11,"2017-01-21","15.0"
"108",12,"2017-01-21","14.6"
"109",13,"2017-01-21","14.7"
"110",14,"2017-01-21","14.4"
"111",15,"2017-01-21","13.8"
"112",16,"2017-01-21","13.9"
"113",17,"2017-01-21","13.3"
"114",18,"2017-01-21","12.2"
"115",19,"2017-01-21","11.6"
"116",20,"2017-01-21","11.5"
"117",21,"2017-01-21","11.2"
"118",22,"2017-01-21","11.0"
"119",23,"2017-01-21","10.6"
"120",24,"2017-01-21","10.8"
"121",1,"2017-01-22","10.9"
"122",2,"2017-01-22","11.0"
"123",3,"2017-01-22","11.4"
"124",4,"2017-01-22","12.0"
"125",5,"2017-01-22","12.0"
"126",6,"2017-01-22","11.9"
"127",7,"2017-01-22","11.5"
"128",8,"2017-01-22","12.0"
"129",9,"2017-01-22","13.6"
"130",10,"2017-01-22","14.9"
"131",11,"2017-01-22","15.7"
"132",12,"2017-01-22","16.8"
"133",13,"2017-01-22","17.5"
"134",14,"2017-01-22","16.6"
"135",15,"2017-01-22","16.1"
"136",16,"2017-01-22","14.6"
"137",17,"2017-01-22","12.5"
"138",18,"2017-01-22","X"
"139",19,"2017-01-22","X"
"140",20,"2017-01-22","X"
"141",21,"2017-01-22","X"
"142",22,"2017-01-22","11.5"
"143",23,"2017-01-22","11.7"
"144",24,"2017-01-22","11.4"
"145",1,"2017-01-23","11.5"
"146",2,"2017-01-23","11.7"
"147",3,"2017-01-23","12.1"
"148",4,"2017-01-23","12.3"
"149",5,"2017-01-23","12.1"
"150",6,"2017-01-23","12.2"
"151",7,"2017-01-23","12.5"
"152",8,"2017-01-23","12.9"
"153",9,"2017-01-23","13.6"
"154",10,"2017-01-23","14.8"
"155",11,"2017-01-23","15.9"
"156",12,"2017-01-23","15.5"
"157",13,"2017-01-23","14.9"
"158",14,"2017-01-23","15.3"
"159",15,"2017-01-23","14.2"
"160",16,"2017-01-23","13.6"
"161",17,"2017-01-23","12.8"
"162",18,"2017-01-23","12.3"
"163",19,"2017-01-23","12.3"
"164",20,"2017-01-23","12.3"
"165",21,"2017-01-23","12.3"
"166",22,"2017-01-23","12.4"
"167",23,"2017-01-23","12.4"
"168",24,"2017-01-23","12.5"
"169",1,"2017-01-24","12.5"
"170",2,"2017-01-24","12.5"
"171",3,"2017-01-24","12.4"
"172",4,"2017-01-24","X"
"173",5,"2017-01-24","X"
"174",6,"2017-01-24","X"
"175",7,"2017-01-24","X"
"176",8,"2017-01-24","13.0"
"177",9,"2017-01-24","14.2"
"178",10,"2017-01-24","15.1"
"179",11,"2017-01-24","16.3"
"180",12,"2017-01-24","17.1"
"181",13,"2017-01-24","16.0"
"182",14,"2017-01-24","17.0"
"183",15,"2017-01-24","15.4"
"184",16,"2017-01-24","14.5"
"185",17,"2017-01-24","13.3"
"186",18,"2017-01-24","12.7"
"187",19,"2017-01-24","12.7"
"188",20,"2017-01-24","12.8"
"189",21,"2017-01-24","12.8"
"190",22,"2017-01-24","12.5"
"191",23,"2017-01-24","12.5"
"192",24,"2017-01-24","12.7"
"193",1,"2017-01-25","12.5"
"194",2,"2017-01-25","12.5"
"195",3,"2017-01-25","12.5"
"196",4,"2017-01-25","12.6"
"197",5,"2017-01-25","12.7"
"198",6,"2017-01-25","12.9"
"199",7,"2017-01-25","13.0"
"200",8,"2017-01-25","13.5"
"201",9,"2017-01-25","14.1"
"202",10,"2017-01-25","15.1"
"203",11,"2017-01-25","15.9"
"204",12,"2017-01-25","15.1"
"205",13,"2017-01-25","15.8"
"206",14,"2017-01-25","16.2"
"207",15,"2017-01-25","X"
"208",16,"2017-01-25","X"
"209",17,"2017-01-25","X"
"210",18,"2017-01-25","X"
"211",19,"2017-01-25","13.3"
"212",20,"2017-01-25","13.1"
"213",21,"2017-01-25","12.5"
"214",22,"2017-01-25","X"
"215",23,"2017-01-25","X"
"216",24,"2017-01-25","11.8"
"217",1,"2017-01-26","X"
"218",2,"2017-01-26","11.8"
"219",3,"2017-01-26","11.6"
"220",4,"2017-01-26","11.6"
"221",5,"2017-01-26","11.5"
"222",6,"2017-01-26","11.7"
"223",7,"2017-01-26","12.1"
"224",8,"2017-01-26","13.0"
"225",9,"2017-01-26","14.4"
"226",10,"2017-01-26","15.6"
"227",11,"2017-01-26","16.7"
"228",12,"2017-01-26","17.0"
"229",13,"2017-01-26","X"
"230",14,"2017-01-26","19.2"
"231",15,"2017-01-26","19.8"
"232",16,"2017-01-26","18.9"
"233",17,"2017-01-26","17.4"
"234",18,"2017-01-26","15.6"
"235",19,"2017-01-26","14.6"
"236",20,"2017-01-26","13.7"
"237",21,"2017-01-26","13.2"
"238",22,"2017-01-26","12.8"
"239",23,"2017-01-26","12.2"
"240",24,"2017-01-26","11.1"
"241",1,"2017-01-27","10.9"
"242",2,"2017-01-27","10.9"
"243",3,"2017-01-27","10.8"
"244",4,"2017-01-27","10.5"
"245",5,"2017-01-27","10.4"
"246",6,"2017-01-27","9.8"
"247",7,"2017-01-27","9.7"
"248",8,"2017-01-27","12.1"
"249",9,"2017-01-27","16.8"
"250",10,"2017-01-27","18.5"
"251",11,"2017-01-27","19.7"
"252",12,"2017-01-27","20.5"
"253",13,"2017-01-27","20.4"
"254",14,"2017-01-27","19.8"
"255",15,"2017-01-27","19.4"
"256",16,"2017-01-27","18.1"
"257",17,"2017-01-27","17.1"
"258",18,"2017-01-27","16.0"
"259",19,"2017-01-27","15.9"
"260",20,"2017-01-27","15.4"
"261",21,"2017-01-27","15.0"
"262",22,"2017-01-27","14.9"
"263",23,"2017-01-27","14.6"
"264",24,"2017-01-27","14.5"
"265",1,"2017-01-28","15.0"
"266",2,"2017-01-28","15.7"
"267",3,"2017-01-28","15.6"
"268",4,"2017-01-28","15.2"
"269",5,"2017-01-28","14.6"
"270",6,"2017-01-28","14.5"
"271",7,"2017-01-28","13.3"
"272",8,"2017-01-28","14.4"
"273",9,"2017-01-28","17.3"
"274",10,"2017-01-28","19.8"
"275",11,"2017-01-28","21.6"
"276",12,"2017-01-28","22.6"
"277",13,"2017-01-28","23.2"
"278",14,"2017-01-28","23.2"
"279",15,"2017-01-28","22.0"
"280",16,"2017-01-28","21.5"
"281",17,"2017-01-28","20.5"
"282",18,"2017-01-28","18.2"
"283",19,"2017-01-28","17.0"
"284",20,"2017-01-28","16.6"
"285",21,"2017-01-28","16.2"
"286",22,"2017-01-28","16.0"
"287",23,"2017-01-28","15.8"
"288",24,"2017-01-28","15.6"
"289",1,"2017-01-29","15.5"
"290",2,"2017-01-29","15.6"
"291",3,"2017-01-29","15.3"
"292",4,"2017-01-29","14.9"
"293",5,"2017-01-29","15.1"
"294",6,"2017-01-29","15.3"
"295",7,"2017-01-29","15.1"
"296",8,"2017-01-29","15.7"
"297",9,"2017-01-29","16.7"
"298",10,"2017-01-29","19.5"
"299",11,"2017-01-29","21.4"
"300",12,"2017-01-29","22.8"
"301",13,"2017-01-29","24.1"
"302",14,"2017-01-29","22.4"
"303",15,"2017-01-29","23.5"
"304",16,"2017-01-29","24.8"
"305",17,"2017-01-29","23.7"
"306",18,"2017-01-29","22.1"
"307",19,"2017-01-29","18.3"
"308",20,"2017-01-29","18.2"
"309",21,"2017-01-29","18.5"
"310",22,"2017-01-29","18.2"
"311",23,"2017-01-29","18.1"
"312",24,"2017-01-29","18.1"
"313",1,"2017-01-30","17.6"
"314",2,"2017-01-30","17.4"
"315",3,"2017-01-30","17.6"
"316",4,"2017-01-30","17.3"
"317",5,"2017-01-30","17.6"
"318",6,"2017-01-30","17.9"
"319",7,"2017-01-30","18.9"
"320",8,"2017-01-30","19.3"
"321",9,"2017-01-30","20.5"
"322",10,"2017-01-30","20.7"
"323",11,"2017-01-30","19.5"
"324",12,"2017-01-30","18.8"
"325",13,"2017-01-30","17.7"
"326",14,"2017-01-30","18.5"
"327",15,"2017-01-30","17.1"
"328",16,"2017-01-30","16.3"
"329",17,"2017-01-30","15.5"
"330",18,"2017-01-30","14.4"
"331",19,"2017-01-30","13.9"
