"","Hour","variable","value"
"1",1,"2016-10-01","23.3"
"2",2,"2016-10-01","23.0"
"3",3,"2016-10-01","22.9"
"4",4,"2016-10-01","22.8"
"5",5,"2016-10-01","22.8"
"6",6,"2016-10-01","X"
"7",7,"2016-10-01","23.2"
"8",8,"2016-10-01","24.1"
"9",9,"2016-10-01","28.0"
"10",10,"2016-10-01","27.8"
"11",11,"2016-10-01","29.6"
"12",12,"2016-10-01","30.5"
"13",13,"2016-10-01","31.3"
"14",14,"2016-10-01","29.9"
"15",15,"2016-10-01","29.3"
"16",16,"2016-10-01","27.7"
"17",17,"2016-10-01","27.4"
"18",18,"2016-10-01","26.6"
"19",19,"2016-10-01","26.3"
"20",20,"2016-10-01","26.0"
"21",21,"2016-10-01","25.9"
"22",22,"2016-10-01","25.9"
"23",23,"2016-10-01","25.3"
"24",24,"2016-10-01","25.3"
"25",1,"2016-10-02","24.8"
"26",2,"2016-10-02","24.8"
"27",3,"2016-10-02","24.3"
"28",4,"2016-10-02","24.0"
"29",5,"2016-10-02","23.5"
"30",6,"2016-10-02","23.2"
"31",7,"2016-10-02","24.9"
"32",8,"2016-10-02","26.3"
"33",9,"2016-10-02","28.7"
"34",10,"2016-10-02","30.6"
"35",11,"2016-10-02","32.6"
"36",12,"2016-10-02","31.7"
"37",13,"2016-10-02","30.4"
"38",14,"2016-10-02","30.0"
"39",15,"2016-10-02","29.4"
"40",16,"2016-10-02","28.9"
"41",17,"2016-10-02","29.1"
"42",18,"2016-10-02","27.4"
"43",19,"2016-10-02","26.6"
"44",20,"2016-10-02","26.4"
"45",21,"2016-10-02","26.1"
"46",22,"2016-10-02","24.5"
"47",23,"2016-10-02","24.6"
"48",24,"2016-10-02","23.8"
"49",1,"2016-10-03","23.7"
"50",2,"2016-10-03","23.2"
"51",3,"2016-10-03","23.0"
"52",4,"2016-10-03","23.0"
"53",5,"2016-10-03","22.8"
"54",6,"2016-10-03","22.8"
"55",7,"2016-10-03","23.2"
"56",8,"2016-10-03","25.3"
"57",9,"2016-10-03","27.5"
"58",10,"2016-10-03","29.7"
"59",11,"2016-10-03","29.6"
"60",12,"2016-10-03","30.2"
"61",13,"2016-10-03","29.6"
"62",14,"2016-10-03","29.5"
"63",15,"2016-10-03","28.9"
"64",16,"2016-10-03","28.6"
"65",17,"2016-10-03","27.6"
"66",18,"2016-10-03","25.9"
"67",19,"2016-10-03","25.3"
"68",20,"2016-10-03","24.8"
"69",21,"2016-10-03","24.4"
"70",22,"2016-10-03","23.9"
"71",23,"2016-10-03","23.8"
"72",24,"2016-10-03","23.5"
"73",1,"2016-10-04","23.5"
"74",2,"2016-10-04","23.5"
"75",3,"2016-10-04","23.3"
"76",4,"2016-10-04","23.1"
"77",5,"2016-10-04","23.1"
"78",6,"2016-10-04","23.0"
"79",7,"2016-10-04","23.0"
"80",8,"2016-10-04","25.5"
"81",9,"2016-10-04","27.1"
"82",10,"2016-10-04","28.2"
"83",11,"2016-10-04","29.4"
"84",12,"2016-10-04","29.9"
"85",13,"2016-10-04","30.9"
"86",14,"2016-10-04","31.2"
"87",15,"2016-10-04","32.0"
"88",16,"2016-10-04","30.7"
"89",17,"2016-10-04","29.6"
"90",18,"2016-10-04","27.6"
"91",19,"2016-10-04","26.6"
"92",20,"2016-10-04","25.9"
"93",21,"2016-10-04","25.2"
"94",22,"2016-10-04","24.8"
"95",23,"2016-10-04","23.8"
"96",24,"2016-10-04","23.8"
"97",1,"2016-10-05","23.6"
"98",2,"2016-10-05","23.3"
"99",3,"2016-10-05","22.9"
"100",4,"2016-10-05","22.5"
"101",5,"2016-10-05","22.2"
"102",6,"2016-10-05","22.1"
"103",7,"2016-10-05","23.0"
"104",8,"2016-10-05","25.5"
"105",9,"2016-10-05","27.9"
"106",10,"2016-10-05","29.6"
"107",11,"2016-10-05","30.5"
"108",12,"2016-10-05","31.4"
"109",13,"2016-10-05","30.9"
"110",14,"2016-10-05","31.0"
"111",15,"2016-10-05","30.4"
"112",16,"2016-10-05","28.8"
"113",17,"2016-10-05","27.3"
"114",18,"2016-10-05","26.7"
"115",19,"2016-10-05","26.4"
"116",20,"2016-10-05","26.1"
"117",21,"2016-10-05","26.0"
"118",22,"2016-10-05","25.5"
"119",23,"2016-10-05","25.6"
"120",24,"2016-10-05","25.2"
"121",1,"2016-10-06","24.6"
"122",2,"2016-10-06","24.6"
"123",3,"2016-10-06","24.9"
"124",4,"2016-10-06","25.4"
"125",5,"2016-10-06","24.5"
"126",6,"2016-10-06","24.6"
"127",7,"2016-10-06","24.5"
"128",8,"2016-10-06","25.0"
"129",9,"2016-10-06","27.0"
"130",10,"2016-10-06","28.0"
"131",11,"2016-10-06","29.6"
"132",12,"2016-10-06","30.7"
"133",13,"2016-10-06","31.7"
"134",14,"2016-10-06","30.0"
"135",15,"2016-10-06","29.3"
"136",16,"2016-10-06","27.9"
"137",17,"2016-10-06","27.3"
"138",18,"2016-10-06","27.6"
"139",19,"2016-10-06","27.3"
"140",20,"2016-10-06","26.4"
"141",21,"2016-10-06","25.9"
"142",22,"2016-10-06","25.8"
"143",23,"2016-10-06","25.7"
"144",24,"2016-10-06","25.4"
"145",1,"2016-10-07","25.1"
"146",2,"2016-10-07","25.1"
"147",3,"2016-10-07","24.9"
"148",4,"2016-10-07","24.9"
"149",5,"2016-10-07","24.4"
"150",6,"2016-10-07","24.2"
"151",7,"2016-10-07","25.0"
"152",8,"2016-10-07","25.6"
"153",9,"2016-10-07","25.3"
"154",10,"2016-10-07","24.4"
"155",11,"2016-10-07","24.0"
"156",12,"2016-10-07","24.6"
"157",13,"2016-10-07","24.3"
"158",14,"2016-10-07","24.5"
"159",15,"2016-10-07","24.6"
"160",16,"2016-10-07","24.2"
"161",17,"2016-10-07","23.8"
"162",18,"2016-10-07","23.8"
"163",19,"2016-10-07","23.7"
"164",20,"2016-10-07","23.5"
"165",21,"2016-10-07","23.5"
"166",22,"2016-10-07","22.9"
"167",23,"2016-10-07","22.6"
"168",24,"2016-10-07","22.6"
"169",1,"2016-10-08","22.8"
"170",2,"2016-10-08","22.8"
"171",3,"2016-10-08","22.8"
"172",4,"2016-10-08","22.8"
"173",5,"2016-10-08","22.7"
"174",6,"2016-10-08","22.9"
"175",7,"2016-10-08","23.2"
"176",8,"2016-10-08","24.5"
"177",9,"2016-10-08","26.5"
"178",10,"2016-10-08","27.7"
"179",11,"2016-10-08","28.2"
"180",12,"2016-10-08","27.6"
"181",13,"2016-10-08","26.5"
"182",14,"2016-10-08","24.9"
"183",15,"2016-10-08","24.5"
"184",16,"2016-10-08","24.4"
"185",17,"2016-10-08","24.6"
"186",18,"2016-10-08","23.6"
"187",19,"2016-10-08","23.4"
"188",20,"2016-10-08","23.4"
"189",21,"2016-10-08","23.5"
"190",22,"2016-10-08","23.6"
"191",23,"2016-10-08","22.3"
"192",24,"2016-10-08","21.9"
"193",1,"2016-10-09","21.6"
"194",2,"2016-10-09","21.5"
"195",3,"2016-10-09","21.7"
"196",4,"2016-10-09","21.7"
"197",5,"2016-10-09","21.5"
"198",6,"2016-10-09","21.3"
"199",7,"2016-10-09","20.7"
"200",8,"2016-10-09","21.1"
"201",9,"2016-10-09","22.3"
"202",10,"2016-10-09","23.8"
"203",11,"2016-10-09","24.4"
"204",12,"2016-10-09","23.9"
"205",13,"2016-10-09","22.6"
"206",14,"2016-10-09","22.3"
"207",15,"2016-10-09","21.3"
"208",16,"2016-10-09","20.9"
"209",17,"2016-10-09","20.6"
"210",18,"2016-10-09","20.2"
"211",19,"2016-10-09","20.2"
"212",20,"2016-10-09","20.2"
"213",21,"2016-10-09","20.3"
"214",22,"2016-10-09","20.6"
"215",23,"2016-10-09","20.3"
"216",24,"2016-10-09","20.2"
"217",1,"2016-10-10","20.0"
"218",2,"2016-10-10","20.1"
"219",3,"2016-10-10","20.2"
"220",4,"2016-10-10","20.3"
"221",5,"2016-10-10","20.4"
"222",6,"2016-10-10","20.5"
"223",7,"2016-10-10","20.8"
"224",8,"2016-10-10","21.5"
"225",9,"2016-10-10","22.0"
"226",10,"2016-10-10","22.4"
"227",11,"2016-10-10","23.0"
"228",12,"2016-10-10","22.9"
"229",13,"2016-10-10","22.6"
"230",14,"2016-10-10","22.5"
"231",15,"2016-10-10","22.0"
"232",16,"2016-10-10","21.7"
"233",17,"2016-10-10","21.5"
"234",18,"2016-10-10","21.4"
"235",19,"2016-10-10","21.4"
"236",20,"2016-10-10","21.4"
"237",21,"2016-10-10","21.5"
"238",22,"2016-10-10","21.6"
"239",23,"2016-10-10","21.5"
"240",24,"2016-10-10","21.5"
"241",1,"2016-10-11","21.5"
"242",2,"2016-10-11","21.6"
"243",3,"2016-10-11","21.5"
"244",4,"2016-10-11","21.5"
"245",5,"2016-10-11","21.7"
"246",6,"2016-10-11","21.7"
"247",7,"2016-10-11","21.8"
"248",8,"2016-10-11","22.1"
"249",9,"2016-10-11","22.6"
"250",10,"2016-10-11","23.6"
"251",11,"2016-10-11","25.0"
"252",12,"2016-10-11","24.5"
"253",13,"2016-10-11","24.1"
"254",14,"2016-10-11","24.1"
"255",15,"2016-10-11","23.9"
"256",16,"2016-10-11","23.7"
"257",17,"2016-10-11","23.5"
"258",18,"2016-10-11","22.9"
"259",19,"2016-10-11","22.4"
"260",20,"2016-10-11","22.5"
"261",21,"2016-10-11","22.5"
"262",22,"2016-10-11","22.6"
"263",23,"2016-10-11","22.0"
"264",24,"2016-10-11","21.8"
"265",1,"2016-10-12","21.7"
"266",2,"2016-10-12","21.7"
"267",3,"2016-10-12","21.8"
"268",4,"2016-10-12","22.0"
"269",5,"2016-10-12","22.1"
"270",6,"2016-10-12","22.0"
"271",7,"2016-10-12","22.3"
"272",8,"2016-10-12","22.7"
"273",9,"2016-10-12","23.3"
"274",10,"2016-10-12","23.9"
"275",11,"2016-10-12","23.6"
"276",12,"2016-10-12","23.9"
"277",13,"2016-10-12","22.6"
"278",14,"2016-10-12","22.8"
"279",15,"2016-10-12","23.2"
"280",16,"2016-10-12","23.3"
"281",17,"2016-10-12","22.2"
"282",18,"2016-10-12","21.9"
"283",19,"2016-10-12","21.9"
"284",20,"2016-10-12","22.2"
"285",21,"2016-10-12","21.8"
"286",22,"2016-10-12","21.2"
"287",23,"2016-10-12","21.1"
"288",24,"2016-10-12","21.6"
"289",1,"2016-10-13","21.7"
"290",2,"2016-10-13","21.6"
"291",3,"2016-10-13","21.6"
"292",4,"2016-10-13","21.8"
"293",5,"2016-10-13","21.5"
"294",6,"2016-10-13","21.6"
"295",7,"2016-10-13","21.7"
"296",8,"2016-10-13","23.1"
"297",9,"2016-10-13","24.5"
"298",10,"2016-10-13","25.1"
"299",11,"2016-10-13","26.0"
"300",12,"2016-10-13","26.9"
"301",13,"2016-10-13","27.0"
"302",14,"2016-10-13","26.1"
"303",15,"2016-10-13","24.8"
"304",16,"2016-10-13","24.1"
"305",17,"2016-10-13","23.3"
"306",18,"2016-10-13","22.9"
"307",19,"2016-10-13","22.9"
"308",20,"2016-10-13","23.1"
"309",21,"2016-10-13","23.3"
"310",22,"2016-10-13","23.4"
"311",23,"2016-10-13","23.3"
"312",24,"2016-10-13","23.3"
"313",1,"2016-10-14","23.1"
"314",2,"2016-10-14","23.1"
"315",3,"2016-10-14","23.0"
"316",4,"2016-10-14","22.8"
"317",5,"2016-10-14","22.7"
"318",6,"2016-10-14","22.7"
"319",7,"2016-10-14","22.9"
"320",8,"2016-10-14","23.4"
"321",9,"2016-10-14","25.3"
"322",10,"2016-10-14","26.0"
"323",11,"2016-10-14","26.7"
"324",12,"2016-10-14","27.5"
"325",13,"2016-10-14","27.0"
"326",14,"2016-10-14","27.0"
"327",15,"2016-10-14","27.0"
"328",16,"2016-10-14","25.9"
"329",17,"2016-10-14","24.6"
"330",18,"2016-10-14","24.2"
"331",19,"2016-10-14","24.0"
"332",20,"2016-10-14","24.0"
"333",21,"2016-10-14","23.9"
"334",22,"2016-10-14","24.0"
"335",23,"2016-10-14","X"
"336",24,"2016-10-14","24.2"
"337",1,"2016-10-15","23.8"
"338",2,"2016-10-15","24.0"
"339",3,"2016-10-15","23.7"
"340",4,"2016-10-15","23.7"
"341",5,"2016-10-15","23.7"
"342",6,"2016-10-15","23.5"
"343",7,"2016-10-15","24.5"
"344",8,"2016-10-15","25.3"
"345",9,"2016-10-15","27.6"
"346",10,"2016-10-15","28.9"
"347",11,"2016-10-15","29.8"
"348",12,"2016-10-15","30.7"
"349",13,"2016-10-15","32.4"
"350",14,"2016-10-15","33.4"
"351",15,"2016-10-15","32.3"
"352",16,"2016-10-15","30.6"
"353",17,"2016-10-15","28.4"
"354",18,"2016-10-15","26.9"
"355",19,"2016-10-15","26.4"
"356",20,"2016-10-15","25.4"
"357",21,"2016-10-15","25.1"
"358",22,"2016-10-15","25.2"
"359",23,"2016-10-15","25.2"
"360",24,"2016-10-15","24.9"
"361",1,"2016-10-16","24.8"
"362",2,"2016-10-16","24.6"
"363",3,"2016-10-16","24.2"
"364",4,"2016-10-16","23.6"
"365",5,"2016-10-16","23.2"
"366",6,"2016-10-16","23.0"
"367",7,"2016-10-16","23.6"
"368",8,"2016-10-16","25.9"
"369",9,"2016-10-16","28.2"
"370",10,"2016-10-16","29.1"
"371",11,"2016-10-16","30.4"
"372",12,"2016-10-16","32.1"
"373",13,"2016-10-16","33.1"
"374",14,"2016-10-16","31.3"
"375",15,"2016-10-16","30.4"
"376",16,"2016-10-16","30.8"
"377",17,"2016-10-16","28.8"
"378",18,"2016-10-16","26.9"
"379",19,"2016-10-16","26.2"
"380",20,"2016-10-16","26.5"
"381",21,"2016-10-16","25.4"
"382",22,"2016-10-16","25.5"
"383",23,"2016-10-16","25.4"
"384",24,"2016-10-16","24.7"
"385",1,"2016-10-17","24.4"
"386",2,"2016-10-17","24.5"
"387",3,"2016-10-17","23.8"
"388",4,"2016-10-17","23.2"
"389",5,"2016-10-17","23.5"
"390",6,"2016-10-17","22.4"
"391",7,"2016-10-17","24.1"
"392",8,"2016-10-17","27.1"
"393",9,"2016-10-17","29.2"
"394",10,"2016-10-17","30.4"
"395",11,"2016-10-17","31.3"
"396",12,"2016-10-17","32.4"
"397",13,"2016-10-17","33.6"
"398",14,"2016-10-17","34.4"
"399",15,"2016-10-17","34.4"
"400",16,"2016-10-17","32.7"
"401",17,"2016-10-17","30.9"
"402",18,"2016-10-17","28.9"
"403",19,"2016-10-17","27.5"
"404",20,"2016-10-17","26.6"
"405",21,"2016-10-17","26.4"
"406",22,"2016-10-17","26.0"
"407",23,"2016-10-17","25.8"
"408",24,"2016-10-17","25.4"
"409",1,"2016-10-18","25.2"
"410",2,"2016-10-18","25.3"
"411",3,"2016-10-18","25.1"
"412",4,"2016-10-18","25.2"
"413",5,"2016-10-18","24.9"
"414",6,"2016-10-18","24.7"
"415",7,"2016-10-18","25.0"
"416",8,"2016-10-18","26.7"
"417",9,"2016-10-18","28.7"
"418",10,"2016-10-18","31.1"
"419",11,"2016-10-18","31.5"
"420",12,"2016-10-18","32.1"
"421",13,"2016-10-18","32.1"
"422",14,"2016-10-18","30.9"
"423",15,"2016-10-18","29.4"
"424",16,"2016-10-18","28.8"
"425",17,"2016-10-18","28.6"
"426",18,"2016-10-18","27.6"
"427",19,"2016-10-18","26.7"
"428",20,"2016-10-18","26.5"
"429",21,"2016-10-18","25.4"
"430",22,"2016-10-18","25.3"
"431",23,"2016-10-18","24.7"
"432",24,"2016-10-18","24.7"
"433",1,"2016-10-19","24.0"
"434",2,"2016-10-19","23.8"
"435",3,"2016-10-19","23.6"
"436",4,"2016-10-19","23.4"
"437",5,"2016-10-19","23.7"
"438",6,"2016-10-19","23.1"
"439",7,"2016-10-19","24.4"
"440",8,"2016-10-19","26.3"
"441",9,"2016-10-19","29.3"
"442",10,"2016-10-19","28.2"
"443",11,"2016-10-19","30.4"
"444",12,"2016-10-19","32.8"
"445",13,"2016-10-19","30.6"
"446",14,"2016-10-19","30.3"
"447",15,"2016-10-19","30.6"
"448",16,"2016-10-19","29.1"
"449",17,"2016-10-19","28.0"
"450",18,"2016-10-19","27.0"
"451",19,"2016-10-19","26.4"
"452",20,"2016-10-19","26.1"
"453",21,"2016-10-19","25.4"
"454",22,"2016-10-19","25.9"
"455",23,"2016-10-19","25.6"
"456",24,"2016-10-19","25.4"
"457",1,"2016-10-20","24.6"
"458",2,"2016-10-20","24.9"
"459",3,"2016-10-20","24.2"
"460",4,"2016-10-20","25.7"
"461",5,"2016-10-20","26.5"
"462",6,"2016-10-20","26.4"
"463",7,"2016-10-20","27.0"
"464",8,"2016-10-20","25.3"
"465",9,"2016-10-20","26.6"
"466",10,"2016-10-20","28.1"
"467",11,"2016-10-20","29.1"
"468",12,"2016-10-20","29.2"
"469",13,"2016-10-20","29.4"
"470",14,"2016-10-20","32.8"
"471",15,"2016-10-20","32.5"
"472",16,"2016-10-20","30.9"
"473",17,"2016-10-20","28.8"
"474",18,"2016-10-20","28.2"
"475",19,"2016-10-20","27.7"
"476",20,"2016-10-20","26.8"
"477",21,"2016-10-20","26.2"
"478",22,"2016-10-20","26.0"
"479",23,"2016-10-20","26.0"
"480",24,"2016-10-20","25.6"
"481",1,"2016-10-21","25.6"
"482",2,"2016-10-21","24.9"
"483",3,"2016-10-21","25.5"
"484",4,"2016-10-21","25.1"
"485",5,"2016-10-21","24.8"
"486",6,"2016-10-21","24.6"
"487",7,"2016-10-21","25.0"
"488",8,"2016-10-21","26.1"
"489",9,"2016-10-21","27.2"
"490",10,"2016-10-21","27.5"
"491",11,"2016-10-21","30.7"
"492",12,"2016-10-21","30.5"
"493",13,"2016-10-21","31.1"
"494",14,"2016-10-21","30.9"
"495",15,"2016-10-21","29.9"
"496",16,"2016-10-21","29.1"
"497",17,"2016-10-21","28.6"
"498",18,"2016-10-21","27.3"
"499",19,"2016-10-21","26.8"
"500",20,"2016-10-21","26.1"
"501",21,"2016-10-21","26.4"
"502",22,"2016-10-21","25.9"
"503",23,"2016-10-21","25.8"
"504",24,"2016-10-21","25.7"
"505",1,"2016-10-22","25.3"
"506",2,"2016-10-22","25.6"
"507",3,"2016-10-22","25.4"
"508",4,"2016-10-22","24.9"
"509",5,"2016-10-22","24.7"
"510",6,"2016-10-22","24.7"
"511",7,"2016-10-22","24.7"
"512",8,"2016-10-22","27.1"
"513",9,"2016-10-22","29.2"
"514",10,"2016-10-22","31.4"
"515",11,"2016-10-22","29.8"
"516",12,"2016-10-22","29.6"
"517",13,"2016-10-22","29.4"
"518",14,"2016-10-22","28.5"
"519",15,"2016-10-22","27.7"
"520",16,"2016-10-22","25.8"
"521",17,"2016-10-22","25.9"
"522",18,"2016-10-22","26.0"
"523",19,"2016-10-22","26.0"
"524",20,"2016-10-22","25.7"
