"","Hour","variable","value"
"1",1,"2017-01-17","99"
"2",2,"2017-01-17","99"
"3",3,"2017-01-17","99"
"4",4,"2017-01-17","99"
"5",5,"2017-01-17","99"
"6",6,"2017-01-17","99"
"7",7,"2017-01-17","99"
"8",8,"2017-01-17","99"
"9",9,"2017-01-17","86"
"10",10,"2017-01-17","76"
"11",11,"2017-01-17","66"
"12",12,"2017-01-17","59"
"13",13,"2017-01-17","59"
"14",14,"2017-01-17","55"
"15",15,"2017-01-17","68"
"16",16,"2017-01-17","67"
"17",17,"2017-01-17","74"
"18",18,"2017-01-17","81"
"19",19,"2017-01-17","86"
"20",20,"2017-01-17","91"
"21",21,"2017-01-17","95"
"22",22,"2017-01-17","97"
"23",23,"2017-01-17","98"
"24",24,"2017-01-17","99"
"25",1,"2017-01-18","99"
"26",2,"2017-01-18","99"
"27",3,"2017-01-18","99"
"28",4,"2017-01-18","99"
"29",5,"2017-01-18","99"
"30",6,"2017-01-18","99"
"31",7,"2017-01-18","99"
"32",8,"2017-01-18","99"
"33",9,"2017-01-18","91"
"34",10,"2017-01-18","79"
"35",11,"2017-01-18","70"
"36",12,"2017-01-18","64"
"37",13,"2017-01-18","55"
"38",14,"2017-01-18","49"
"39",15,"2017-01-18","55"
"40",16,"2017-01-18","70"
"41",17,"2017-01-18","77"
"42",18,"2017-01-18","84"
"43",19,"2017-01-18","87"
"44",20,"2017-01-18","90"
"45",21,"2017-01-18","92"
"46",22,"2017-01-18","94"
"47",23,"2017-01-18","96"
"48",24,"2017-01-18","98"
"49",1,"2017-01-19","99"
"50",2,"2017-01-19","99"
"51",3,"2017-01-19","99"
"52",4,"2017-01-19","99"
"53",5,"2017-01-19","99"
"54",6,"2017-01-19","99"
"55",7,"2017-01-19","99"
"56",8,"2017-01-19","99"
"57",9,"2017-01-19","84"
"58",10,"2017-01-19","74"
"59",11,"2017-01-19","69"
"60",12,"2017-01-19","64"
"61",13,"2017-01-19","57"
"62",14,"2017-01-19","53"
"63",15,"2017-01-19","52"
"64",16,"2017-01-19","51"
"65",17,"2017-01-19","73"
"66",18,"2017-01-19","80"
"67",19,"2017-01-19","87"
"68",20,"2017-01-19","93"
"69",21,"2017-01-19","96"
"70",22,"2017-01-19","98"
"71",23,"2017-01-19","99"
"72",24,"2017-01-19","99"
"73",1,"2017-01-20","99"
"74",2,"2017-01-20","99"
"75",3,"2017-01-20","99"
"76",4,"2017-01-20","99"
"77",5,"2017-01-20","99"
"78",6,"2017-01-20","98"
"79",7,"2017-01-20","97"
"80",8,"2017-01-20","94"
"81",9,"2017-01-20","89"
"82",10,"2017-01-20","83"
"83",11,"2017-01-20","75"
"84",12,"2017-01-20","70"
"85",13,"2017-01-20","65"
"86",14,"2017-01-20","60"
"87",15,"2017-01-20","60"
"88",16,"2017-01-20","62"
"89",17,"2017-01-20","69"
"90",18,"2017-01-20","74"
"91",19,"2017-01-20","75"
"92",20,"2017-01-20","79"
"93",21,"2017-01-20","82"
"94",22,"2017-01-20","78"
"95",23,"2017-01-20","76"
"96",24,"2017-01-20","75"
"97",1,"2017-01-21","75"
"98",2,"2017-01-21","73"
"99",3,"2017-01-21","73"
"100",4,"2017-01-21","73"
"101",5,"2017-01-21","73"
"102",6,"2017-01-21","74"
"103",7,"2017-01-21","74"
"104",8,"2017-01-21","73"
"105",9,"2017-01-21","78"
"106",10,"2017-01-21","67"
"107",11,"2017-01-21","65"
"108",12,"2017-01-21","64"
"109",13,"2017-01-21","64"
"110",14,"2017-01-21","64"
"111",15,"2017-01-21","62"
"112",16,"2017-01-21","61"
"113",17,"2017-01-21","68"
"114",18,"2017-01-21","73"
"115",19,"2017-01-21","80"
"116",20,"2017-01-21","82"
"117",21,"2017-01-21","87"
"118",22,"2017-01-21","89"
"119",23,"2017-01-21","89"
"120",24,"2017-01-21","90"
"121",1,"2017-01-22","89"
"122",2,"2017-01-22","90"
"123",3,"2017-01-22","X"
"124",4,"2017-01-22","91"
"125",5,"2017-01-22","90"
"126",6,"2017-01-22","91"
"127",7,"2017-01-22","90"
"128",8,"2017-01-22","85"
"129",9,"2017-01-22","79"
