"","Hour","variable","value"
"1",1,"2016-10-01","98"
"2",2,"2016-10-01","98"
"3",3,"2016-10-01","98"
"4",4,"2016-10-01","98"
"5",5,"2016-10-01","98"
"6",6,"2016-10-01","98"
"7",7,"2016-10-01","98"
"8",8,"2016-10-01","94"
"9",9,"2016-10-01","82"
"10",10,"2016-10-01","81"
"11",11,"2016-10-01","74"
"12",12,"2016-10-01","72"
"13",13,"2016-10-01","74"
"14",14,"2016-10-01","79"
"15",15,"2016-10-01","94"
"16",16,"2016-10-01","95"
"17",17,"2016-10-01","97"
"18",18,"2016-10-01","97"
"19",19,"2016-10-01","97"
"20",20,"2016-10-01","98"
"21",21,"2016-10-01","98"
"22",22,"2016-10-01","98"
"23",23,"2016-10-01","98"
"24",24,"2016-10-01","96"
"25",1,"2016-10-02","97"
"26",2,"2016-10-02","95"
"27",3,"2016-10-02","97"
"28",4,"2016-10-02","97"
"29",5,"2016-10-02","95"
"30",6,"2016-10-02","93"
"31",7,"2016-10-02","96"
"32",8,"2016-10-02","88"
"33",9,"2016-10-02","76"
"34",10,"2016-10-02","66"
"35",11,"2016-10-02","64"
"36",12,"2016-10-02","63"
"37",13,"2016-10-02","61"
"38",14,"2016-10-02","58"
"39",15,"2016-10-02","58"
"40",16,"2016-10-02","62"
"41",17,"2016-10-02","69"
"42",18,"2016-10-02","83"
"43",19,"2016-10-02","88"
"44",20,"2016-10-02","93"
"45",21,"2016-10-02","92"
"46",22,"2016-10-02","93"
"47",23,"2016-10-02","97"
"48",24,"2016-10-02","97"
"49",1,"2016-10-03","97"
"50",2,"2016-10-03","97"
"51",3,"2016-10-03","98"
"52",4,"2016-10-03","98"
"53",5,"2016-10-03","97"
"54",6,"2016-10-03","98"
"55",7,"2016-10-03","93"
"56",8,"2016-10-03","86"
"57",9,"2016-10-03","81"
"58",10,"2016-10-03","72"
"59",11,"2016-10-03","65"
"60",12,"2016-10-03","65"
"61",13,"2016-10-03","X"
"62",14,"2016-10-03","66"
"63",15,"2016-10-03","71"
"64",16,"2016-10-03","72"
"65",17,"2016-10-03","75"
"66",18,"2016-10-03","81"
"67",19,"2016-10-03","89"
"68",20,"2016-10-03","91"
"69",21,"2016-10-03","94"
"70",22,"2016-10-03","95"
"71",23,"2016-10-03","97"
"72",24,"2016-10-03","97"
"73",1,"2016-10-04","97"
"74",2,"2016-10-04","97"
"75",3,"2016-10-04","97"
"76",4,"2016-10-04","97"
"77",5,"2016-10-04","97"
"78",6,"2016-10-04","97"
"79",7,"2016-10-04","96"
"80",8,"2016-10-04","89"
"81",9,"2016-10-04","X"
"82",10,"2016-10-04","73"
"83",11,"2016-10-04","69"
"84",12,"2016-10-04","67"
"85",13,"2016-10-04","65"
"86",14,"2016-10-04","64"
"87",15,"2016-10-04","64"
"88",16,"2016-10-04","67"
"89",17,"2016-10-04","70"
"90",18,"2016-10-04","76"
"91",19,"2016-10-04","80"
"92",20,"2016-10-04","85"
"93",21,"2016-10-04","90"
"94",22,"2016-10-04","92"
"95",23,"2016-10-04","92"
"96",24,"2016-10-04","92"
"97",1,"2016-10-05","91"
"98",2,"2016-10-05","94"
"99",3,"2016-10-05","95"
"100",4,"2016-10-05","95"
"101",5,"2016-10-05","95"
"102",6,"2016-10-05","96"
"103",7,"2016-10-05","X"
"104",8,"2016-10-05","79"
"105",9,"2016-10-05","77"
"106",10,"2016-10-05","66"
"107",11,"2016-10-05","60"
"108",12,"2016-10-05","X"
"109",13,"2016-10-05","59"
"110",14,"2016-10-05","59"
"111",15,"2016-10-05","56"
"112",16,"2016-10-05","57"
"113",17,"2016-10-05","64"
"114",18,"2016-10-05","75"
"115",19,"2016-10-05","81"
"116",20,"2016-10-05","85"
"117",21,"2016-10-05","90"
"118",22,"2016-10-05","95"
"119",23,"2016-10-05","94"
"120",24,"2016-10-05","96"
"121",1,"2016-10-06","92"
"122",2,"2016-10-06","95"
"123",3,"2016-10-06","97"
"124",4,"2016-10-06","92"
"125",5,"2016-10-06","96"
"126",6,"2016-10-06","96"
"127",7,"2016-10-06","95"
"128",8,"2016-10-06","94"
"129",9,"2016-10-06","79"
"130",10,"2016-10-06","75"
"131",11,"2016-10-06","78"
"132",12,"2016-10-06","74"
"133",13,"2016-10-06","73"
"134",14,"2016-10-06","69"
"135",15,"2016-10-06","74"
"136",16,"2016-10-06","80"
"137",17,"2016-10-06","85"
"138",18,"2016-10-06","91"
