"","Hour","variable","value"
"1",1,"2017-01-17","1012.3"
"2",2,"2017-01-17","1012.0"
"3",3,"2017-01-17","1012.3"
"4",4,"2017-01-17","1011.9"
"5",5,"2017-01-17","1012.0"
"6",6,"2017-01-17","1012.2"
"7",7,"2017-01-17","1013.0"
"8",8,"2017-01-17","1013.6"
"9",9,"2017-01-17","1014.0"
"10",10,"2017-01-17","1013.9"
"11",11,"2017-01-17","1013.2"
"12",12,"2017-01-17","1012.3"
"13",13,"2017-01-17","1011.4"
"14",14,"2017-01-17","1010.6"
"15",15,"2017-01-17","1010.3"
"16",16,"2017-01-17","1010.6"
"17",17,"2017-01-17","1011.1"
"18",18,"2017-01-17","1011.7"
"19",19,"2017-01-17","1012.6"
"20",20,"2017-01-17","1013.2"
"21",21,"2017-01-17","1013.6"
"22",22,"2017-01-17","1014.0"
"23",23,"2017-01-17","1014.2"
"24",24,"2017-01-17","1014.1"
"25",1,"2017-01-18","1014.1"
"26",2,"2017-01-18","1013.9"
"27",3,"2017-01-18","1013.9"
"28",4,"2017-01-18","1013.8"
"29",5,"2017-01-18","1013.8"
"30",6,"2017-01-18","1014.0"
"31",7,"2017-01-18","1014.0"
"32",8,"2017-01-18","1014.5"
"33",9,"2017-01-18","1014.9"
"34",10,"2017-01-18","1014.6"
"35",11,"2017-01-18","1013.7"
"36",12,"2017-01-18","1012.9"
"37",13,"2017-01-18","1011.4"
"38",14,"2017-01-18","1010.7"
"39",15,"2017-01-18","1010.3"
"40",16,"2017-01-18","1010.6"
"41",17,"2017-01-18","1010.9"
"42",18,"2017-01-18","1011.2"
"43",19,"2017-01-18","1011.8"
"44",20,"2017-01-18","1012.2"
"45",21,"2017-01-18","1012.7"
"46",22,"2017-01-18","1012.8"
"47",23,"2017-01-18","1012.7"
"48",24,"2017-01-18","1012.5"
"49",1,"2017-01-19","1012.2"
"50",2,"2017-01-19","1012.1"
"51",3,"2017-01-19","1012.1"
"52",4,"2017-01-19","1012.1"
"53",5,"2017-01-19","1012.3"
"54",6,"2017-01-19","1012.4"
"55",7,"2017-01-19","1012.7"
"56",8,"2017-01-19","1013.1"
"57",9,"2017-01-19","1013.4"
"58",10,"2017-01-19","1013.0"
"59",11,"2017-01-19","1012.4"
"60",12,"2017-01-19","1011.3"
"61",13,"2017-01-19","1009.9"
"62",14,"2017-01-19","1008.9"
"63",15,"2017-01-19","1008.3"
"64",16,"2017-01-19","1008.2"
"65",17,"2017-01-19","1008.7"
"66",18,"2017-01-19","1009.3"
"67",19,"2017-01-19","1010.0"
"68",20,"2017-01-19","1010.5"
"69",21,"2017-01-19","1010.7"
"70",22,"2017-01-19","1010.9"
"71",23,"2017-01-19","1011.2"
"72",24,"2017-01-19","1011.1"
"73",1,"2017-01-20","1011.0"
"74",2,"2017-01-20","1011.1"
"75",3,"2017-01-20","1011.0"
"76",4,"2017-01-20","1011.0"
"77",5,"2017-01-20","1011.2"
"78",6,"2017-01-20","1011.7"
"79",7,"2017-01-20","1012.3"
"80",8,"2017-01-20","1012.9"
"81",9,"2017-01-20","1013.6"
"82",10,"2017-01-20","1013.9"
"83",11,"2017-01-20","1013.6"
"84",12,"2017-01-20","1012.6"
"85",13,"2017-01-20","1011.4"
"86",14,"2017-01-20","1010.5"
"87",15,"2017-01-20","1009.9"
"88",16,"2017-01-20","1010.2"
"89",17,"2017-01-20","1010.8"
"90",18,"2017-01-20","1011.7"
"91",19,"2017-01-20","1012.5"
"92",20,"2017-01-20","1013.2"
"93",21,"2017-01-20","1013.8"
"94",22,"2017-01-20","1013.9"
"95",23,"2017-01-20","1014.1"
"96",24,"2017-01-20","1014.2"
"97",1,"2017-01-21","1014.1"
"98",2,"2017-01-21","1014.2"
"99",3,"2017-01-21","1014.1"
"100",4,"2017-01-21","1014.2"
"101",5,"2017-01-21","1014.5"
"102",6,"2017-01-21","1015.1"
"103",7,"2017-01-21","1015.7"
"104",8,"2017-01-21","1016.4"
"105",9,"2017-01-21","1017.2"
"106",10,"2017-01-21","1017.2"
"107",11,"2017-01-21","1016.7"
"108",12,"2017-01-21","1015.4"
"109",13,"2017-01-21","1014.5"
"110",14,"2017-01-21","1013.5"
"111",15,"2017-01-21","1012.8"
"112",16,"2017-01-21","1012.9"
"113",17,"2017-01-21","1013.4"
"114",18,"2017-01-21","1013.9"
"115",19,"2017-01-21","1014.7"
"116",20,"2017-01-21","1015.6"
"117",21,"2017-01-21","1016.1"
"118",22,"2017-01-21","1016.3"
"119",23,"2017-01-21","1016.4"
"120",24,"2017-01-21","1016.3"
"121",1,"2017-01-22","1016.4"
"122",2,"2017-01-22","1016.3"
"123",3,"2017-01-22","X"
"124",4,"2017-01-22","1015.7"
"125",5,"2017-01-22","1016.1"
"126",6,"2017-01-22","1016.6"
"127",7,"2017-01-22","1017.1"
"128",8,"2017-01-22","1017.5"
"129",9,"2017-01-22","1017.6"
"130",10,"2017-01-22","1017.5"
"131",11,"2017-01-22","1016.9"
"132",12,"2017-01-22","1015.9"
"133",13,"2017-01-22","1014.6"
"134",14,"2017-01-22","1013.7"
"135",15,"2017-01-22","1013.2"
"136",16,"2017-01-22","1013.2"
"137",17,"2017-01-22","1013.6"
"138",18,"2017-01-22","1014.1"
"139",19,"2017-01-22","1014.8"
"140",20,"2017-01-22","1015.6"
"141",21,"2017-01-22","1016.1"
"142",22,"2017-01-22","1016.2"
"143",23,"2017-01-22","1015.9"
"144",24,"2017-01-22","1015.5"
"145",1,"2017-01-23","1015.3"
"146",2,"2017-01-23","1015.2"
"147",3,"2017-01-23","1015.2"
"148",4,"2017-01-23","1015.0"
"149",5,"2017-01-23","1015.2"
"150",6,"2017-01-23","1015.7"
"151",7,"2017-01-23","1016.2"
"152",8,"2017-01-23","1016.9"
"153",9,"2017-01-23","1017.3"
"154",10,"2017-01-23","1017.4"
"155",11,"2017-01-23","1017.1"
"156",12,"2017-01-23","1016.1"
"157",13,"2017-01-23","1014.9"
"158",14,"2017-01-23","1014.2"
"159",15,"2017-01-23","1013.7"
"160",16,"2017-01-23","1013.7"
"161",17,"2017-01-23","1014.2"
"162",18,"2017-01-23","1014.8"
"163",19,"2017-01-23","1015.5"
"164",20,"2017-01-23","1015.9"
"165",21,"2017-01-23","1016.2"
"166",22,"2017-01-23","1016.7"
"167",23,"2017-01-23","X"
"168",24,"2017-01-23","1016.9"
"169",1,"2017-01-24","1016.7"
"170",2,"2017-01-24","1016.3"
"171",3,"2017-01-24","1015.8"
"172",4,"2017-01-24","1015.5"
"173",5,"2017-01-24","1015.4"
"174",6,"2017-01-24","1016.1"
"175",7,"2017-01-24","1016.7"
"176",8,"2017-01-24","1017.1"
"177",9,"2017-01-24","1017.6"
