"","Hour","variable","value"
"1",1,"2017-01-17","0.0"
"2",2,"2017-01-17","0.0"
"3",3,"2017-01-17","0.0"
"4",4,"2017-01-17","0.0"
"5",5,"2017-01-17","0.0"
"6",6,"2017-01-17","0.0"
"7",7,"2017-01-17","0.0"
"8",8,"2017-01-17","0.0"
"9",9,"2017-01-17","0.0"
"10",10,"2017-01-17","0.0"
"11",11,"2017-01-17","0.0"
"12",12,"2017-01-17","0.0"
"13",13,"2017-01-17","X"
"14",14,"2017-01-17","0.0"
"15",15,"2017-01-17","0.0"
"16",16,"2017-01-17","0.0"
"17",17,"2017-01-17","0.0"
"18",18,"2017-01-17","0.0"
"19",19,"2017-01-17","0.0"
"20",20,"2017-01-17","0.0"
"21",21,"2017-01-17","0.0"
"22",22,"2017-01-17","0.0"
"23",23,"2017-01-17","0.0"
"24",24,"2017-01-17","0.0"
"25",1,"2017-01-18","0.0"
"26",2,"2017-01-18","0.0"
"27",3,"2017-01-18","0.0"
"28",4,"2017-01-18","0.0"
"29",5,"2017-01-18","0.0"
"30",6,"2017-01-18","0.0"
"31",7,"2017-01-18","0.0"
"32",8,"2017-01-18","0.0"
"33",9,"2017-01-18","0.0"
"34",10,"2017-01-18","0.0"
"35",11,"2017-01-18","0.0"
"36",12,"2017-01-18","0.0"
"37",13,"2017-01-18","0.0"
"38",14,"2017-01-18","0.0"
"39",15,"2017-01-18","0.0"
"40",16,"2017-01-18","0.0"
"41",17,"2017-01-18","0.0"
"42",18,"2017-01-18","0.0"
"43",19,"2017-01-18","0.0"
"44",20,"2017-01-18","0.0"
"45",21,"2017-01-18","0.0"
"46",22,"2017-01-18","0.0"
"47",23,"2017-01-18","0.0"
"48",24,"2017-01-18","0.0"
"49",1,"2017-01-19","0.0"
"50",2,"2017-01-19","0.0"
"51",3,"2017-01-19","0.0"
"52",4,"2017-01-19","0.0"
"53",5,"2017-01-19","0.0"
"54",6,"2017-01-19","X"
"55",7,"2017-01-19","0.0"
"56",8,"2017-01-19","0.0"
"57",9,"2017-01-19","0.0"
"58",10,"2017-01-19","0.0"
"59",11,"2017-01-19","0.0"
"60",12,"2017-01-19","0.0"
"61",13,"2017-01-19","0.0"
"62",14,"2017-01-19","0.0"
"63",15,"2017-01-19","0.0"
"64",16,"2017-01-19","0.0"
"65",17,"2017-01-19","0.0"
"66",18,"2017-01-19","0.0"
"67",19,"2017-01-19","0.0"
"68",20,"2017-01-19","0.0"
"69",21,"2017-01-19","0.0"
"70",22,"2017-01-19","0.0"
"71",23,"2017-01-19","0.0"
"72",24,"2017-01-19","0.0"
"73",1,"2017-01-20","0.0"
"74",2,"2017-01-20","0.0"
"75",3,"2017-01-20","0.0"
"76",4,"2017-01-20","0.0"
"77",5,"2017-01-20","0.0"
"78",6,"2017-01-20","0.0"
"79",7,"2017-01-20","0.0"
"80",8,"2017-01-20","0.0"
"81",9,"2017-01-20","0.0"
"82",10,"2017-01-20","0.0"
"83",11,"2017-01-20","0.0"
"84",12,"2017-01-20","0.0"
"85",13,"2017-01-20","0.0"
"86",14,"2017-01-20","0.0"
"87",15,"2017-01-20","0.0"
"88",16,"2017-01-20","0.0"
"89",17,"2017-01-20","0.0"
"90",18,"2017-01-20","0.0"
"91",19,"2017-01-20","0.0"
"92",20,"2017-01-20","0.0"
"93",21,"2017-01-20","0.0"
"94",22,"2017-01-20","0.0"
"95",23,"2017-01-20","0.0"
"96",24,"2017-01-20","0.0"
"97",1,"2017-01-21","0.0"
"98",2,"2017-01-21","0.0"
"99",3,"2017-01-21","0.0"
"100",4,"2017-01-21","0.0"
"101",5,"2017-01-21","0.0"
"102",6,"2017-01-21","0.0"
"103",7,"2017-01-21","0.0"
"104",8,"2017-01-21","0.0"
"105",9,"2017-01-21","0.0"
"106",10,"2017-01-21","0.0"
"107",11,"2017-01-21","0.0"
"108",12,"2017-01-21","0.0"
"109",13,"2017-01-21","0.0"
"110",14,"2017-01-21","0.0"
"111",15,"2017-01-21","0.0"
"112",16,"2017-01-21","0.0"
"113",17,"2017-01-21","0.0"
"114",18,"2017-01-21","0.0"
"115",19,"2017-01-21","0.0"
"116",20,"2017-01-21","0.0"
"117",21,"2017-01-21","0.0"
"118",22,"2017-01-21","0.0"
"119",23,"2017-01-21","0.0"
"120",24,"2017-01-21","0.0"
"121",1,"2017-01-22","0.0"
"122",2,"2017-01-22","0.0"
"123",3,"2017-01-22","0.0"
"124",4,"2017-01-22","0.0"
"125",5,"2017-01-22","0.0"
"126",6,"2017-01-22","0.0"
"127",7,"2017-01-22","0.0"
"128",8,"2017-01-22","0.0"
"129",9,"2017-01-22","0.0"
"130",10,"2017-01-22","0.0"
"131",11,"2017-01-22","0.0"
"132",12,"2017-01-22","0.0"
"133",13,"2017-01-22","0.0"
"134",14,"2017-01-22","0.0"
"135",15,"2017-01-22","0.0"
"136",16,"2017-01-22","0.0"
"137",17,"2017-01-22","0.0"
"138",18,"2017-01-22","0.0"
"139",19,"2017-01-22","0.0"
"140",20,"2017-01-22","0.0"
"141",21,"2017-01-22","0.0"
"142",22,"2017-01-22","0.0"
"143",23,"2017-01-22","0.0"
"144",24,"2017-01-22","0.0"
"145",1,"2017-01-23","0.0"
"146",2,"2017-01-23","0.0"
"147",3,"2017-01-23","0.0"
"148",4,"2017-01-23","0.0"
"149",5,"2017-01-23","0.0"
"150",6,"2017-01-23","0.0"
"151",7,"2017-01-23","0.0"
"152",8,"2017-01-23","0.0"
"153",9,"2017-01-23","0.0"
"154",10,"2017-01-23","0.0"
"155",11,"2017-01-23","0.0"
"156",12,"2017-01-23","0.0"
"157",13,"2017-01-23","0.0"
"158",14,"2017-01-23","0.0"
"159",15,"2017-01-23","0.0"
"160",16,"2017-01-23","0.0"
"161",17,"2017-01-23","0.0"
"162",18,"2017-01-23","0.0"
"163",19,"2017-01-23","0.0"
"164",20,"2017-01-23","0.0"
"165",21,"2017-01-23","0.0"
"166",22,"2017-01-23","0.0"
"167",23,"2017-01-23","0.0"
"168",24,"2017-01-23","0.0"
"169",1,"2017-01-24","0.0"
"170",2,"2017-01-24","0.0"
"171",3,"2017-01-24","0.0"
"172",4,"2017-01-24","0.0"
"173",5,"2017-01-24","0.0"
"174",6,"2017-01-24","0.0"
"175",7,"2017-01-24","0.0"
"176",8,"2017-01-24","0.0"
"177",9,"2017-01-24","0.0"
"178",10,"2017-01-24","0.0"
"179",11,"2017-01-24","0.0"
"180",12,"2017-01-24","0.0"
"181",13,"2017-01-24","0.0"
"182",14,"2017-01-24","0.0"
"183",15,"2017-01-24","0.0"
"184",16,"2017-01-24","0.0"
"185",17,"2017-01-24","0.0"
"186",18,"2017-01-24","0.0"
"187",19,"2017-01-24","0.0"
"188",20,"2017-01-24","0.0"
"189",21,"2017-01-24","0.0"
"190",22,"2017-01-24","0.0"
"191",23,"2017-01-24","0.0"
"192",24,"2017-01-24","0.0"
"193",1,"2017-01-25","0.0"
"194",2,"2017-01-25","0.0"
"195",3,"2017-01-25","0.0"
"196",4,"2017-01-25","0.0"
"197",5,"2017-01-25","0.0"
"198",6,"2017-01-25","0.0"
"199",7,"2017-01-25","0.0"
"200",8,"2017-01-25","0.0"
"201",9,"2017-01-25","0.0"
"202",10,"2017-01-25","0.0"
"203",11,"2017-01-25","0.0"
"204",12,"2017-01-25","0.0"
"205",13,"2017-01-25","0.0"
"206",14,"2017-01-25","0.0"
"207",15,"2017-01-25","0.0"
"208",16,"2017-01-25","0.0"
"209",17,"2017-01-25","0.0"
"210",18,"2017-01-25","0.0"
"211",19,"2017-01-25","0.0"
"212",20,"2017-01-25","0.0"
"213",21,"2017-01-25","0.0"
"214",22,"2017-01-25","0.0"
"215",23,"2017-01-25","0.0"
"216",24,"2017-01-25","0.0"
"217",1,"2017-01-26","0.0"
"218",2,"2017-01-26","0.0"
"219",3,"2017-01-26","0.0"
"220",4,"2017-01-26","0.0"
"221",5,"2017-01-26","0.0"
"222",6,"2017-01-26","0.0"
"223",7,"2017-01-26","0.0"
"224",8,"2017-01-26","0.0"
"225",9,"2017-01-26","0.0"
"226",10,"2017-01-26","0.0"
"227",11,"2017-01-26","0.0"
"228",12,"2017-01-26","0.0"
"229",13,"2017-01-26","0.0"
"230",14,"2017-01-26","0.0"
"231",15,"2017-01-26","0.0"
"232",16,"2017-01-26","0.0"
"233",17,"2017-01-26","0.0"
"234",18,"2017-01-26","0.0"
"235",19,"2017-01-26","0.0"
"236",20,"2017-01-26","0.0"
"237",21,"2017-01-26","0.0"
"238",22,"2017-01-26","0.0"
"239",23,"2017-01-26","0.0"
"240",24,"2017-01-26","0.0"
"241",1,"2017-01-27","0.0"
"242",2,"2017-01-27","0.0"
"243",3,"2017-01-27","0.0"
"244",4,"2017-01-27","0.0"
"245",5,"2017-01-27","0.0"
"246",6,"2017-01-27","0.0"
"247",7,"2017-01-27","0.0"
"248",8,"2017-01-27","0.0"
"249",9,"2017-01-27","0.0"
"250",10,"2017-01-27","0.0"
"251",11,"2017-01-27","0.0"
"252",12,"2017-01-27","0.0"
"253",13,"2017-01-27","0.0"
"254",14,"2017-01-27","0.0"
"255",15,"2017-01-27","0.0"
"256",16,"2017-01-27","0.0"
"257",17,"2017-01-27","0.0"
"258",18,"2017-01-27","0.0"
"259",19,"2017-01-27","0.0"
"260",20,"2017-01-27","0.0"
"261",21,"2017-01-27","0.0"
"262",22,"2017-01-27","0.0"
"263",23,"2017-01-27","0.0"
"264",24,"2017-01-27","0.0"
"265",1,"2017-01-28","0.0"
"266",2,"2017-01-28","0.0"
"267",3,"2017-01-28","0.0"
"268",4,"2017-01-28","0.0"
"269",5,"2017-01-28","0.0"
"270",6,"2017-01-28","0.0"
"271",7,"2017-01-28","0.0"
"272",8,"2017-01-28","0.0"
"273",9,"2017-01-28","0.0"
"274",10,"2017-01-28","0.0"
"275",11,"2017-01-28","0.0"
"276",12,"2017-01-28","0.0"
"277",13,"2017-01-28","0.0"
"278",14,"2017-01-28","0.0"
"279",15,"2017-01-28","0.0"
"280",16,"2017-01-28","0.0"
"281",17,"2017-01-28","0.0"
"282",18,"2017-01-28","0.0"
"283",19,"2017-01-28","0.0"
"284",20,"2017-01-28","0.0"
"285",21,"2017-01-28","0.0"
"286",22,"2017-01-28","0.0"
"287",23,"2017-01-28","0.0"
"288",24,"2017-01-28","0.0"
"289",1,"2017-01-29","0.0"
"290",2,"2017-01-29","0.0"
"291",3,"2017-01-29","0.0"
"292",4,"2017-01-29","0.0"
"293",5,"2017-01-29","0.0"
