"","Hour","variable","value"
"1",1,"2017-01-17","13.6"
"2",2,"2017-01-17","12.9"
"3",3,"2017-01-17","13.7"
"4",4,"2017-01-17","13.5"
"5",5,"2017-01-17","14.0"
"6",6,"2017-01-17","13.4"
"7",7,"2017-01-17","13.2"
"8",8,"2017-01-17","15.1"
"9",9,"2017-01-17","17.1"
"10",10,"2017-01-17","19.8"
"11",11,"2017-01-17","22.2"
"12",12,"2017-01-17","23.6"
"13",13,"2017-01-17","23.7"
"14",14,"2017-01-17","25.1"
"15",15,"2017-01-17","23.0"
"16",16,"2017-01-17","22.7"
"17",17,"2017-01-17","20.6"
"18",18,"2017-01-17","19.0"
"19",19,"2017-01-17","18.0"
"20",20,"2017-01-17","17.4"
"21",21,"2017-01-17","16.7"
"22",22,"2017-01-17","16.4"
"23",23,"2017-01-17","16.2"
"24",24,"2017-01-17","15.7"
"25",1,"2017-01-18","15.4"
"26",2,"2017-01-18","15.6"
"27",3,"2017-01-18","16.5"
"28",4,"2017-01-18","16.8"
"29",5,"2017-01-18","16.8"
"30",6,"2017-01-18","16.2"
"31",7,"2017-01-18","15.8"
"32",8,"2017-01-18","17.4"
"33",9,"2017-01-18","18.7"
"34",10,"2017-01-18","20.9"
"35",11,"2017-01-18","22.9"
"36",12,"2017-01-18","24.3"
"37",13,"2017-01-18","25.8"
"38",14,"2017-01-18","27.3"
"39",15,"2017-01-18","27.2"
"40",16,"2017-01-18","24.1"
"41",17,"2017-01-18","21.9"
"42",18,"2017-01-18","20.2"
"43",19,"2017-01-18","19.6"
"44",20,"2017-01-18","19.3"
"45",21,"2017-01-18","19.0"
"46",22,"2017-01-18","18.7"
"47",23,"2017-01-18","18.3"
"48",24,"2017-01-18","17.9"
"49",1,"2017-01-19","17.6"
"50",2,"2017-01-19","17.4"
"51",3,"2017-01-19","17.7"
"52",4,"2017-01-19","18.0"
"53",5,"2017-01-19","18.1"
"54",6,"2017-01-19","17.7"
"55",7,"2017-01-19","17.2"
"56",8,"2017-01-19","18.3"
"57",9,"2017-01-19","21.1"
"58",10,"2017-01-19","23.5"
"59",11,"2017-01-19","24.8"
"60",12,"2017-01-19","25.8"
"61",13,"2017-01-19","27.2"
"62",14,"2017-01-19","27.7"
"63",15,"2017-01-19","28.2"
"64",16,"2017-01-19","27.9"
"65",17,"2017-01-19","23.6"
"66",18,"2017-01-19","21.7"
"67",19,"2017-01-19","19.9"
"68",20,"2017-01-19","18.9"
"69",21,"2017-01-19","18.1"
"70",22,"2017-01-19","17.6"
"71",23,"2017-01-19","17.2"
"72",24,"2017-01-19","16.9"
"73",1,"2017-01-20","16.7"
"74",2,"2017-01-20","16.6"
"75",3,"2017-01-20","16.9"
"76",4,"2017-01-20","16.9"
"77",5,"2017-01-20","17.0"
"78",6,"2017-01-20","17.2"
"79",7,"2017-01-20","17.3"
"80",8,"2017-01-20","17.0"
"81",9,"2017-01-20","17.2"
"82",10,"2017-01-20","18.7"
"83",11,"2017-01-20","19.9"
"84",12,"2017-01-20","21.2"
"85",13,"2017-01-20","22.4"
"86",14,"2017-01-20","23.3"
"87",15,"2017-01-20","22.7"
"88",16,"2017-01-20","21.0"
"89",17,"2017-01-20","18.6"
"90",18,"2017-01-20","16.4"
"91",19,"2017-01-20","15.1"
"92",20,"2017-01-20","13.9"
"93",21,"2017-01-20","13.3"
"94",22,"2017-01-20","13.2"
"95",23,"2017-01-20","12.9"
"96",24,"2017-01-20","12.8"
"97",1,"2017-01-21","13.0"
"98",2,"2017-01-21","13.1"
"99",3,"2017-01-21","13.1"
"100",4,"2017-01-21","13.1"
"101",5,"2017-01-21","13.1"
"102",6,"2017-01-21","13.1"
"103",7,"2017-01-21","13.2"
"104",8,"2017-01-21","13.4"
"105",9,"2017-01-21","13.8"
"106",10,"2017-01-21","15.9"
"107",11,"2017-01-21","17.0"
"108",12,"2017-01-21","17.6"
"109",13,"2017-01-21","18.2"
"110",14,"2017-01-21","18.8"
"111",15,"2017-01-21","20.4"
"112",16,"2017-01-21","20.6"
"113",17,"2017-01-21","18.7"
"114",18,"2017-01-21","17.2"
"115",19,"2017-01-21","15.9"
"116",20,"2017-01-21","14.9"
"117",21,"2017-01-21","14.1"
"118",22,"2017-01-21","13.5"
"119",23,"2017-01-21","13.6"
"120",24,"2017-01-21","13.4"
"121",1,"2017-01-22","13.4"
"122",2,"2017-01-22","13.2"
"123",3,"2017-01-22","X"
"124",4,"2017-01-22","12.9"
"125",5,"2017-01-22","12.8"
"126",6,"2017-01-22","12.4"
"127",7,"2017-01-22","12.7"
"128",8,"2017-01-22","13.9"
"129",9,"2017-01-22","15.2"
"130",10,"2017-01-22","17.1"
"131",11,"2017-01-22","18.5"
"132",12,"2017-01-22","20.0"
"133",13,"2017-01-22","21.8"
"134",14,"2017-01-22","22.7"
"135",15,"2017-01-22","22.2"
"136",16,"2017-01-22","22.0"
"137",17,"2017-01-22","19.8"
"138",18,"2017-01-22","17.6"
"139",19,"2017-01-22","16.9"
"140",20,"2017-01-22","16.3"
"141",21,"2017-01-22","15.9"
"142",22,"2017-01-22","15.3"
"143",23,"2017-01-22","15.0"
"144",24,"2017-01-22","14.7"
"145",1,"2017-01-23","14.3"
"146",2,"2017-01-23","13.9"
"147",3,"2017-01-23","13.6"
"148",4,"2017-01-23","13.4"
"149",5,"2017-01-23","13.4"
"150",6,"2017-01-23","13.4"
"151",7,"2017-01-23","13.0"
"152",8,"2017-01-23","14.2"
"153",9,"2017-01-23","15.4"
"154",10,"2017-01-23","17.7"
"155",11,"2017-01-23","20.3"
"156",12,"2017-01-23","22.1"
"157",13,"2017-01-23","22.5"
"158",14,"2017-01-23","23.8"
"159",15,"2017-01-23","23.5"
"160",16,"2017-01-23","23.6"
"161",17,"2017-01-23","22.2"
"162",18,"2017-01-23","18.6"
"163",19,"2017-01-23","17.8"
"164",20,"2017-01-23","17.2"
"165",21,"2017-01-23","16.6"
"166",22,"2017-01-23","16.0"
"167",23,"2017-01-23","X"
"168",24,"2017-01-23","14.7"
"169",1,"2017-01-24","14.4"
"170",2,"2017-01-24","14.1"
"171",3,"2017-01-24","14.1"
