"","Hour","variable","value"
"1",1,"2016-10-01","24.1"
"2",2,"2016-10-01","24.0"
"3",3,"2016-10-01","24.0"
"4",4,"2016-10-01","23.9"
"5",5,"2016-10-01","23.8"
"6",6,"2016-10-01","24.1"
"7",7,"2016-10-01","24.9"
"8",8,"2016-10-01","26.0"
"9",9,"2016-10-01","28.3"
"10",10,"2016-10-01","28.4"
"11",11,"2016-10-01","30.5"
"12",12,"2016-10-01","30.9"
"13",13,"2016-10-01","30.2"
"14",14,"2016-10-01","29.5"
"15",15,"2016-10-01","26.4"
"16",16,"2016-10-01","25.0"
"17",17,"2016-10-01","25.1"
"18",18,"2016-10-01","25.0"
"19",19,"2016-10-01","24.8"
"20",20,"2016-10-01","24.4"
"21",21,"2016-10-01","24.3"
"22",22,"2016-10-01","24.0"
"23",23,"2016-10-01","24.3"
"24",24,"2016-10-01","24.4"
"25",1,"2016-10-02","23.9"
"26",2,"2016-10-02","24.2"
"27",3,"2016-10-02","23.8"
"28",4,"2016-10-02","23.8"
"29",5,"2016-10-02","23.9"
"30",6,"2016-10-02","24.2"
"31",7,"2016-10-02","24.7"
"32",8,"2016-10-02","26.8"
"33",9,"2016-10-02","29.3"
"34",10,"2016-10-02","30.2"
"35",11,"2016-10-02","30.8"
"36",12,"2016-10-02","31.6"
"37",13,"2016-10-02","32.5"
"38",14,"2016-10-02","31.8"
"39",15,"2016-10-02","32.3"
"40",16,"2016-10-02","31.8"
"41",17,"2016-10-02","30.7"
"42",18,"2016-10-02","28.1"
"43",19,"2016-10-02","27.3"
"44",20,"2016-10-02","26.5"
"45",21,"2016-10-02","26.5"
"46",22,"2016-10-02","26.1"
"47",23,"2016-10-02","25.5"
"48",24,"2016-10-02","25.3"
"49",1,"2016-10-03","25.0"
"50",2,"2016-10-03","24.9"
"51",3,"2016-10-03","24.5"
"52",4,"2016-10-03","24.4"
"53",5,"2016-10-03","24.4"
"54",6,"2016-10-03","24.5"
"55",7,"2016-10-03","25.7"
"56",8,"2016-10-03","27.4"
"57",9,"2016-10-03","28.5"
"58",10,"2016-10-03","29.7"
"59",11,"2016-10-03","31.9"
"60",12,"2016-10-03","32.3"
"61",13,"2016-10-03","X"
"62",14,"2016-10-03","32.6"
"63",15,"2016-10-03","31.4"
"64",16,"2016-10-03","30.4"
"65",17,"2016-10-03","29.1"
"66",18,"2016-10-03","27.7"
"67",19,"2016-10-03","26.6"
"68",20,"2016-10-03","26.3"
"69",21,"2016-10-03","25.9"
"70",22,"2016-10-03","25.6"
"71",23,"2016-10-03","25.3"
"72",24,"2016-10-03","25.2"
"73",1,"2016-10-04","25.0"
"74",2,"2016-10-04","25.2"
"75",3,"2016-10-04","25.3"
"76",4,"2016-10-04","25.3"
"77",5,"2016-10-04","25.2"
"78",6,"2016-10-04","25.4"
"79",7,"2016-10-04","26.1"
"80",8,"2016-10-04","27.7"
"81",9,"2016-10-04","X"
"82",10,"2016-10-04","30.2"
"83",11,"2016-10-04","31.5"
"84",12,"2016-10-04","31.5"
"85",13,"2016-10-04","32.2"
"86",14,"2016-10-04","32.2"
"87",15,"2016-10-04","32.0"
"88",16,"2016-10-04","30.9"
"89",17,"2016-10-04","29.8"
"90",18,"2016-10-04","28.3"
"91",19,"2016-10-04","27.5"
"92",20,"2016-10-04","26.9"
"93",21,"2016-10-04","26.3"
"94",22,"2016-10-04","25.9"
"95",23,"2016-10-04","26.0"
"96",24,"2016-10-04","26.0"
"97",1,"2016-10-05","26.1"
"98",2,"2016-10-05","25.7"
"99",3,"2016-10-05","25.6"
"100",4,"2016-10-05","25.7"
"101",5,"2016-10-05","25.8"
"102",6,"2016-10-05","25.5"
"103",7,"2016-10-05","X"
"104",8,"2016-10-05","28.8"
"105",9,"2016-10-05","29.0"
"106",10,"2016-10-05","30.5"
"107",11,"2016-10-05","32.1"
"108",12,"2016-10-05","X"
"109",13,"2016-10-05","32.8"
"110",14,"2016-10-05","32.5"
"111",15,"2016-10-05","32.7"
"112",16,"2016-10-05","32.1"
"113",17,"2016-10-05","31.2"
"114",18,"2016-10-05","28.3"
"115",19,"2016-10-05","27.5"
"116",20,"2016-10-05","26.9"
"117",21,"2016-10-05","26.1"
"118",22,"2016-10-05","25.1"
"119",23,"2016-10-05","25.4"
"120",24,"2016-10-05","24.8"
"121",1,"2016-10-06","25.4"
"122",2,"2016-10-06","24.9"
"123",3,"2016-10-06","24.6"
"124",4,"2016-10-06","24.9"
"125",5,"2016-10-06","24.1"
"126",6,"2016-10-06","24.0"
"127",7,"2016-10-06","24.4"
"128",8,"2016-10-06","25.5"
"129",9,"2016-10-06","28.6"
"130",10,"2016-10-06","29.4"
"131",11,"2016-10-06","28.9"
"132",12,"2016-10-06","30.0"
"133",13,"2016-10-06","30.1"
"134",14,"2016-10-06","30.4"
"135",15,"2016-10-06","29.2"
"136",16,"2016-10-06","28.4"
"137",17,"2016-10-06","27.7"
"138",18,"2016-10-06","26.8"
"139",19,"2016-10-06","26.1"
"140",20,"2016-10-06","25.8"
"141",21,"2016-10-06","X"
"142",22,"2016-10-06","25.6"
"143",23,"2016-10-06","25.6"
"144",24,"2016-10-06","25.5"
"145",1,"2016-10-07","25.5"
"146",2,"2016-10-07","25.2"
"147",3,"2016-10-07","25.0"
"148",4,"2016-10-07","24.6"
"149",5,"2016-10-07","24.7"
"150",6,"2016-10-07","24.4"
"151",7,"2016-10-07","24.5"
"152",8,"2016-10-07","25.7"
"153",9,"2016-10-07","27.5"
"154",10,"2016-10-07","29.0"
"155",11,"2016-10-07","29.8"
"156",12,"2016-10-07","31.2"
"157",13,"2016-10-07","28.4"
"158",14,"2016-10-07","29.1"
"159",15,"2016-10-07","29.7"
"160",16,"2016-10-07","28.4"
"161",17,"2016-10-07","28.0"
"162",18,"2016-10-07","25.4"
"163",19,"2016-10-07","24.7"
"164",20,"2016-10-07","24.8"
"165",21,"2016-10-07","24.9"
"166",22,"2016-10-07","24.5"
"167",23,"2016-10-07","24.4"
"168",24,"2016-10-07","24.8"
"169",1,"2016-10-08","24.8"
"170",2,"2016-10-08","24.8"
"171",3,"2016-10-08","24.5"
"172",4,"2016-10-08","24.5"
"173",5,"2016-10-08","24.2"
"174",6,"2016-10-08","24.0"
"175",7,"2016-10-08","24.2"
"176",8,"2016-10-08","X"
"177",9,"2016-10-08","26.0"
"178",10,"2016-10-08","25.3"
"179",11,"2016-10-08","25.8"
"180",12,"2016-10-08","24.9"
"181",13,"2016-10-08","26.2"
"182",14,"2016-10-08","25.7"
"183",15,"2016-10-08","25.8"
"184",16,"2016-10-08","26.0"
"185",17,"2016-10-08","25.4"
"186",18,"2016-10-08","25.0"
"187",19,"2016-10-08","24.8"
"188",20,"2016-10-08","24.7"
"189",21,"2016-10-08","24.4"
"190",22,"2016-10-08","24.6"
"191",23,"2016-10-08","24.5"
"192",24,"2016-10-08","24.4"
"193",1,"2016-10-09","24.7"
"194",2,"2016-10-09","24.6"
"195",3,"2016-10-09","24.2"
"196",4,"2016-10-09","X"
"197",5,"2016-10-09","24.1"
"198",6,"2016-10-09","24.1"
"199",7,"2016-10-09","24.8"
"200",8,"2016-10-09","25.0"
"201",9,"2016-10-09","24.7"
"202",10,"2016-10-09","25.2"
"203",11,"2016-10-09","25.3"
"204",12,"2016-10-09","25.5"
"205",13,"2016-10-09","25.4"
"206",14,"2016-10-09","26.0"
"207",15,"2016-10-09","25.9"
"208",16,"2016-10-09","25.7"
"209",17,"2016-10-09","25.2"
"210",18,"2016-10-09","24.5"
"211",19,"2016-10-09","24.0"
"212",20,"2016-10-09","23.6"
"213",21,"2016-10-09","23.5"
"214",22,"2016-10-09","23.0"
"215",23,"2016-10-09","22.5"
"216",24,"2016-10-09","22.3"
"217",1,"2016-10-10","X"
"218",2,"2016-10-10","22.0"
"219",3,"2016-10-10","21.9"
"220",4,"2016-10-10","21.8"
"221",5,"2016-10-10","22.0"
"222",6,"2016-10-10","22.0"
"223",7,"2016-10-10","22.4"
"224",8,"2016-10-10","22.6"
"225",9,"2016-10-10","22.8"
"226",10,"2016-10-10","23.8"
"227",11,"2016-10-10","24.2"
"228",12,"2016-10-10","25.4"
"229",13,"2016-10-10","26.8"
"230",14,"2016-10-10","28.6"
"231",15,"2016-10-10","29.3"
"232",16,"2016-10-10","29.3"
"233",17,"2016-10-10","27.5"
"234",18,"2016-10-10","26.1"
"235",19,"2016-10-10","25.1"
"236",20,"2016-10-10","24.6"
"237",21,"2016-10-10","24.1"
"238",22,"2016-10-10","23.7"
"239",23,"2016-10-10","23.5"
"240",24,"2016-10-10","23.3"
"241",1,"2016-10-11","23.0"
"242",2,"2016-10-11","22.8"
"243",3,"2016-10-11","22.7"
"244",4,"2016-10-11","22.7"
"245",5,"2016-10-11","22.8"
"246",6,"2016-10-11","22.8"
"247",7,"2016-10-11","23.0"
"248",8,"2016-10-11","23.7"
"249",9,"2016-10-11","26.4"
"250",10,"2016-10-11","27.9"
"251",11,"2016-10-11","29.8"
"252",12,"2016-10-11","30.9"
"253",13,"2016-10-11","32.1"
"254",14,"2016-10-11","32.1"
"255",15,"2016-10-11","30.4"
"256",16,"2016-10-11","29.2"
"257",17,"2016-10-11","27.0"
"258",18,"2016-10-11","25.6"
"259",19,"2016-10-11","24.6"
"260",20,"2016-10-11","24.3"
"261",21,"2016-10-11","24.1"
