"","time","Hum"
"1",2017-03-14 01:00:00,""
"2",2017-03-14 02:00:00,""
"3",2017-03-14 03:00:00,""
"4",2017-03-14 04:00:00,""
"5",2017-03-14 05:00:00,""
"6",2017-03-14 06:00:00,""
"7",2017-03-14 07:00:00,""
"8",2017-03-14 08:00:00,""
"9",2017-03-14 09:00:00,""
"10",2017-03-14 10:00:00,""
"11",2017-03-14 11:00:00,""
"12",2017-03-14 12:00:00,""
"13",2017-03-14 13:00:00,""
"14",2017-03-14 14:00:00,""
"15",2017-03-14 15:00:00,""
"16",2017-03-14 16:00:00,""
"17",2017-03-14 17:00:00,""
"18",2017-03-14 18:00:00,""
"19",2017-03-14 19:00:00,""
"20",2017-03-14 20:00:00,""
"21",2017-03-14 21:00:00,""
"22",2017-03-14 22:00:00,""
"23",2017-03-14 23:00:00,""
"24",2017-03-15 00:00:00,""
"25",2017-03-15 01:00:00,""
"26",2017-03-15 02:00:00,""
"27",2017-03-15 03:00:00,""
"28",2017-03-15 04:00:00,""
"29",2017-03-15 05:00:00,""
"30",2017-03-15 06:00:00,""
"31",2017-03-15 07:00:00,""
"32",2017-03-15 08:00:00,""
"33",2017-03-15 09:00:00,""
"34",2017-03-15 10:00:00,""
"35",2017-03-15 11:00:00,""
"36",2017-03-15 12:00:00,""
"37",2017-03-15 13:00:00,""
"38",2017-03-15 14:00:00,""
"39",2017-03-15 15:00:00,""
"40",2017-03-15 16:00:00,""
"41",2017-03-15 17:00:00,""
"42",2017-03-15 18:00:00,""
"43",2017-03-15 19:00:00,""
"44",2017-03-15 20:00:00,""
"45",2017-03-15 21:00:00,""
"46",2017-03-15 22:00:00,""
"47",2017-03-15 23:00:00,""
"48",2017-03-16 00:00:00,""
"49",2017-03-16 01:00:00,""
"50",2017-03-16 02:00:00,""
"51",2017-03-16 03:00:00,""
"52",2017-03-16 04:00:00,""
"53",2017-03-16 05:00:00,""
"54",2017-03-16 06:00:00,""
"55",2017-03-16 07:00:00,""
"56",2017-03-16 08:00:00,""
"57",2017-03-16 09:00:00,""
"58",2017-03-16 10:00:00,""
"59",2017-03-16 11:00:00,""
"60",2017-03-16 12:00:00,""
"61",2017-03-16 13:00:00,""
"62",2017-03-16 14:00:00,""
"63",2017-03-16 15:00:00,""
"64",2017-03-16 16:00:00,""
"65",2017-03-16 17:00:00,""
"66",2017-03-16 18:00:00,""
"67",2017-03-16 19:00:00,""
"68",2017-03-16 20:00:00,""
"69",2017-03-16 21:00:00,""
"70",2017-03-16 22:00:00,""
"71",2017-03-16 23:00:00,""
"72",2017-03-17 00:00:00,""
"73",2017-03-17 01:00:00,""
"74",2017-03-17 02:00:00,""
"75",2017-03-17 03:00:00,""
"76",2017-03-17 04:00:00,""
"77",2017-03-17 05:00:00,""
"78",2017-03-17 06:00:00,""
"79",2017-03-17 07:00:00,""
"80",2017-03-17 08:00:00,""
"81",2017-03-17 09:00:00,""
"82",2017-03-17 10:00:00,""
"83",2017-03-17 11:00:00,""
"84",2017-03-17 12:00:00,""
"85",2017-03-17 13:00:00,""
"86",2017-03-17 14:00:00,""
"87",2017-03-17 15:00:00,""
"88",2017-03-17 16:00:00,""
"89",2017-03-17 17:00:00,""
"90",2017-03-17 18:00:00,""
"91",2017-03-17 19:00:00,""
"92",2017-03-17 20:00:00,""
"93",2017-03-17 21:00:00,""
"94",2017-03-17 22:00:00,""
"95",2017-03-17 23:00:00,""
"96",2017-03-18 00:00:00,""
"97",2017-03-18 01:00:00,""
"98",2017-03-18 02:00:00,""
"99",2017-03-18 03:00:00,""
"100",2017-03-18 04:00:00,""
"101",2017-03-18 05:00:00,""
"102",2017-03-18 06:00:00,""
"103",2017-03-18 07:00:00,""
"104",2017-03-18 08:00:00,""
"105",2017-03-18 09:00:00,""
"106",2017-03-18 10:00:00,""
"107",2017-03-18 11:00:00,""
"108",2017-03-18 12:00:00,""
"109",2017-03-18 13:00:00,""
"110",2017-03-18 14:00:00,""
"111",2017-03-18 15:00:00,""
"112",2017-03-18 16:00:00,""
"113",2017-03-18 17:00:00,""
"114",2017-03-18 18:00:00,""
"115",2017-03-18 19:00:00,""
"116",2017-03-18 20:00:00,""
"117",2017-03-18 21:00:00,""
"118",2017-03-18 22:00:00,""
"119",2017-03-18 23:00:00,""
"120",2017-03-19 00:00:00,""
"121",2017-03-19 01:00:00,""
"122",2017-03-19 02:00:00,""
"123",2017-03-19 03:00:00,""
"124",2017-03-19 04:00:00,""
"125",2017-03-19 05:00:00,""
"126",2017-03-19 06:00:00,""
"127",2017-03-19 07:00:00,""
"128",2017-03-19 08:00:00,""
"129",2017-03-19 09:00:00,""
"130",2017-03-19 10:00:00,""
"131",2017-03-19 11:00:00,""
"132",2017-03-19 12:00:00,""
"133",2017-03-19 13:00:00,""
"134",2017-03-19 14:00:00,""
"135",2017-03-19 15:00:00,""
"136",2017-03-19 16:00:00,""
"137",2017-03-19 17:00:00,""
"138",2017-03-19 18:00:00,""
"139",2017-03-19 19:00:00,""
"140",2017-03-19 20:00:00,""
"141",2017-03-19 21:00:00,""
"142",2017-03-19 22:00:00,""
"143",2017-03-19 23:00:00,""
"144",2017-03-20 00:00:00,""
