"","time","Tem"
"1",2017-03-14 01:00:00,"20.8"
"2",2017-03-14 02:00:00,"20.2"
"3",2017-03-14 03:00:00,"19.6"
"4",2017-03-14 04:00:00,"19.0"
"5",2017-03-14 05:00:00,"18.6"
"6",2017-03-14 06:00:00,"17.7"
"7",2017-03-14 07:00:00,"17.0"
"8",2017-03-14 08:00:00,"17.1"
"9",2017-03-14 09:00:00,"17.2"
"10",2017-03-14 10:00:00,"17.2"
"11",2017-03-14 11:00:00,"19.3"
"12",2017-03-14 12:00:00,"22.8"
"13",2017-03-14 13:00:00,"23.3"
"14",2017-03-14 14:00:00,"23.6"
"15",2017-03-14 15:00:00,"22.9"
"16",2017-03-14 16:00:00,"22.6"
"17",2017-03-14 17:00:00,"20.6"
"18",2017-03-14 18:00:00,"18.8"
"19",2017-03-14 19:00:00,"17.5"
"20",2017-03-14 20:00:00,"X"
"21",2017-03-14 21:00:00,"16.4"
"22",2017-03-14 22:00:00,"16.7"
"23",2017-03-14 23:00:00,"15.5"
"24",2017-03-15 00:00:00,"15.2"
"25",2017-03-15 01:00:00,"15.2"
"26",2017-03-15 02:00:00,"X"
"27",2017-03-15 03:00:00,"15.9"
"28",2017-03-15 04:00:00,"15.2"
"29",2017-03-15 05:00:00,"15.3"
"30",2017-03-15 06:00:00,"15.4"
"31",2017-03-15 07:00:00,"15.8"
"32",2017-03-15 08:00:00,"16.9"
"33",2017-03-15 09:00:00,"17.8"
"34",2017-03-15 10:00:00,"18.8"
"35",2017-03-15 11:00:00,"21.6"
"36",2017-03-15 12:00:00,"23.7"
"37",2017-03-15 13:00:00,"22.7"
"38",2017-03-15 14:00:00,"23.2"
"39",2017-03-15 15:00:00,"23.7"
"40",2017-03-15 16:00:00,"23.9"
"41",2017-03-15 17:00:00,"23.2"
"42",2017-03-15 18:00:00,"21.9"
"43",2017-03-15 19:00:00,"20.3"
"44",2017-03-15 20:00:00,"19.9"
"45",2017-03-15 21:00:00,"19.1"
"46",2017-03-15 22:00:00,"18.6"
"47",2017-03-15 23:00:00,"18.6"
"48",2017-03-16 00:00:00,"18.8"
"49",2017-03-16 01:00:00,"18.5"
"50",2017-03-16 02:00:00,"18.1"
"51",2017-03-16 03:00:00,"17.9"
"52",2017-03-16 04:00:00,"17.7"
"53",2017-03-16 05:00:00,"17.7"
"54",2017-03-16 06:00:00,"17.2"
"55",2017-03-16 07:00:00,"17.6"
"56",2017-03-16 08:00:00,"18.4"
"57",2017-03-16 09:00:00,"20.5"
"58",2017-03-16 10:00:00,"23.7"
"59",2017-03-16 11:00:00,"25.4"
"60",2017-03-16 12:00:00,"24.2"
"61",2017-03-16 13:00:00,"23.9"
"62",2017-03-16 14:00:00,"24.3"
"63",2017-03-16 15:00:00,"23.4"
"64",2017-03-16 16:00:00,"22.4"
"65",2017-03-16 17:00:00,"21.8"
"66",2017-03-16 18:00:00,"20.7"
"67",2017-03-16 19:00:00,"19.6"
"68",2017-03-16 20:00:00,"18.5"
"69",2017-03-16 21:00:00,"18.3"
"70",2017-03-16 22:00:00,"18.3"
"71",2017-03-16 23:00:00,"18.2"
"72",2017-03-17 00:00:00,"18.1"
"73",2017-03-17 01:00:00,"17.9"
"74",2017-03-17 02:00:00,"17.3"
"75",2017-03-17 03:00:00,"16.7"
"76",2017-03-17 04:00:00,"16.6"
"77",2017-03-17 05:00:00,"16.3"
"78",2017-03-17 06:00:00,"16.0"
"79",2017-03-17 07:00:00,"16.6"
"80",2017-03-17 08:00:00,"19.2"
"81",2017-03-17 09:00:00,"21.3"
"82",2017-03-17 10:00:00,"23.8"
"83",2017-03-17 11:00:00,"25.0"
"84",2017-03-17 12:00:00,"25.5"
"85",2017-03-17 13:00:00,"25.9"
"86",2017-03-17 14:00:00,"26.1"
"87",2017-03-17 15:00:00,"26.4"
"88",2017-03-17 16:00:00,"25.4"
"89",2017-03-17 17:00:00,"23.7"
"90",2017-03-17 18:00:00,"21.9"
"91",2017-03-17 19:00:00,"20.7"
"92",2017-03-17 20:00:00,"20.2"
"93",2017-03-17 21:00:00,"20.0"
"94",2017-03-17 22:00:00,"19.8"
"95",2017-03-17 23:00:00,"19.8"
"96",2017-03-18 00:00:00,"19.6"
"97",2017-03-18 01:00:00,"19.4"
"98",2017-03-18 02:00:00,"19.4"
"99",2017-03-18 03:00:00,"19.3"
"100",2017-03-18 04:00:00,"19.1"
"101",2017-03-18 05:00:00,"18.8"
"102",2017-03-18 06:00:00,"18.6"
"103",2017-03-18 07:00:00,"18.7"
"104",2017-03-18 08:00:00,"19.8"
"105",2017-03-18 09:00:00,"21.4"
"106",2017-03-18 10:00:00,"23.1"
"107",2017-03-18 11:00:00,"25.1"
"108",2017-03-18 12:00:00,"28.0"
"109",2017-03-18 13:00:00,"27.7"
"110",2017-03-18 14:00:00,"27.4"
"111",2017-03-18 15:00:00,"27.6"
"112",2017-03-18 16:00:00,"26.0"
"113",2017-03-18 17:00:00,"25.3"
"114",2017-03-18 18:00:00,"24.3"
"115",2017-03-18 19:00:00,"23.5"
"116",2017-03-18 20:00:00,"22.9"
"117",2017-03-18 21:00:00,"22.3"
"118",2017-03-18 22:00:00,"21.7"
"119",2017-03-18 23:00:00,"21.4"
"120",2017-03-19 00:00:00,"21.0"
