"","time","rf","Press","temperture","Hum"
"1",2017-09-28 01:00:00,"0.0","995.5","27.0","96"
"2",2017-09-28 02:00:00,"0.0","995.1","26.9","97"
"3",2017-09-28 03:00:00,"0.0","994.3","26.3","99"
"4",2017-09-28 04:00:00,"0.0","994.4","26.0","100"
"5",2017-09-28 05:00:00,"0.0","X","X","X"
"6",2017-09-28 06:00:00,"0.0","994.9","25.5","100"
"7",2017-09-28 07:00:00,"0.0","995.6","26.5","99"
"8",2017-09-28 08:00:00,"0.0","996.1","29.6","80"
"9",2017-09-28 09:00:00,"0.0","996.5","30.9","73"
"10",2017-09-28 10:00:00,"0.0","996.8","32.3","65"
"11",2017-09-28 11:00:00,"0.0","996.3","33.6","64"
"12",2017-09-28 12:00:00,"0.0","995.7","33.0","63"
"13",2017-09-28 13:00:00,"0.0","995.0","33.1","66"
"14",2017-09-28 14:00:00,"0.0","994.4","33.5","63"
"15",2017-09-28 15:00:00,"0.0","993.8","33.7","60"
"16",2017-09-28 16:00:00,"0.0","993.8","31.9","70"
"17",2017-09-28 17:00:00,"0.0","994.2","30.2","77"
"18",2017-09-28 18:00:00,"0.0","995.2","29.3","80"
"19",2017-09-28 19:00:00,"0.0","995.9","28.9","81"
"20",2017-09-28 20:00:00,"0.0","996.5","28.1","85"
"21",2017-09-28 21:00:00,"0.0","996.5","27.6","87"
"22",2017-09-28 22:00:00,"0.0","996.7","26.9","93"
"23",2017-09-28 23:00:00,"0.0","997.3","26.3","97"
"24",2017-09-29 00:00:00,"0.0","997.3","26.0","98"
"25",2017-09-29 01:00:00,"0.0","997.1","25.8","99"
"26",2017-09-29 02:00:00,"0.0","996.8","25.8","99"
"27",2017-09-29 03:00:00,"0.0","996.2","26.2","97"
"28",2017-09-29 04:00:00,"0.0","996.7","25.6","97"
"29",2017-09-29 05:00:00,"0.0","997.0","25.5","98"
"30",2017-09-29 06:00:00,"0.0","997.6","25.4","99"
