"","time","rf","Press","temperture","Hum"
"1",2017-05-31 01:00:00,"0.0","1004.8","23.0",""
"2",2017-05-31 02:00:00,"0.0","1004.2","23.0",""
"3",2017-05-31 03:00:00,"0.0","1003.9","23.1",""
"4",2017-05-31 04:00:00,"0.0","1003.6","23.0",""
"5",2017-05-31 05:00:00,"0.0","1004.0","22.6",""
"6",2017-05-31 06:00:00,"0.0","1004.0","23.3",""
"7",2017-05-31 07:00:00,"0.0","1004.1","24.5",""
"8",2017-05-31 08:00:00,"0.0","1004.1","26.5",""
"9",2017-05-31 09:00:00,"0.0","1004.0","27.8",""
"10",2017-05-31 10:00:00,"0.0","1003.9","28.0",""
"11",2017-05-31 11:00:00,"0.0","1003.3","28.1",""
"12",2017-05-31 12:00:00,"0.0","1002.8","28.3",""
"13",2017-05-31 13:00:00,"0.0","1002.2","28.9",""
"14",2017-05-31 14:00:00,"0.0","1001.9","28.3",""
"15",2017-05-31 15:00:00,"0.0","1001.7","28.1",""
"16",2017-05-31 16:00:00,"0.0","1001.3","28.0",""
"17",2017-05-31 17:00:00,"0.0","1001.5","28.0",""
"18",2017-05-31 18:00:00,"0.0","1001.8","27.2",""
"19",2017-05-31 19:00:00,"0.0","1002.0","27.2",""
"20",2017-05-31 20:00:00,"0.0","1002.4","26.9",""
"21",2017-05-31 21:00:00,"0.0","1002.5","25.8",""
"22",2017-05-31 22:00:00,"0.0","1002.7","25.1",""
"23",2017-05-31 23:00:00,"0.0","1002.6","24.9",""
"24",2017-06-01 00:00:00,"0.0","1001.8","25.0",""
"25",2017-06-01 01:00:00,"0.0","1001.2","24.7",""
"26",2017-06-01 02:00:00,"0.0","1001.2","24.2",""
"27",2017-06-01 03:00:00,"0.0","1001.0","24.3",""
"28",2017-06-01 04:00:00,"0.0","1001.1","24.1",""
"29",2017-06-01 05:00:00,"0.0","1001.3","23.9",""
"30",2017-06-01 06:00:00,"0.0","1001.1","24.3",""
"31",2017-06-01 07:00:00,"0.0","1001.1","28.6",""
"32",2017-06-01 08:00:00,"0.0","1000.9","30.4",""
"33",2017-06-01 09:00:00,"0.0","1000.8","30.8",""
"34",2017-06-01 10:00:00,"0.0","1001.0","30.1",""
"35",2017-06-01 11:00:00,"0.0","1000.6","30.4",""
"36",2017-06-01 12:00:00,"0.0","1000.3","29.6",""
"37",2017-06-01 13:00:00,"0.0","999.8","29.6",""
"38",2017-06-01 14:00:00,"0.0","999.3","29.8",""
"39",2017-06-01 15:00:00,"0.0","X","X",""
"40",2017-06-01 16:00:00,"0.0","998.7","28.8",""
"41",2017-06-01 17:00:00,"0.0","998.7","28.8",""
"42",2017-06-01 18:00:00,"0.0","999.0","28.3",""
"43",2017-06-01 19:00:00,"0.0","999.8","27.2",""
"44",2017-06-01 20:00:00,"0.0","1000.3","26.4",""
"45",2017-06-01 21:00:00,"0.0","1000.4","25.8",""
"46",2017-06-01 22:00:00,"0.0","1000.0","25.6",""
"47",2017-06-01 23:00:00,"0.0","999.3","25.2",""
"48",2017-06-02 00:00:00,"0.0","998.5","25.2",""
"49",2017-06-02 01:00:00,"0.0","998.1","25.2",""
"50",2017-06-02 02:00:00,"0.0","997.9","25.0",""
"51",2017-06-02 03:00:00,"0.0","998.1","24.7",""
"52",2017-06-02 04:00:00,"2.0","998.2","24.5",""
"53",2017-06-02 05:00:00,"0.0","999.4","24.0",""
"54",2017-06-02 06:00:00,"0.5","999.2","24.0",""
"55",2017-06-02 07:00:00,"0.5","999.5","24.2",""
"56",2017-06-02 08:00:00,"0.0","999.5","25.4",""
"57",2017-06-02 09:00:00,"0.0","999.5","24.8",""
"58",2017-06-02 10:00:00,"0.0","999.5","25.1",""
"59",2017-06-02 11:00:00,"0.0","1000.0","25.3",""
"60",2017-06-02 12:00:00,"0.5","1000.3","25.2",""
"61",2017-06-02 13:00:00,"11.0","999.7","24.1",""
"62",2017-06-02 14:00:00,"23.0","999.1","24.1",""
"63",2017-06-02 15:00:00,"3.0","999.4","24.2",""
"64",2017-06-02 16:00:00,"0.0","999.8","24.3",""
"65",2017-06-02 17:00:00,"0.5","1000.1","24.4",""
"66",2017-06-02 18:00:00,"3.0","1001.2","24.5",""
"67",2017-06-02 19:00:00,"1.5","1001.5","24.4",""
"68",2017-06-02 20:00:00,"0.0","1002.2","24.0",""
"69",2017-06-02 21:00:00,"0.0","1002.2","24.1",""
"70",2017-06-02 22:00:00,"0.0","1003.2","24.1",""
"71",2017-06-02 23:00:00,"2.0","1002.4","24.2",""
"72",2017-06-03 00:00:00,"0.0","1002.4","24.1",""
"73",2017-06-03 01:00:00,"0.0","1001.9","24.0",""
"74",2017-06-03 02:00:00,"0.0","1001.7","23.7",""
"75",2017-06-03 03:00:00,"0.0","1001.7","23.8",""
"76",2017-06-03 04:00:00,"0.0","1001.9","23.8",""
"77",2017-06-03 05:00:00,"0.0","1002.6","23.7",""
"78",2017-06-03 06:00:00,"0.0","1002.9","24.0",""
"79",2017-06-03 07:00:00,"0.0","1003.3","24.5",""
"80",2017-06-03 08:00:00,"0.0","1003.6","24.7",""
"81",2017-06-03 09:00:00,"1.5","1003.9","24.9",""
"82",2017-06-03 10:00:00,"0.5","1003.8","25.0",""
"83",2017-06-03 11:00:00,"9.5","1003.5","24.7",""
"84",2017-06-03 12:00:00,"0.0","1003.0","25.2",""
"85",2017-06-03 13:00:00,"0.0","1002.3","25.3",""
"86",2017-06-03 14:00:00,"1.5","1002.1","24.4",""
"87",2017-06-03 15:00:00,"6.0","1002.1","24.3",""
"88",2017-06-03 16:00:00,"8.0","1001.7","24.3",""
"89",2017-06-03 17:00:00,"3.5","1002.2","24.1",""
"90",2017-06-03 18:00:00,"7.0","1002.9","24.1",""
"91",2017-06-03 19:00:00,"8.5","1003.3","24.0",""
"92",2017-06-03 20:00:00,"5.0","1003.9","23.9",""
"93",2017-06-03 21:00:00,"4.5","1004.4","23.8",""
"94",2017-06-03 22:00:00,"6.5","1003.9","23.8",""
"95",2017-06-03 23:00:00,"0.0","1003.2","23.3",""
"96",2017-06-04 00:00:00,"0.0","1002.6","23.3",""
"97",2017-06-04 01:00:00,"0.0","1002.1","23.2",""
"98",2017-06-04 02:00:00,"0.0","1001.7","23.6",""
"99",2017-06-04 03:00:00,"0.0","1001.8","24.7",""
"100",2017-06-04 04:00:00,"1.0","1002.2","23.7",""
"101",2017-06-04 05:00:00,"0.5","1002.7","23.8",""
"102",2017-06-04 06:00:00,"1.0","1003.0","23.8",""
"103",2017-06-04 07:00:00,"0.0","1003.4","25.4",""
"104",2017-06-04 08:00:00,"0.0","1003.6","25.8",""
"105",2017-06-04 09:00:00,"0.0","1003.6","27.2",""
"106",2017-06-04 10:00:00,"0.5","1003.4","28.1",""
"107",2017-06-04 11:00:00,"0.0","1003.4","28.4",""
"108",2017-06-04 12:00:00,"0.0","1003.5","27.4",""
"109",2017-06-04 13:00:00,"0.0","1003.5","27.1",""
"110",2017-06-04 14:00:00,"0.0","1003.6","26.3",""
"111",2017-06-04 15:00:00,"0.5","1003.8","26.1",""
"112",2017-06-04 16:00:00,"5.0","1003.3","25.7",""
"113",2017-06-04 17:00:00,"0.0","1003.7","25.8",""
"114",2017-06-04 18:00:00,"0.0","1004.3","25.7",""
"115",2017-06-04 19:00:00,"0.0","1005.3","25.2",""
"116",2017-06-04 20:00:00,"0.0","1005.8","24.9",""
"117",2017-06-04 21:00:00,"0.0","1006.3","25.4",""
"118",2017-06-04 22:00:00,"0.0","1006.7","24.9",""
"119",2017-06-04 23:00:00,"0.0","1006.8","24.8",""
"120",2017-06-05 00:00:00,"0.5","1006.7","24.9",""
"121",2017-06-05 01:00:00,"0.0","1006.0","24.5",""
"122",2017-06-05 02:00:00,"0.0","1005.5","24.7",""
"123",2017-06-05 03:00:00,"0.0","1005.2","24.3",""
"124",2017-06-05 04:00:00,"0.0","1005.4","24.0",""
"125",2017-06-05 05:00:00,"0.0","1005.9","24.1",""
"126",2017-06-05 06:00:00,"0.0","1006.3","24.7",""
"127",2017-06-05 07:00:00,"0.0","1006.6","25.6",""
"128",2017-06-05 08:00:00,"0.0","1007.3","27.6",""
"129",2017-06-05 09:00:00,"0.0","1007.5","29.1",""
"130",2017-06-05 10:00:00,"0.5","1007.2","30.1",""
"131",2017-06-05 11:00:00,"0.0","1006.8","29.0",""
"132",2017-06-05 12:00:00,"0.0","1006.7","28.9",""
"133",2017-06-05 13:00:00,"0.0","1006.4","28.3",""
"134",2017-06-05 14:00:00,"0.0","1006.0","28.6",""
"135",2017-06-05 15:00:00,"0.0","1006.1","27.7",""
"136",2017-06-05 16:00:00,"1.0","1006.3","26.8",""
"137",2017-06-05 17:00:00,"1.0","1006.7","25.5",""
"138",2017-06-05 18:00:00,"4.5","1006.9","25.5",""
"139",2017-06-05 19:00:00,"0.0","1007.4","25.5",""
"140",2017-06-05 20:00:00,"0.0","1007.9","25.4",""
"141",2017-06-05 21:00:00,"0.0","1008.8","25.5",""
"142",2017-06-05 22:00:00,"0.0","1009.2","25.4",""
"143",2017-06-05 23:00:00,"0.0","1009.1","25.4",""
"144",2017-06-06 00:00:00,"0.0","1009.0","25.1",""
"145",2017-06-06 01:00:00,"0.0","1008.6","24.9",""
"146",2017-06-06 02:00:00,"0.0","1008.4","25.1",""
"147",2017-06-06 03:00:00,"0.0","1008.2","25.2",""
"148",2017-06-06 04:00:00,"0.0","1008.6","25.1",""
"149",2017-06-06 05:00:00,"0.0","1008.8","25.0",""
"150",2017-06-06 06:00:00,"0.0","1008.9","26.0",""
"151",2017-06-06 07:00:00,"0.0","1008.9","28.6",""
"152",2017-06-06 08:00:00,"0.0","1008.8","31.8",""
"153",2017-06-06 09:00:00,"0.0","1008.8","31.0",""
"154",2017-06-06 10:00:00,"0.0","1008.8","30.5",""
"155",2017-06-06 11:00:00,"0.0","1008.7","31.3",""
"156",2017-06-06 12:00:00,"0.0","1008.5","31.2",""
"157",2017-06-06 13:00:00,"0.0","1008.1","30.6",""
"158",2017-06-06 14:00:00,"0.0","1007.2","31.7",""
"159",2017-06-06 15:00:00,"0.0","1007.3","29.7",""
"160",2017-06-06 16:00:00,"5.5","1007.4","27.5",""
"161",2017-06-06 17:00:00,"20.5","1007.7","26.1",""
"162",2017-06-06 18:00:00,"0.5","1008.2","26.4",""
"163",2017-06-06 19:00:00,"0.0","1008.2","26.5",""
"164",2017-06-06 20:00:00,"0.0","1008.8","26.2",""
"165",2017-06-06 21:00:00,"0.0","1009.1","25.9",""
"166",2017-06-06 22:00:00,"0.0","1009.7","25.5",""
"167",2017-06-06 23:00:00,"0.0","1009.2","25.4",""
"168",2017-06-07 00:00:00,"0.0","1008.9","25.1",""
"169",2017-06-07 01:00:00,"0.0","1008.5","24.7",""
"170",2017-06-07 02:00:00,"0.0","1008.4","24.6",""
"171",2017-06-07 03:00:00,"0.0","1007.9","24.7",""
"172",2017-06-07 04:00:00,"0.0","1008.0","24.5",""
"173",2017-06-07 05:00:00,"0.0","1007.9","24.3",""
"174",2017-06-07 06:00:00,"0.0","1008.3","25.6",""
"175",2017-06-07 07:00:00,"0.0","1009.0","29.1",""
"176",2017-06-07 08:00:00,"0.0","1009.1","29.6",""
"177",2017-06-07 09:00:00,"0.0","1009.4","30.3",""
"178",2017-06-07 10:00:00,"0.0","1009.3","30.9",""
"179",2017-06-07 11:00:00,"0.0","1009.1","30.7",""
"180",2017-06-07 12:00:00,"0.0","1008.7","30.9",""
"181",2017-06-07 13:00:00,"0.0","1008.0","30.7",""
"182",2017-06-07 14:00:00,"0.0","1007.8","29.3",""
"183",2017-06-07 15:00:00,"0.0","1007.2","28.9",""
"184",2017-06-07 16:00:00,"2.5","1008.0","26.8",""
"185",2017-06-07 17:00:00,"1.0","1008.0","27.3",""
"186",2017-06-07 18:00:00,"0.0","1008.6","27.3",""
"187",2017-06-07 19:00:00,"0.0","1009.1","27.0",""
"188",2017-06-07 20:00:00,"0.0","1009.4","26.5",""
"189",2017-06-07 21:00:00,"0.0","1009.5","26.4",""
"190",2017-06-07 22:00:00,"0.0","1010.1","25.6",""
"191",2017-06-07 23:00:00,"0.0","1010.1","25.3",""
"192",2017-06-08 00:00:00,"0.0","1010.1","25.6",""
"193",2017-06-08 01:00:00,"0.0","1009.6","25.3",""
"194",2017-06-08 02:00:00,"0.0","1009.1","25.3",""
"195",2017-06-08 03:00:00,"0.0","1008.6","25.0",""
"196",2017-06-08 04:00:00,"0.0","1008.9","24.7",""
"197",2017-06-08 05:00:00,"0.0","1009.2","25.3",""
"198",2017-06-08 06:00:00,"0.0","1009.4","26.1",""
"199",2017-06-08 07:00:00,"0.0","1010.0","27.0",""
"200",2017-06-08 08:00:00,"0.0","1010.1","28.4",""
"201",2017-06-08 09:00:00,"0.5","1010.0","30.3",""
"202",2017-06-08 10:00:00,"0.0","1010.1","30.0",""
"203",2017-06-08 11:00:00,"0.0","1010.0","29.6",""
"204",2017-06-08 12:00:00,"0.0","1009.5","30.8",""
"205",2017-06-08 13:00:00,"0.0","1009.1","29.5",""
"206",2017-06-08 14:00:00,"0.0","1008.6","29.0",""
"207",2017-06-08 15:00:00,"0.0","1008.3","28.6",""
"208",2017-06-08 16:00:00,"6.0","1008.6","27.7",""
"209",2017-06-08 17:00:00,"0.0","1007.9","26.6",""
"210",2017-06-08 18:00:00,"0.0","1008.2","26.7",""
"211",2017-06-08 19:00:00,"0.0","1008.6","26.6",""
"212",2017-06-08 20:00:00,"0.0","1009.0","26.2",""
"213",2017-06-08 21:00:00,"0.0","1009.7","25.8",""
"214",2017-06-08 22:00:00,"0.0","1010.1","25.4",""
"215",2017-06-08 23:00:00,"0.0","1010.1","25.2",""
"216",2017-06-09 00:00:00,"0.0","1009.7","24.8",""
"217",2017-06-09 01:00:00,"0.0","1009.0","24.6",""
"218",2017-06-09 02:00:00,"0.0","1008.4","24.7",""
"219",2017-06-09 03:00:00,"0.0","1008.2","24.6",""
"220",2017-06-09 04:00:00,"0.0","1008.1","24.3",""
"221",2017-06-09 05:00:00,"0.0","1008.3","24.0",""
"222",2017-06-09 06:00:00,"0.0","1008.2","24.6",""
"223",2017-06-09 07:00:00,"0.0","1008.4","28.8",""
"224",2017-06-09 08:00:00,"0.0","1008.5","29.0",""
"225",2017-06-09 09:00:00,"0.0","1008.7","30.1",""
"226",2017-06-09 10:00:00,"0.0","1008.6","30.7",""
"227",2017-06-09 11:00:00,"0.0","1008.5","30.6",""
"228",2017-06-09 12:00:00,"0.0","1008.0","30.7",""
"229",2017-06-09 13:00:00,"0.0","1007.7","30.9",""
"230",2017-06-09 14:00:00,"1.0","1007.7","29.1",""
"231",2017-06-09 15:00:00,"19.5","1008.4","26.4",""
"232",2017-06-09 16:00:00,"22.5","1008.2","26.0",""
"233",2017-06-09 17:00:00,"0.0","1007.6","27.1",""
"234",2017-06-09 18:00:00,"0.0","1007.7","27.7",""
"235",2017-06-09 19:00:00,"0.0","1008.1","26.0",""
"236",2017-06-09 20:00:00,"0.0","1008.7","25.4",""
"237",2017-06-09 21:00:00,"0.0","1009.4","25.3",""
"238",2017-06-09 22:00:00,"0.0","1009.9","25.4",""
"239",2017-06-09 23:00:00,"0.0","1009.8","25.1",""
"240",2017-06-10 00:00:00,"0.0","1009.3","25.3",""
"241",2017-06-10 01:00:00,"0.0","1008.6","24.9",""
"242",2017-06-10 02:00:00,"0.0","1007.9","25.0",""
"243",2017-06-10 03:00:00,"0.0","1007.4","24.6",""
"244",2017-06-10 04:00:00,"0.0","1007.3","24.2",""
"245",2017-06-10 05:00:00,"0.0","1007.3","24.3",""
"246",2017-06-10 06:00:00,"0.0","1007.6","25.7",""
"247",2017-06-10 07:00:00,"0.0","1007.7","28.4",""
"248",2017-06-10 08:00:00,"0.0","1007.6","30.1",""
"249",2017-06-10 09:00:00,"0.0","1007.4","30.1",""
"250",2017-06-10 10:00:00,"0.0","1007.5","30.1",""
"251",2017-06-10 11:00:00,"0.0","1007.3","30.7",""
"252",2017-06-10 12:00:00,"0.0","1007.2","31.1",""
"253",2017-06-10 13:00:00,"0.0","1006.5","31.3",""
"254",2017-06-10 14:00:00,"0.0","1006.2","31.8",""
"255",2017-06-10 15:00:00,"0.0","1006.1","30.5",""
"256",2017-06-10 16:00:00,"0.0","1005.8","28.6",""
"257",2017-06-10 17:00:00,"0.5","1005.9","27.6",""
"258",2017-06-10 18:00:00,"0.0","1005.9","28.5",""
"259",2017-06-10 19:00:00,"0.0","1006.1","27.7",""
"260",2017-06-10 20:00:00,"0.0","1006.2","27.7",""
"261",2017-06-10 21:00:00,"0.0","1006.8","27.6",""
"262",2017-06-10 22:00:00,"0.0","1006.8","27.7",""
"263",2017-06-10 23:00:00,"0.0","1006.6","27.8",""
"264",2017-06-11 00:00:00,"0.0","1006.6","27.1",""
"265",2017-06-11 01:00:00,"0.0","1005.8","26.2",""
"266",2017-06-11 02:00:00,"0.0","1005.5","26.0",""
"267",2017-06-11 03:00:00,"0.0","1005.2","25.3",""
"268",2017-06-11 04:00:00,"0.0","1005.2","25.2",""
"269",2017-06-11 05:00:00,"0.0","1005.3","25.2",""
"270",2017-06-11 06:00:00,"0.0","1005.6","26.6",""
"271",2017-06-11 07:00:00,"0.0","1006.2","29.1",""
"272",2017-06-11 08:00:00,"0.0","1006.2","30.3",""
"273",2017-06-11 09:00:00,"0.0","1006.3","30.9",""
"274",2017-06-11 10:00:00,"0.0","1006.6","31.2",""
