"","time","rf","Press","temperture","Hum"
"1",2017-03-19 01:00:00,"0.0","1003.5","17.6","95"
"2",2017-03-19 02:00:00,"0.0","1003.1","17.5","95"
"3",2017-03-19 03:00:00,"0.0","1002.8","17.5","95"
"4",2017-03-19 04:00:00,"0.5","1002.4","17.5","96"
"5",2017-03-19 05:00:00,"2.0","1003.5","17.7","96"
"6",2017-03-19 06:00:00,"1.5","1004.0","17.3","97"
"7",2017-03-19 07:00:00,"1.5","1004.5","16.7","97"
"8",2017-03-19 08:00:00,"1.0","1003.3","16.5","98"
"9",2017-03-19 09:00:00,"0.0","1002.5","17.8","95"
"10",2017-03-19 10:00:00,"0.0","1003.9","16.1","96"
"11",2017-03-19 11:00:00,"0.0","1003.7","17.2","93"
"12",2017-03-19 12:00:00,"0.0","1002.8","19.1","86"
"13",2017-03-19 13:00:00,"0.0","1002.2","20.2","80"
"14",2017-03-19 14:00:00,"0.0","1000.9","21.5","76"
"15",2017-03-19 15:00:00,"0.0","1001.5","19.4","84"
"16",2017-03-19 16:00:00,"0.0","1001.4","19.2","85"
"17",2017-03-19 17:00:00,"0.0","1002.0","18.6","87"
"18",2017-03-19 18:00:00,"0.0","1002.1","17.9","90"
"19",2017-03-19 19:00:00,"0.0","1002.7","17.5","92"
"20",2017-03-19 20:00:00,"0.0","1003.5","17.3","93"
"21",2017-03-19 21:00:00,"0.0","1003.5","17.1","94"
"22",2017-03-19 22:00:00,"0.0","1003.3","17.3","94"
"23",2017-03-19 23:00:00,"0.0","1002.4","17.2","94"
"24",2017-03-20 00:00:00,"0.0","1001.4","17.2","95"
"25",2017-03-20 01:00:00,"0.0","1000.3","17.3","96"
"26",2017-03-20 02:00:00,"0.0","999.4","17.2","97"
"27",2017-03-20 03:00:00,"0.0","998.7","17.0","97"
"28",2017-03-20 04:00:00,"0.0","998.0","16.8","98"
"29",2017-03-20 05:00:00,"0.0","1000.0","17.0","98"
"30",2017-03-20 06:00:00,"0.5","1000.7","16.0","98"
"31",2017-03-20 07:00:00,"0.0","1000.5","16.2","98"
"32",2017-03-20 08:00:00,"0.0","1001.3","17.0","97"
"33",2017-03-20 09:00:00,"0.0","1001.3","19.1","93"
"34",2017-03-20 10:00:00,"0.0","1001.2","19.6","87"
"35",2017-03-20 11:00:00,"0.0","1000.9","20.6","82"
"36",2017-03-20 12:00:00,"0.0","1000.5","19.8","86"
"37",2017-03-20 13:00:00,"0.0","999.4","20.5","84"
"38",2017-03-20 14:00:00,"0.0","998.5","21.8","82"
"39",2017-03-20 15:00:00,"0.0","997.6","22.4","79"
"40",2017-03-20 16:00:00,"0.0","997.9","23.5","75"
"41",2017-03-20 17:00:00,"0.0","998.1","23.5","75"
"42",2017-03-20 18:00:00,"0.0","998.3","22.4","80"
"43",2017-03-20 19:00:00,"0.0","998.5","21.2","87"
"44",2017-03-20 20:00:00,"0.0","999.1","20.6","90"
"45",2017-03-20 21:00:00,"0.0","999.4","20.6","91"
"46",2017-03-20 22:00:00,"0.0","999.6","20.4","91"
"47",2017-03-20 23:00:00,"0.0","999.1","20.1","92"
"48",2017-03-21 00:00:00,"0.0","999.4","19.4","94"
"49",2017-03-21 01:00:00,"0.0","999.6","19.0","95"
"50",2017-03-21 02:00:00,"0.0","999.5","19.3","95"
"51",2017-03-21 03:00:00,"0.0","999.4","19.1","95"
"52",2017-03-21 04:00:00,"0.0","999.8","19.4","95"
"53",2017-03-21 05:00:00,"0.0","1000.5","19.0","96"
"54",2017-03-21 06:00:00,"0.0","1001.2","18.6","96"
"55",2017-03-21 07:00:00,"0.0","1001.7","18.0","96"
"56",2017-03-21 08:00:00,"0.0","1002.3","17.9","94"
"57",2017-03-21 09:00:00,"0.0","1002.5","18.6","90"
"58",2017-03-21 10:00:00,"0.0","1002.6","18.7","84"
"59",2017-03-21 11:00:00,"0.0","1001.6","19.7","77"
