"","time","rf","Press","temperture","Hum"
"1",2017-09-28 01:00:00,"0.0","1001.8","26.8","98"
"2",2017-09-28 02:00:00,"0.0","1001.4","26.7","99"
"3",2017-09-28 03:00:00,"0.0","1000.7","26.2","99"
"4",2017-09-28 04:00:00,"0.0","1000.7","25.9","99"
"5",2017-09-28 05:00:00,"0.0","1001.0","26.0","99"
"6",2017-09-28 06:00:00,"0.0","1001.3","25.7","99"
"7",2017-09-28 07:00:00,"0.0","1001.9","27.0","99"
"8",2017-09-28 08:00:00,"0.0","1002.5","30.2","84"
"9",2017-09-28 09:00:00,"0.0","1003.0","32.1","70"
"10",2017-09-28 10:00:00,"0.0","1003.2","33.0","67"
"11",2017-09-28 11:00:00,"0.0","1002.8","33.2","66"
"12",2017-09-28 12:00:00,"0.0","1002.3","34.1","64"
"13",2017-09-28 13:00:00,"0.0","1001.6","33.9","62"
"14",2017-09-28 14:00:00,"0.0","1001.0","32.5","67"
"15",2017-09-28 15:00:00,"0.0","1000.4","33.6","63"
"16",2017-09-28 16:00:00,"0.0","1000.3","32.2","70"
"17",2017-09-28 17:00:00,"0.0","1000.7","31.2","75"
"18",2017-09-28 18:00:00,"0.0","1001.7","29.7","80"
"19",2017-09-28 19:00:00,"0.0","1002.4","29.2","83"
"20",2017-09-28 20:00:00,"0.0","1002.9","28.5","85"
"21",2017-09-28 21:00:00,"0.0","1002.9","27.7","89"
"22",2017-09-28 22:00:00,"0.0","1003.3","27.5","90"
"23",2017-09-28 23:00:00,"0.0","1003.7","27.0","94"
"24",2017-09-29 00:00:00,"0.0","1003.7","26.9","94"
"25",2017-09-29 01:00:00,"0.0","1003.6","27.1","91"
"26",2017-09-29 02:00:00,"0.0","1003.2","26.3","96"
"27",2017-09-29 03:00:00,"0.0","1002.7","25.6","98"
"28",2017-09-29 04:00:00,"0.0","1003.1","25.2","99"
"29",2017-09-29 05:00:00,"0.0","1003.4","25.3","99"
"30",2017-09-29 06:00:00,"0.0","1004.0","25.3","99"
"31",2017-09-29 07:00:00,"0.0","1004.8","26.4","99"
"32",2017-09-29 08:00:00,"0.0","1005.0","27.8","91"
"33",2017-09-29 09:00:00,"0.0","1005.2","30.5","80"
"34",2017-09-29 10:00:00,"0.0","1005.3","31.7","73"
"35",2017-09-29 11:00:00,"0.0","1005.2","33.7","64"
"36",2017-09-29 12:00:00,"0.0","1004.6","35.0","59"
"37",2017-09-29 13:00:00,"0.0","1003.6","34.6","55"
"38",2017-09-29 14:00:00,"0.0","1003.1","33.9","62"
"39",2017-09-29 15:00:00,"3.5","1002.5","28.9","93"
"40",2017-09-29 16:00:00,"100.5","1005.1","21.8","99"
"41",2017-09-29 17:00:00,"33.0","1005.1","22.2","99"
"42",2017-09-29 18:00:00,"1.0","1004.6","23.6","99"
"43",2017-09-29 19:00:00,"1.5","1005.3","24.3","99"
"44",2017-09-29 20:00:00,"0.0","1005.9","24.2","99"
"45",2017-09-29 21:00:00,"0.0","1006.9","24.2","99"
"46",2017-09-29 22:00:00,"0.0","1006.7","24.0","99"
"47",2017-09-29 23:00:00,"0.0","1007.3","23.8","99"
"48",2017-09-30 00:00:00,"0.0","1006.6","23.5","99"
"49",2017-09-30 01:00:00,"0.0","1005.4","23.8","99"
"50",2017-09-30 02:00:00,"0.0","1005.0","23.9","99"
"51",2017-09-30 03:00:00,"0.0","1004.8","23.9","99"
"52",2017-09-30 04:00:00,"0.0","X","X","X"
"53",2017-09-30 05:00:00,"0.0","1005.2","23.7","99"
"54",2017-09-30 06:00:00,"0.0","1005.3","23.5","99"
"55",2017-09-30 07:00:00,"0.0","1005.9","24.8","99"
"56",2017-09-30 08:00:00,"0.0","1006.7","28.3","88"
"57",2017-09-30 09:00:00,"0.0","1007.0","29.6","81"
"58",2017-09-30 10:00:00,"0.0","1006.9","31.3","73"
"59",2017-09-30 11:00:00,"0.0","1006.7","32.9","69"
"60",2017-09-30 12:00:00,"0.0","1005.9","33.1","66"
"61",2017-09-30 13:00:00,"0.0","1005.3","32.1","68"
"62",2017-09-30 14:00:00,"0.0","1004.5","33.7","63"
"63",2017-09-30 15:00:00,"0.0","1004.1","33.3","65"
"64",2017-09-30 16:00:00,"0.0","1004.5","31.4","71"
"65",2017-09-30 17:00:00,"0.0","1004.6","31.2","70"
"66",2017-09-30 18:00:00,"0.0","1004.8","29.2","77"
"67",2017-09-30 19:00:00,"0.0","1005.3","28.2","86"
"68",2017-09-30 20:00:00,"0.0","1005.9","27.4","92"
"69",2017-09-30 21:00:00,"0.0","1006.5","26.8","95"
"70",2017-09-30 22:00:00,"0.0","1006.5","26.1","97"
"71",2017-09-30 23:00:00,"0.0","1006.4","26.0","98"
"72",2017-10-01 00:00:00,"0.0","1005.8","25.8","99"
"73",2017-10-01 01:00:00,"0.0","1005.6","25.5","99"
"74",2017-10-01 02:00:00,"0.0","1005.4","26.0","99"
"75",2017-10-01 03:00:00,"0.0","1004.8","25.7","98"
"76",2017-10-01 04:00:00,"0.0","1004.4","25.4","99"
"77",2017-10-01 05:00:00,"0.0","1004.7","25.3","99"
"78",2017-10-01 06:00:00,"0.0","1005.0","25.1","99"
"79",2017-10-01 07:00:00,"0.0","1005.7","26.3","96"
"80",2017-10-01 08:00:00,"0.0","1006.1","28.5","87"
"81",2017-10-01 09:00:00,"0.0","1006.3","32.0","71"
"82",2017-10-01 10:00:00,"0.0","1006.1","33.3","63"
"83",2017-10-01 11:00:00,"0.0","1004.9","33.9","59"
"84",2017-10-01 12:00:00,"0.0","1003.6","34.3","58"
"85",2017-10-01 13:00:00,"0.0","1002.6","34.8","56"
"86",2017-10-01 14:00:00,"0.0","1002.1","32.4","67"
"87",2017-10-01 15:00:00,"0.0","1001.9","34.7","61"
"88",2017-10-01 16:00:00,"0.0","1001.8","33.0","64"
"89",2017-10-01 17:00:00,"0.0","1001.8","31.4","70"
"90",2017-10-01 18:00:00,"0.0","1002.4","29.8","80"
"91",2017-10-01 19:00:00,"0.0","1003.0","29.2","87"
"92",2017-10-01 20:00:00,"0.0","1004.0","27.8","93"
"93",2017-10-01 21:00:00,"0.0","1004.9","27.0","98"
"94",2017-10-01 22:00:00,"0.0","1005.2","26.3","98"
"95",2017-10-01 23:00:00,"0.0","1005.1","26.3","96"
"96",2017-10-02 00:00:00,"0.0","1004.7","26.3","97"
"97",2017-10-02 01:00:00,"0.0","1004.1","26.2","98"
"98",2017-10-02 02:00:00,"0.0","1003.6","26.1","98"
"99",2017-10-02 03:00:00,"0.0","1003.3","25.7","99"
"100",2017-10-02 04:00:00,"0.0","1003.0","25.4","99"
"101",2017-10-02 05:00:00,"0.0","1003.0","25.5","99"
"102",2017-10-02 06:00:00,"0.0","1003.4","25.3","98"
"103",2017-10-02 07:00:00,"0.0","1004.0","26.6","94"
"104",2017-10-02 08:00:00,"0.0","1004.7","29.6","84"
"105",2017-10-02 09:00:00,"0.0","1004.9","31.9","76"
"106",2017-10-02 10:00:00,"0.0","1004.8","32.4","69"
"107",2017-10-02 11:00:00,"X","1004.3","32.9","67"
"108",2017-10-02 12:00:00,"0.0","1003.6","34.9","60"
"109",2017-10-02 13:00:00,"0.0","1002.7","36.0","56"
"110",2017-10-02 14:00:00,"0.0","1002.0","32.9","71"
"111",2017-10-02 15:00:00,"0.0","1001.5","32.9","70"
"112",2017-10-02 16:00:00,"0.0","1001.6","32.3","71"
"113",2017-10-02 17:00:00,"1.5","1002.1","29.0","89"
"114",2017-10-02 18:00:00,"6.0","1002.8","25.8","99"
"115",2017-10-02 19:00:00,"0.0","1003.2","25.8","99"
"116",2017-10-02 20:00:00,"0.0","1003.9","25.6","99"
"117",2017-10-02 21:00:00,"0.0","1004.4","25.7","99"
"118",2017-10-02 22:00:00,"0.0","1004.9","25.8","99"
"119",2017-10-02 23:00:00,"0.0","1004.9","25.8","99"
"120",2017-10-03 00:00:00,"0.0","1004.8","25.4","99"
"121",2017-10-03 01:00:00,"0.0","1004.5","25.5","99"
"122",2017-10-03 02:00:00,"0.0","1004.0","25.5","99"
"123",2017-10-03 03:00:00,"0.0","1003.8","25.6","99"
"124",2017-10-03 04:00:00,"0.0","1003.8","25.4","99"
"125",2017-10-03 05:00:00,"0.0","1004.0","25.2","99"
"126",2017-10-03 06:00:00,"0.0","1004.2","25.2","99"
"127",2017-10-03 07:00:00,"0.0","1004.5","26.1","98"
"128",2017-10-03 08:00:00,"0.0","1005.2","29.3","87"
"129",2017-10-03 09:00:00,"0.0","1005.3","31.3","79"
"130",2017-10-03 10:00:00,"0.0","1005.5","31.8","76"
"131",2017-10-03 11:00:00,"0.0","1005.3","32.4","72"
"132",2017-10-03 12:00:00,"0.0","1004.6","33.2","67"
"133",2017-10-03 13:00:00,"0.0","1003.8","33.9","64"
"134",2017-10-03 14:00:00,"0.0","1003.1","33.5","64"
"135",2017-10-03 15:00:00,"0.0","1002.9","33.2","65"
"136",2017-10-03 16:00:00,"0.0","1003.2","30.9","73"
"137",2017-10-03 17:00:00,"1.0","1003.5","27.8","97"
"138",2017-10-03 18:00:00,"0.0","1003.8","26.8","99"
"139",2017-10-03 19:00:00,"0.0","1004.3","25.9","99"
"140",2017-10-03 20:00:00,"0.0","1004.9","25.9","99"
