"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"1.0","926.1","8.3","100"
"2",2019-03-24 02:00:00,"0.4","925.8","8.3","100"
"3",2019-03-24 03:00:00,"0.5","925.8","8.6","100"
"4",2019-03-24 04:00:00,"T","925.3","8.4","100"
"5",2019-03-24 05:00:00,"0.2","925.4","8.6","100"
"6",2019-03-24 06:00:00,"0.4","925.4","8.9","100"
"7",2019-03-24 07:00:00,"T","925.1","9.1","100"
"8",2019-03-24 08:00:00,"T","925.6","9.7","100"
"9",2019-03-24 09:00:00,"0.5","925.8","10.6","100"
"10",2019-03-24 10:00:00,"0.2","925.4","10.8","100"
"11",2019-03-24 11:00:00,"0.1","925.6","11.1","100"
"12",2019-03-24 12:00:00,"0.1","925.1","11.6","100"
"13",2019-03-24 13:00:00,"0.9","924.7","11.8","100"
"14",2019-03-24 14:00:00,"1.9","923.2","12.0","100"
"15",2019-03-24 15:00:00,"0.8","923.3","12.3","100"
"16",2019-03-24 16:00:00,"T","923.4","12.4","100"
"17",2019-03-24 17:00:00,"0.7","923.7","12.5","100"
"18",2019-03-24 18:00:00,"0.6","923.8","12.5","100"
"19",2019-03-24 19:00:00,"0.4","924.0","12.6","100"
"20",2019-03-24 20:00:00,"0.1","923.7","12.9","100"
"21",2019-03-24 21:00:00,"0.2","924.5","13.3","100"
"22",2019-03-24 22:00:00,"0.2","924.1","13.0","100"
"23",2019-03-24 23:00:00,"T","923.6","12.9","100"
"24",2019-03-25 00:00:00,"0.1","923.5","13.1","100"
