"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.3","1020.8","14.4","80"
"2",2019-03-24 02:00:00,"0.2","1020.1","14.5","80"
"3",2019-03-24 03:00:00,"1.0","1020.0","14.2","82"
"4",2019-03-24 04:00:00,"2.0","1019.5","14.2","83"
"5",2019-03-24 05:00:00,"0.5","1019.5","14.6","82"
"6",2019-03-24 06:00:00,"0.5","1019.0","15.0","79"
"7",2019-03-24 07:00:00,"T","1018.9","15.8","73"
"8",2019-03-24 08:00:00,"T","1018.4","16.2","75"
"9",2019-03-24 09:00:00,"0.3","1018.7","16.6","75"
"10",2019-03-24 10:00:00,"0.4","1017.6","17.0","76"
"11",2019-03-24 11:00:00,"T","1018.2","17.2","76"
"12",2019-03-24 12:00:00,"0.1","1017.8","17.5","75"
"13",2019-03-24 13:00:00,"0.1","1017.3","17.9","75"
"14",2019-03-24 14:00:00,"0.1","1016.0","17.9","77"
"15",2019-03-24 15:00:00,"0.5","1015.3","18.0","80"
"16",2019-03-24 16:00:00,"T","1015.7","18.1","80"
"17",2019-03-24 17:00:00,"0.0","1016.0","18.3","80"
"18",2019-03-24 18:00:00,"T","1016.2","18.4","79"
"19",2019-03-24 19:00:00,"T","1016.5","18.1","82"
"20",2019-03-24 20:00:00,"T","1016.3","18.4","80"
"21",2019-03-24 21:00:00,"T","1016.8","18.3","82"
"22",2019-03-24 22:00:00,"0.0","1016.4","17.9","84"
"23",2019-03-24 23:00:00,"0.0","1015.9","17.5","86"
"24",2019-03-25 00:00:00,"0.0","1015.8","17.2","86"
