"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1001.9","13.4","86"
"2",2019-03-24 02:00:00,"0.5","1001.2","13.4","88"
"3",2019-03-24 03:00:00,"1.0","1001.2","13.2","89"
"4",2019-03-24 04:00:00,"1.5","1001.0","13.1","93"
"5",2019-03-24 05:00:00,"1.0","1000.2","13.4","91"
"6",2019-03-24 06:00:00,"0.0","1000.0","13.8","87"
"7",2019-03-24 07:00:00,"0.0","999.8","14.8","82"
"8",2019-03-24 08:00:00,"0.0","1000.3","15.0","83"
"9",2019-03-24 09:00:00,"0.5","1000.6","15.4","86"
"10",2019-03-24 10:00:00,"0.0","1000.2","15.7","87"
"11",2019-03-24 11:00:00,"0.5","1001.1","15.8","86"
"12",2019-03-24 12:00:00,"0.5","1000.3","15.8","90"
"13",2019-03-24 13:00:00,"0.0","999.9","16.0","90"
"14",2019-03-24 14:00:00,"0.5","998.5","16.2","90"
"15",2019-03-24 15:00:00,"1.0","998.3","16.5","91"
"16",2019-03-24 16:00:00,"0.0","998.7","16.5","92"
"17",2019-03-24 17:00:00,"0.0","999.2","16.2","96"
"18",2019-03-24 18:00:00,"0.5","999.3","16.0","98"
"19",2019-03-24 19:00:00,"0.5","999.3","16.3","96"
"20",2019-03-24 20:00:00,"0.0","999.1","16.3","96"
"21",2019-03-24 21:00:00,"0.0","999.9","16.5","95"
"22",2019-03-24 22:00:00,"0.0","999.4","16.3","95"
"23",2019-03-24 23:00:00,"0.0","999.2","16.2","96"
"24",2019-03-25 00:00:00,"0.0","998.7","16.5","93"
