"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1011.7","16.1","81"
"2",2019-03-24 02:00:00,"0.0","1011.7","15.9","82"
"3",2019-03-24 03:00:00,"0.0","1011.5","15.5","86"
"4",2019-03-24 04:00:00,"0.0","1011.1","15.7","84"
"5",2019-03-24 05:00:00,"0.0","1010.9","16.0","85"
"6",2019-03-24 06:00:00,"0.0","1011.6","15.9","84"
"7",2019-03-24 07:00:00,"0.0","1012.2","15.1","94"
"8",2019-03-24 08:00:00,"4.5","1012.7","14.9","100"
"9",2019-03-24 09:00:00,"3.0","1013.2","15.1","100"
"10",2019-03-24 10:00:00,"0.0","1013.4","15.4","100"
"11",2019-03-24 11:00:00,"2.0","1013.5","16.0","100"
"12",2019-03-24 12:00:00,"0.5","1013.0","16.4","100"
"13",2019-03-24 13:00:00,"1.0","1012.0","16.9","100"
"14",2019-03-24 14:00:00,"0.0","1011.3","17.5","100"
"15",2019-03-24 15:00:00,"0.5","1011.0","18.0","100"
"16",2019-03-24 16:00:00,"0.0","1010.7","18.1","100"
"17",2019-03-24 17:00:00,"0.0","1010.7","18.1","100"
"18",2019-03-24 18:00:00,"0.0","1011.0","18.0","100"
"19",2019-03-24 19:00:00,"0.0","1011.3","17.8","100"
"20",2019-03-24 20:00:00,"0.0","1011.6","17.8","100"
"21",2019-03-24 21:00:00,"0.0","1011.6","17.9","100"
"22",2019-03-24 22:00:00,"0.0","1011.7","17.9","100"
"23",2019-03-24 23:00:00,"0.0","1011.6","17.6","100"
"24",2019-03-25 00:00:00,"0.0","1011.1","17.6","100"
