"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1014.7","16.1","74"
"2",2019-03-24 02:00:00,"0.0","1014.3","16.0","76"
"3",2019-03-24 03:00:00,"0.0","1014.3","15.9","77"
"4",2019-03-24 04:00:00,"0.0","1014.1","16.2","76"
"5",2019-03-24 05:00:00,"0.0","1014.0","16.0","79"
"6",2019-03-24 06:00:00,"0.0","1014.4","16.0","76"
"7",2019-03-24 07:00:00,"0.0","1015.2","16.0","78"
"8",2019-03-24 08:00:00,"0.0","1015.3","16.1","79"
"9",2019-03-24 09:00:00,"0.5","1016.3","15.7","88"
"10",2019-03-24 10:00:00,"1.5","1016.3","15.5","94"
"11",2019-03-24 11:00:00,"6.5","1016.3","15.5","96"
"12",2019-03-24 12:00:00,"2.5","1015.7","16.0","96"
"13",2019-03-24 13:00:00,"1.0","1014.9","16.4","96"
"14",2019-03-24 14:00:00,"1.5","1014.3","17.2","95"
"15",2019-03-24 15:00:00,"0.0","1013.6","17.5","93"
"16",2019-03-24 16:00:00,"0.0","1013.2","17.9","91"
"17",2019-03-24 17:00:00,"0.0","1013.6","18.3","89"
"18",2019-03-24 18:00:00,"0.0","1013.7","18.2","89"
"19",2019-03-24 19:00:00,"0.0","1014.0","18.5","87"
"20",2019-03-24 20:00:00,"0.0","1014.3","18.5","89"
"21",2019-03-24 21:00:00,"0.0","1014.5","18.5","90"
"22",2019-03-24 22:00:00,"0.0","1014.6","18.3","93"
"23",2019-03-24 23:00:00,"0.0","1014.4","17.8","92"
"24",2019-03-25 00:00:00,"0.0","1013.8","17.8","93"
