"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"1.0","/","/","/"
"2",2019-03-24 02:00:00,"0.0","1016.0","15.3","78"
"3",2019-03-24 03:00:00,"0.0","1015.9","15.2","76"
"4",2019-03-24 04:00:00,"0.0","1015.6","15.5","74"
"5",2019-03-24 05:00:00,"0.0","1015.0","16.5","68"
"6",2019-03-24 06:00:00,"0.5","1015.7","16.8","69"
"7",2019-03-24 07:00:00,"0.0","1015.1","17.7","68"
"8",2019-03-24 08:00:00,"0.0","1014.8","18.0","71"
"9",2019-03-24 09:00:00,"0.0","1015.2","18.8","65"
"10",2019-03-24 10:00:00,"0.0","1015.3","17.3","79"
"11",2019-03-24 11:00:00,"0.0","1015.2","16.4","88"
"12",2019-03-24 12:00:00,"X","1014.5","16.8","86"
"13",2019-03-24 13:00:00,"0.5","1013.6","17.2","87"
"14",2019-03-24 14:00:00,"0.0","1013.0","17.3","89"
"15",2019-03-24 15:00:00,"1.5","1010.3","17.5","93"
"16",2019-03-24 16:00:00,"0.5","1010.6","18.0","92"
"17",2019-03-24 17:00:00,"8.5","1012.1","17.5","94"
"18",2019-03-24 18:00:00,"2.5","1012.2","17.4","95"
"19",2019-03-24 19:00:00,"5.0","1012.3","17.5","96"
"20",2019-03-24 20:00:00,"1.0","1012.6","18.0","96"
"21",2019-03-24 21:00:00,"0.0","1012.3","17.7","94"
"22",2019-03-24 22:00:00,"0.0","1011.9","18.3","91"
"23",2019-03-24 23:00:00,"0.0","1011.2","18.9","86"
"24",2019-03-25 00:00:00,"0.0","1010.6","19.0","86"
