"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.9","17.5","77"
"2",2019-03-24 02:00:00,"0.0","1015.5","17.7","74"
"3",2019-03-24 03:00:00,"0.0","1015.4","17.9","73"
"4",2019-03-24 04:00:00,"0.0","1015.3","18.0","70"
"5",2019-03-24 05:00:00,"0.0","1015.7","18.0","70"
"6",2019-03-24 06:00:00,"0.0","1016.0","17.7","74"
"7",2019-03-24 07:00:00,"0.0","1016.3","18.2","69"
"8",2019-03-24 08:00:00,"0.0","1016.5","18.6","68"
"9",2019-03-24 09:00:00,"0.0","1016.5","19.6","65"
"10",2019-03-24 10:00:00,"0.0","1016.6","19.7","64"
"11",2019-03-24 11:00:00,"0.0","1015.7","20.3","66"
"12",2019-03-24 12:00:00,"0.0","1015.2","20.4","67"
"13",2019-03-24 13:00:00,"0.0","1014.6","19.9","66"
"14",2019-03-24 14:00:00,"0.0","1014.1","19.6","70"
"15",2019-03-24 15:00:00,"0.0","1013.5","19.7","68"
"16",2019-03-24 16:00:00,"0.0","1013.4","19.7","72"
"17",2019-03-24 17:00:00,"0.0","1013.2","19.5","71"
"18",2019-03-24 18:00:00,"0.0","1013.2","19.3","70"
"19",2019-03-24 19:00:00,"0.0","1013.8","19.5","72"
"20",2019-03-24 20:00:00,"0.0","1014.2","19.3","75"
"21",2019-03-24 21:00:00,"0.0","1014.3","19.5","72"
"22",2019-03-24 22:00:00,"0.0","1013.9","19.2","77"
"23",2019-03-24 23:00:00,"0.0","1013.8","19.2","77"
"24",2019-03-25 00:00:00,"0.0","1013.3","19.2","79"
