"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1010.8","15.9","79"
"2",2019-03-24 02:00:00,"0.0","1010.8","15.6","78"
"3",2019-03-24 03:00:00,"0.5","1010.7","15.3","82"
"4",2019-03-24 04:00:00,"0.0","1010.5","15.5","82"
"5",2019-03-24 05:00:00,"0.0","1010.0","15.6","84"
"6",2019-03-24 06:00:00,"0.0","1010.8","15.4","80"
"7",2019-03-24 07:00:00,"0.0","1011.5","15.6","81"
"8",2019-03-24 08:00:00,"0.0","1011.9","15.5","83"
"9",2019-03-24 09:00:00,"2.5","1012.4","14.9","94"
"10",2019-03-24 10:00:00,"2.5","1012.8","14.9","96"
"11",2019-03-24 11:00:00,"1.5","1012.8","15.5","95"
"12",2019-03-24 12:00:00,"2.0","1012.4","16.0","95"
"13",2019-03-24 13:00:00,"1.5","1011.3","16.6","95"
"14",2019-03-24 14:00:00,"0.0","1010.5","17.2","95"
"15",2019-03-24 15:00:00,"0.5","1010.2","17.5","95"
"16",2019-03-24 16:00:00,"0.0","1010.0","17.9","93"
"17",2019-03-24 17:00:00,"0.0","1010.1","18.2","93"
"18",2019-03-24 18:00:00,"0.0","1010.2","17.8","94"
"19",2019-03-24 19:00:00,"0.0","1010.6","17.9","94"
"20",2019-03-24 20:00:00,"0.0","1010.9","17.9","94"
"21",2019-03-24 21:00:00,"0.0","1010.9","17.9","96"
"22",2019-03-24 22:00:00,"0.0","1011.1","18.0","96"
"23",2019-03-24 23:00:00,"0.0","1010.8","17.8","96"
"24",2019-03-25 00:00:00,"0.0","1010.5","17.6","97"
