"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1018.6","20.0","66"
"2",2019-03-24 02:00:00,"0.0","1018.4","19.9","63"
"3",2019-03-24 03:00:00,"0.0","1018.1","20.1","64"
"4",2019-03-24 04:00:00,"0.0","1018.1","19.9","62"
"5",2019-03-24 05:00:00,"0.0","1018.4","19.8","62"
"6",2019-03-24 06:00:00,"0.0","1018.6","20.0","59"
"7",2019-03-24 07:00:00,"0.0","1019.1","20.4","59"
"8",2019-03-24 08:00:00,"0.0","1019.4","21.0","58"
"9",2019-03-24 09:00:00,"0.0","1019.4","21.5","58"
"10",2019-03-24 10:00:00,"0.0","1019.4","21.7","58"
"11",2019-03-24 11:00:00,"0.0","1018.6","23.0","57"
"12",2019-03-24 12:00:00,"0.0","1018.0","22.9","58"
"13",2019-03-24 13:00:00,"0.0","1017.5","22.7","58"
"14",2019-03-24 14:00:00,"0.0","1016.7","22.7","59"
"15",2019-03-24 15:00:00,"0.0","1016.2","22.9","59"
"16",2019-03-24 16:00:00,"0.0","1015.8","22.5","60"
"17",2019-03-24 17:00:00,"0.0","1016.0","22.5","60"
"18",2019-03-24 18:00:00,"0.0","1016.0","22.4","59"
"19",2019-03-24 19:00:00,"0.0","1016.6","22.2","60"
"20",2019-03-24 20:00:00,"0.0","1017.0","22.0","62"
"21",2019-03-24 21:00:00,"0.0","1017.3","22.1","63"
"22",2019-03-24 22:00:00,"0.0","1017.0","22.0","62"
"23",2019-03-24 23:00:00,"0.0","1016.8","21.5","65"
"24",2019-03-25 00:00:00,"0.0","1016.0","21.5","66"
