"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.3","15.8","70"
"2",2019-03-24 02:00:00,"0.0","1015.2","15.9","73"
"3",2019-03-24 03:00:00,"0.0","1014.7","16.7","72"
"4",2019-03-24 04:00:00,"0.0","1014.5","16.1","71"
"5",2019-03-24 05:00:00,"0.0","1014.8","15.6","71"
"6",2019-03-24 06:00:00,"0.0","1015.2","15.5","79"
"7",2019-03-24 07:00:00,"0.0","1015.8","15.6","83"
"8",2019-03-24 08:00:00,"2.0","1016.2","14.6","94"
"9",2019-03-24 09:00:00,"1.0","1017.0","15.0","94"
"10",2019-03-24 10:00:00,"1.0","1016.8","15.5","93"
"11",2019-03-24 11:00:00,"2.0","1017.0","15.9","93"
"12",2019-03-24 12:00:00,"1.0","1016.4","16.5","93"
"13",2019-03-24 13:00:00,"0.5","1015.6","16.7","92"
"14",2019-03-24 14:00:00,"0.0","1015.0","17.4","87"
"15",2019-03-24 15:00:00,"0.5","1014.4","17.3","88"
"16",2019-03-24 16:00:00,"0.0","1014.1","18.2","86"
"17",2019-03-24 17:00:00,"0.0","1014.2","18.3","88"
"18",2019-03-24 18:00:00,"0.0","1014.3","18.1","89"
"19",2019-03-24 19:00:00,"0.0","1014.9","17.5","91"
"20",2019-03-24 20:00:00,"0.0","1014.7","17.6","91"
"21",2019-03-24 21:00:00,"0.0","1015.3","17.8","89"
"22",2019-03-24 22:00:00,"0.0","1015.4","17.8","90"
"23",2019-03-24 23:00:00,"0.0","1015.2","17.6","93"
"24",2019-03-25 00:00:00,"0.0","1014.4","17.5","95"
