"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","981.6","12.8","93"
"2",2019-03-24 02:00:00,"0.0","981.1","13.0","97"
"3",2019-03-24 03:00:00,"0.0","981.0","12.9","99"
"4",2019-03-24 04:00:00,"0.0","981.0","12.5","99"
"5",2019-03-24 05:00:00,"1.0","980.8","12.3","100"
"6",2019-03-24 06:00:00,"1.0","981.1","12.7","100"
"7",2019-03-24 07:00:00,"0.0","981.4","13.0","100"
"8",2019-03-24 08:00:00,"0.0","981.9","13.4","100"
"9",2019-03-24 09:00:00,"0.0","982.3","14.1","100"
"10",2019-03-24 10:00:00,"0.5","982.0","15.1","100"
"11",2019-03-24 11:00:00,"0.0","982.3","17.1","100"
"12",2019-03-24 12:00:00,"0.5","982.3","15.2","100"
"13",2019-03-24 13:00:00,"1.0","981.2","17.0","100"
"14",2019-03-24 14:00:00,"0.0","980.3","18.4","100"
"15",2019-03-24 15:00:00,"0.5","980.4","19.0","99"
"16",2019-03-24 16:00:00,"0.0","980.2","18.3","99"
"17",2019-03-24 17:00:00,"0.0","980.5","17.2","100"
"18",2019-03-24 18:00:00,"0.0","980.6","16.6","100"
"19",2019-03-24 19:00:00,"0.0","980.8","16.1","100"
"20",2019-03-24 20:00:00,"0.0","981.5","16.1","100"
"21",2019-03-24 21:00:00,"0.0","981.6","16.2","100"
"22",2019-03-24 22:00:00,"0.0","981.6","16.2","100"
"23",2019-03-24 23:00:00,"0.0","981.5","16.5","100"
"24",2019-03-25 00:00:00,"0.0","980.9","16.5","100"
