"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1005.6","15.9","81"
"2",2019-03-24 02:00:00,"0.0","1005.9","15.8","82"
"3",2019-03-24 03:00:00,"0.0","1005.8","15.2","86"
"4",2019-03-24 04:00:00,"0.0","1005.4","14.9","89"
"5",2019-03-24 05:00:00,"0.5","1005.4","13.9","100"
"6",2019-03-24 06:00:00,"0.5","1005.5","13.9","100"
"7",2019-03-24 07:00:00,"0.0","1005.8","14.2","100"
"8",2019-03-24 08:00:00,"0.0","1006.5","14.7","100"
"9",2019-03-24 09:00:00,"0.0","1007.1","15.0","100"
"10",2019-03-24 10:00:00,"0.5","1007.1","15.4","100"
"11",2019-03-24 11:00:00,"0.0","1007.3","16.0","100"
"12",2019-03-24 12:00:00,"0.5","1006.7","16.4","100"
"13",2019-03-24 13:00:00,"0.5","1005.4","17.9","100"
"14",2019-03-24 14:00:00,"0.0","1004.9","19.3","99"
"15",2019-03-24 15:00:00,"0.0","1004.9","18.6","100"
"16",2019-03-24 16:00:00,"0.0","1004.8","18.3","100"
"17",2019-03-24 17:00:00,"0.0","1004.7","18.4","99"
"18",2019-03-24 18:00:00,"0.0","1004.9","18.3","100"
"19",2019-03-24 19:00:00,"0.0","1004.8","18.1","100"
"20",2019-03-24 20:00:00,"0.0","1005.5","18.3","100"
"21",2019-03-24 21:00:00,"0.0","/","/","/"
"22",2019-03-24 22:00:00,"0.0","1005.8","18.3","100"
"23",2019-03-24 23:00:00,"0.0","1005.5","18.4","100"
"24",2019-03-25 00:00:00,"0.0","1004.8","18.3","100"
