"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","/","/","/"
"2",2019-03-24 02:00:00,"0.0","999.5","16.6","74"
"3",2019-03-24 03:00:00,"0.0","999.7","15.8","75"
"4",2019-03-24 04:00:00,"0.0","999.2","15.6","77"
"5",2019-03-24 05:00:00,"0.0","999.2","16.0","77"
"6",2019-03-24 06:00:00,"1.0","999.7","15.2","88"
"7",2019-03-24 07:00:00,"0.0","1000.0","14.9","92"
"8",2019-03-24 08:00:00,"0.5","1000.6","15.6","92"
"9",2019-03-24 09:00:00,"0.0","1001.2","15.9","93"
"10",2019-03-24 10:00:00,"2.0","1001.3","16.3","94"
"11",2019-03-24 11:00:00,"0.5","1001.2","16.7","94"
"12",2019-03-24 12:00:00,"0.5","1000.9","17.0","95"
"13",2019-03-24 13:00:00,"1.0","1000.2","17.1","95"
"14",2019-03-24 14:00:00,"0.0","999.2","18.2","95"
"15",2019-03-24 15:00:00,"0.5","999.1","18.8","92"
"16",2019-03-24 16:00:00,"0.0","998.8","18.8","91"
"17",2019-03-24 17:00:00,"0.0","998.8","19.0","88"
"18",2019-03-24 18:00:00,"0.0","999.0","19.1","88"
"19",2019-03-24 19:00:00,"0.0","999.2","17.9","93"
"20",2019-03-24 20:00:00,"0.0","999.9","18.0","92"
"21",2019-03-24 21:00:00,"0.0","1000.1","18.3","92"
"22",2019-03-24 22:00:00,"0.0","999.8","18.6","93"
"23",2019-03-24 23:00:00,"0.0","999.8","18.7","93"
"24",2019-03-25 00:00:00,"0.0","999.3","18.4","93"
