"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"1.5","980.6","11.1","99"
"2",2019-03-24 02:00:00,"0.5","979.9","11.1","99"
"3",2019-03-24 03:00:00,"0.5","979.7","11.2","99"
"4",2019-03-24 04:00:00,"0.0","979.2","11.1","99"
"5",2019-03-24 05:00:00,"0.5","979.1","11.4","99"
"6",2019-03-24 06:00:00,"0.5","979.2","11.6","99"
"7",2019-03-24 07:00:00,"0.0","979.3","12.1","99"
"8",2019-03-24 08:00:00,"0.5","979.7","12.6","99"
"9",2019-03-24 09:00:00,"0.0","979.5","13.4","99"
"10",2019-03-24 10:00:00,"X","978.9","13.7","99"
"11",2019-03-24 11:00:00,"0.5","/","/","/"
"12",2019-03-24 12:00:00,"X","978.4","14.5","99"
"13",2019-03-24 13:00:00,"0.5","977.7","14.8","99"
"14",2019-03-24 14:00:00,"1.0","977.0","14.8","99"
"15",2019-03-24 15:00:00,"1.5","975.9","15.5","99"
"16",2019-03-24 16:00:00,"0.0","976.0","15.2","99"
"17",2019-03-24 17:00:00,"0.5","976.2","15.1","99"
"18",2019-03-24 18:00:00,"0.0","976.3","15.1","99"
"19",2019-03-24 19:00:00,"X","976.7","15.1","99"
"20",2019-03-24 20:00:00,"0.0","976.5","15.2","99"
"21",2019-03-24 21:00:00,"0.0","976.7","15.9","99"
"22",2019-03-24 22:00:00,"0.0","976.2","15.9","99"
"23",2019-03-24 23:00:00,"0.0","975.7","15.5","99"
"24",2019-03-25 00:00:00,"0.5","975.2","15.5","99"
