"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","991.9","12.3","95"
"2",2019-03-24 02:00:00,"0.5","991.7","12.3","96"
"3",2019-03-24 03:00:00,"0.5","991.7","12.3","97"
"4",2019-03-24 04:00:00,"1.0","991.3","12.3","97"
"5",2019-03-24 05:00:00,"0.0","991.2","12.6","98"
"6",2019-03-24 06:00:00,"0.5","991.1","12.6","98"
"7",2019-03-24 07:00:00,"0.0","991.1","12.9","97"
"8",2019-03-24 08:00:00,"0.0","991.7","13.5","97"
"9",2019-03-24 09:00:00,"0.0","992.2","14.1","97"
"10",2019-03-24 10:00:00,"0.5","992.2","14.4","97"
"11",2019-03-24 11:00:00,"1.0","992.7","14.6","97"
"12",2019-03-24 12:00:00,"0.5","992.0","15.4","98"
"13",2019-03-24 13:00:00,"0.0","991.6","15.3","97"
"14",2019-03-24 14:00:00,"0.0","990.2","15.2","98"
"15",2019-03-24 15:00:00,"1.0","990.2","15.7","98"
"16",2019-03-24 16:00:00,"0.0","990.6","15.6","98"
"17",2019-03-24 17:00:00,"0.5","990.7","15.7","98"
"18",2019-03-24 18:00:00,"0.0","991.0","15.6","98"
"19",2019-03-24 19:00:00,"0.0","991.0","15.7","98"
"20",2019-03-24 20:00:00,"0.0","990.9","15.5","98"
"21",2019-03-24 21:00:00,"0.0","991.9","15.5","98"
"22",2019-03-24 22:00:00,"0.5","991.5","15.7","98"
"23",2019-03-24 23:00:00,"0.0","991.2","15.7","98"
"24",2019-03-25 00:00:00,"0.0","990.8","15.6","98"
