"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1019.8","14.1","90"
"2",2019-03-24 02:00:00,"0.0","1019.1","13.9","90"
"3",2019-03-24 03:00:00,"0.5","1019.1","14.1","91"
"4",2019-03-24 04:00:00,"1.5","1018.5","14.1","90"
"5",2019-03-24 05:00:00,"X","1018.4","14.3","90"
"6",2019-03-24 06:00:00,"0.5","1018.2","14.7","88"
"7",2019-03-24 07:00:00,"X","1018.1","15.3","83"
"8",2019-03-24 08:00:00,"0.0","1018.4","16.4","77"
"9",2019-03-24 09:00:00,"X","1018.3","16.6","80"
"10",2019-03-24 10:00:00,"X","1017.5","17.3","76"
"11",2019-03-24 11:00:00,"0.0","1017.6","18.3","72"
"12",2019-03-24 12:00:00,"0.0","1017.4","18.5","74"
"13",2019-03-24 13:00:00,"0.0","1016.5","18.6","75"
"14",2019-03-24 14:00:00,"0.5","1015.5","18.3","79"
"15",2019-03-24 15:00:00,"0.5","1014.6","18.4","82"
"16",2019-03-24 16:00:00,"0.0","1014.7","18.9","78"
"17",2019-03-24 17:00:00,"0.0","1015.0","19.0","80"
"18",2019-03-24 18:00:00,"0.0","1015.3","18.4","86"
"19",2019-03-24 19:00:00,"0.0","1015.5","18.1","89"
"20",2019-03-24 20:00:00,"0.0","1015.0","18.3","90"
"21",2019-03-24 21:00:00,"0.0","1015.5","18.8","88"
"22",2019-03-24 22:00:00,"0.0","1015.1","18.3","91"
"23",2019-03-24 23:00:00,"0.0","1014.9","18.2","92"
"24",2019-03-25 00:00:00,"0.0","1014.6","18.2","93"
