"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","973.6","14.0","89"
"2",2019-03-24 02:00:00,"0.0","973.3","14.4","90"
"3",2019-03-24 03:00:00,"0.0","973.2","14.6","90"
"4",2019-03-24 04:00:00,"0.0","972.8","14.2","90"
"5",2019-03-24 05:00:00,"0.0","972.9","14.4","91"
"6",2019-03-24 06:00:00,"1.5","972.9","14.3","98"
"7",2019-03-24 07:00:00,"0.0","973.6","14.7","99"
"8",2019-03-24 08:00:00,"0.5","974.4","15.2","99"
"9",2019-03-24 09:00:00,"0.0","974.7","16.0","99"
"10",2019-03-24 10:00:00,"5.0","975.0","15.7","99"
"11",2019-03-24 11:00:00,"0.0","974.7","17.3","99"
"12",2019-03-24 12:00:00,"0.5","974.5","15.8","99"
"13",2019-03-24 13:00:00,"0.5","973.5","17.8","99"
"14",2019-03-24 14:00:00,"0.0","/","/","/"
"15",2019-03-24 15:00:00,"0.5","972.8","18.3","97"
"16",2019-03-24 16:00:00,"0.0","972.4","18.3","95"
"17",2019-03-24 17:00:00,"0.0","972.6","18.0","95"
"18",2019-03-24 18:00:00,"0.0","972.9","17.9","96"
"19",2019-03-24 19:00:00,"0.0","973.0","17.6","99"
"20",2019-03-24 20:00:00,"0.0","973.7","17.4","99"
"21",2019-03-24 21:00:00,"0.0","973.9","17.3","99"
"22",2019-03-24 22:00:00,"0.0","973.7","17.3","99"
"23",2019-03-24 23:00:00,"0.0","973.8","17.4","99"
"24",2019-03-25 00:00:00,"0.0","973.1","17.4","99"
