"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1010.6","16.3","92"
"2",2019-03-24 02:00:00,"0.0","1010.7","15.9","82"
"3",2019-03-24 03:00:00,"1.0","1010.5","15.1","97"
"4",2019-03-24 04:00:00,"0.0","1010.4","15.1","97"
"5",2019-03-24 05:00:00,"0.0","1009.8","15.1","99"
"6",2019-03-24 06:00:00,"0.0","1010.6","15.6","92"
"7",2019-03-24 07:00:00,"0.0","1011.3","15.7","89"
"8",2019-03-24 08:00:00,"0.0","1011.9","16.0","90"
"9",2019-03-24 09:00:00,"1.0","1012.2","15.6","99"
"10",2019-03-24 10:00:00,"6.5","1012.8","14.8","99"
"11",2019-03-24 11:00:00,"1.5","1012.7","15.4","99"
"12",2019-03-24 12:00:00,"2.5","1012.0","16.0","99"
"13",2019-03-24 13:00:00,"0.5","1010.9","16.8","99"
"14",2019-03-24 14:00:00,"0.0","1010.2","17.1","99"
"15",2019-03-24 15:00:00,"0.0","1010.1","17.4","99"
"16",2019-03-24 16:00:00,"0.0","1009.6","17.9","99"
"17",2019-03-24 17:00:00,"0.5","1009.8","18.1","99"
"18",2019-03-24 18:00:00,"0.0","1010.0","18.2","99"
"19",2019-03-24 19:00:00,"0.0","1010.3","18.2","99"
"20",2019-03-24 20:00:00,"0.0","1010.8","17.9","99"
"21",2019-03-24 21:00:00,"0.0","1010.7","17.7","99"
"22",2019-03-24 22:00:00,"0.0","1010.9","17.9","99"
"23",2019-03-24 23:00:00,"0.0","1010.6","17.9","99"
"24",2019-03-25 00:00:00,"0.0","1010.4","17.7","99"
