"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1007.1","16.4","95"
"2",2019-03-24 02:00:00,"0.0","1007.0","16.5","90"
"3",2019-03-24 03:00:00,"0.5","1006.8","16.5","94"
"4",2019-03-24 04:00:00,"0.0","1006.6","15.8","97"
"5",2019-03-24 05:00:00,"0.0","1006.3","15.8","99"
"6",2019-03-24 06:00:00,"0.0","1006.9","16.2","98"
"7",2019-03-24 07:00:00,"0.0","1007.7","16.2","94"
"8",2019-03-24 08:00:00,"0.0","1008.5","16.2","95"
"9",2019-03-24 09:00:00,"2.5","1008.5","16.1","100"
"10",2019-03-24 10:00:00,"6.0","1009.2","15.5","100"
"11",2019-03-24 11:00:00,"1.5","1009.0","16.0","100"
"12",2019-03-24 12:00:00,"1.0","1008.7","16.6","100"
"13",2019-03-24 13:00:00,"1.0","1007.7","17.3","100"
"14",2019-03-24 14:00:00,"0.0","1006.8","18.2","100"
"15",2019-03-24 15:00:00,"0.5","1006.5","17.9","100"
"16",2019-03-24 16:00:00,"0.0","1006.1","18.8","100"
"17",2019-03-24 17:00:00,"0.5","1006.3","19.0","100"
"18",2019-03-24 18:00:00,"0.0","1006.6","18.9","100"
"19",2019-03-24 19:00:00,"0.0","1007.1","18.7","100"
"20",2019-03-24 20:00:00,"X","1007.5","18.3","100"
"21",2019-03-24 21:00:00,"0.0","1007.2","18.4","100"
"22",2019-03-24 22:00:00,"X","1007.4","18.3","100"
"23",2019-03-24 23:00:00,"X","1007.2","18.3","100"
"24",2019-03-25 00:00:00,"0.0","1007.1","18.0","100"
