"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1004.4","16.1","83"
"2",2019-03-24 02:00:00,"0.0","1004.3","15.9","82"
"3",2019-03-24 03:00:00,"0.0","1004.2","15.3","88"
"4",2019-03-24 04:00:00,"0.0","1003.9","15.3","87"
"5",2019-03-24 05:00:00,"0.0","1004.0","15.5","86"
"6",2019-03-24 06:00:00,"0.0","1004.2","15.6","87"
"7",2019-03-24 07:00:00,"0.5","1005.0","14.7","98"
"8",2019-03-24 08:00:00,"1.5","1005.6","15.1","99"
"9",2019-03-24 09:00:00,"0.5","1006.0","15.6","99"
"10",2019-03-24 10:00:00,"0.0","1006.3","16.2","99"
"11",2019-03-24 11:00:00,"3.5","1006.1","16.7","100"
"12",2019-03-24 12:00:00,"0.5","1005.9","16.4","100"
"13",2019-03-24 13:00:00,"1.0","1004.9","17.3","100"
"14",2019-03-24 14:00:00,"0.0","1004.1","18.5","99"
"15",2019-03-24 15:00:00,"0.5","1003.9","18.8","98"
"16",2019-03-24 16:00:00,"0.0","1003.5","18.9","98"
"17",2019-03-24 17:00:00,"0.0","/","/","/"
"18",2019-03-24 18:00:00,"0.0","1003.8","18.5","99"
"19",2019-03-24 19:00:00,"0.0","1004.0","18.2","99"
"20",2019-03-24 20:00:00,"0.0","1004.6","18.2","99"
"21",2019-03-24 21:00:00,"0.0","1004.8","18.1","100"
"22",2019-03-24 22:00:00,"0.0","1004.6","18.2","100"
"23",2019-03-24 23:00:00,"0.0","1004.4","18.0","100"
"24",2019-03-25 00:00:00,"0.0","1004.1","17.7","100"
