"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","995.7","11.8","99"
"2",2019-03-24 02:00:00,"0.0","995.3","12.3","97"
"3",2019-03-24 03:00:00,"0.5","995.2","12.2","96"
"4",2019-03-24 04:00:00,"0.5","994.5","12.8","93"
"5",2019-03-24 05:00:00,"0.0","994.2","13.4","87"
"6",2019-03-24 06:00:00,"0.0","993.8","13.9","84"
"7",2019-03-24 07:00:00,"0.0","993.2","14.6","81"
"8",2019-03-24 08:00:00,"0.0","994.1","14.9","80"
"9",2019-03-24 09:00:00,"0.0","994.0","14.4","93"
"10",2019-03-24 10:00:00,"0.0","993.5","14.8","93"
"11",2019-03-24 11:00:00,"0.0","993.8","15.5","92"
"12",2019-03-24 12:00:00,"0.0","993.2","15.2","97"
"13",2019-03-24 13:00:00,"0.5","992.7","15.0","99"
"14",2019-03-24 14:00:00,"1.5","990.8","15.2","99"
"15",2019-03-24 15:00:00,"0.0","990.8","15.8","99"
"16",2019-03-24 16:00:00,"0.0","990.9","15.8","99"
"17",2019-03-24 17:00:00,"0.5","991.1","16.0","99"
"18",2019-03-24 18:00:00,"1.0","991.0","15.8","99"
"19",2019-03-24 19:00:00,"0.0","991.6","16.1","99"
"20",2019-03-24 20:00:00,"0.0","991.0","16.2","99"
"21",2019-03-24 21:00:00,"0.0","991.3","16.8","99"
"22",2019-03-24 22:00:00,"0.0","991.1","17.0","99"
"23",2019-03-24 23:00:00,"0.0","990.5","17.4","96"
"24",2019-03-25 00:00:00,"0.0","990.5","17.7","92"
