"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1021.3","13.9","88"
"2",2019-03-24 02:00:00,"0.5","1020.3","14.1","88"
"3",2019-03-24 03:00:00,"0.0","1020.1","14.5","86"
"4",2019-03-24 04:00:00,"2.0","1020.0","14.1","88"
"5",2019-03-24 05:00:00,"1.0","1019.5","13.9","90"
"6",2019-03-24 06:00:00,"1.0","1019.8","13.7","93"
"7",2019-03-24 07:00:00,"0.0","1019.9","13.8","94"
"8",2019-03-24 08:00:00,"0.0","1019.6","14.5","94"
"9",2019-03-24 09:00:00,"0.0","1020.2","14.9","94"
"10",2019-03-24 10:00:00,"0.5","1019.5","15.6","94"
"11",2019-03-24 11:00:00,"0.5","1019.0","15.8","94"
"12",2019-03-24 12:00:00,"0.0","1018.5","16.4","95"
"13",2019-03-24 13:00:00,"X","1017.5","16.5","94"
"14",2019-03-24 14:00:00,"0.0","1016.9","16.5","94"
"15",2019-03-24 15:00:00,"1.5","1015.4","16.6","95"
"16",2019-03-24 16:00:00,"2.0","1015.8","16.7","95"
"17",2019-03-24 17:00:00,"0.0","1016.0","16.6","95"
"18",2019-03-24 18:00:00,"0.5","1016.2","16.6","96"
"19",2019-03-24 19:00:00,"1.0","1016.2","16.5","96"
"20",2019-03-24 20:00:00,"0.0","1016.5","16.4","96"
"21",2019-03-24 21:00:00,"0.0","1016.3","16.3","96"
"22",2019-03-24 22:00:00,"0.0","1016.1","16.5","97"
"23",2019-03-24 23:00:00,"0.0","1015.4","16.6","97"
"24",2019-03-25 00:00:00,"0.0","1014.8","16.8","97"
