"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","973.7","11.3","100"
"2",2019-03-24 02:00:00,"0.0","972.9","11.4","100"
"3",2019-03-24 03:00:00,"1.5","972.6","11.3","100"
"4",2019-03-24 04:00:00,"0.5","972.4","11.6","100"
"5",2019-03-24 05:00:00,"4.0","972.4","11.6","100"
"6",2019-03-24 06:00:00,"1.0","972.2","11.8","100"
"7",2019-03-24 07:00:00,"X","972.5","12.2","100"
"8",2019-03-24 08:00:00,"1.5","973.0","12.4","100"
"9",2019-03-24 09:00:00,"2.0","972.9","12.8","100"
"10",2019-03-24 10:00:00,"0.5","972.7","13.2","100"
"11",2019-03-24 11:00:00,"0.0","972.0","13.9","100"
"12",2019-03-24 12:00:00,"0.0","971.7","14.3","100"
"13",2019-03-24 13:00:00,"0.5","971.3","14.6","100"
"14",2019-03-24 14:00:00,"X","970.5","14.8","100"
"15",2019-03-24 15:00:00,"0.0","969.7","15.2","100"
"16",2019-03-24 16:00:00,"0.5","969.6","15.5","100"
"17",2019-03-24 17:00:00,"0.0","969.8","15.4","100"
"18",2019-03-24 18:00:00,"0.0","969.9","14.7","100"
"19",2019-03-24 19:00:00,"0.0","970.3","14.4","100"
"20",2019-03-24 20:00:00,"X","970.3","14.1","100"
"21",2019-03-24 21:00:00,"X","970.5","14.1","100"
"22",2019-03-24 22:00:00,"0.5","970.2","14.1","100"
"23",2019-03-24 23:00:00,"0.0","969.6","13.9","100"
"24",2019-03-25 00:00:00,"0.0","/","/","/"
