"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","964.9","13.2","73"
"2",2019-03-24 02:00:00,"0.5","964.1","12.5","81"
"3",2019-03-24 03:00:00,"1.0","964.1","11.2","96"
"4",2019-03-24 04:00:00,"2.0","964.1","11.1","98"
"5",2019-03-24 05:00:00,"2.5","963.7","11.3","98"
"6",2019-03-24 06:00:00,"0.5","963.6","11.8","96"
"7",2019-03-24 07:00:00,"0.0","963.5","13.2","83"
"8",2019-03-24 08:00:00,"1.0","964.0","12.3","95"
"9",2019-03-24 09:00:00,"0.5","964.5","13.1","89"
"10",2019-03-24 10:00:00,"0.0","963.6","14.0","85"
"11",2019-03-24 11:00:00,"0.0","964.7","13.3","98"
"12",2019-03-24 12:00:00,"0.5","964.2","13.5","98"
"13",2019-03-24 13:00:00,"0.5","963.8","14.2","98"
"14",2019-03-24 14:00:00,"0.0","962.3","14.5","98"
"15",2019-03-24 15:00:00,"0.5","962.2","15.7","97"
"16",2019-03-24 16:00:00,"0.0","962.7","14.9","98"
"17",2019-03-24 17:00:00,"0.0","963.1","14.8","98"
"18",2019-03-24 18:00:00,"0.0","963.2","14.6","98"
"19",2019-03-24 19:00:00,"0.5","963.3","14.5","98"
"20",2019-03-24 20:00:00,"0.0","963.2","14.4","98"
"21",2019-03-24 21:00:00,"0.0","963.9","14.5","97"
"22",2019-03-24 22:00:00,"0.0","963.4","14.2","98"
"23",2019-03-24 23:00:00,"0.0","963.4","14.2","98"
"24",2019-03-25 00:00:00,"0.0","963.0","14.1","98"
