"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1000.2","13.7","82"
"2",2019-03-24 02:00:00,"0.0","999.9","13.7","83"
"3",2019-03-24 03:00:00,"0.5","999.9","13.1","90"
"4",2019-03-24 04:00:00,"3.0","999.9","12.9","93"
"5",2019-03-24 05:00:00,"0.5","999.5","13.1","93"
"6",2019-03-24 06:00:00,"0.0","999.6","13.4","93"
"7",2019-03-24 07:00:00,"0.0","999.6","13.7","92"
"8",2019-03-24 08:00:00,"0.5","999.8","14.1","92"
"9",2019-03-24 09:00:00,"0.5","1000.6","14.5","94"
"10",2019-03-24 10:00:00,"0.5","1000.3","15.0","94"
"11",2019-03-24 11:00:00,"0.0","1001.1","14.9","95"
"12",2019-03-24 12:00:00,"1.0","1000.3","15.4","96"
"13",2019-03-24 13:00:00,"0.5","999.7","15.6","95"
"14",2019-03-24 14:00:00,"0.0","998.3","15.8","94"
"15",2019-03-24 15:00:00,"0.5","998.4","16.3","95"
"16",2019-03-24 16:00:00,"0.5","998.9","16.2","96"
"17",2019-03-24 17:00:00,"0.0","998.9","16.0","96"
"18",2019-03-24 18:00:00,"0.0","999.2","16.2","97"
"19",2019-03-24 19:00:00,"0.5","999.2","16.0","96"
"20",2019-03-24 20:00:00,"0.0","999.2","15.9","96"
"21",2019-03-24 21:00:00,"0.0","1000.1","16.1","97"
"22",2019-03-24 22:00:00,"0.0","999.5","16.1","97"
"23",2019-03-24 23:00:00,"0.0","999.4","16.1","97"
"24",2019-03-25 00:00:00,"0.5","998.8","16.1","97"
