"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"X","1011.5","13.1","92"
"2",2019-03-24 02:00:00,"X","1011.6","13.2","91"
"3",2019-03-24 03:00:00,"X","1010.8","12.9","93"
"4",2019-03-24 04:00:00,"X","1010.5","13.2","93"
"5",2019-03-24 05:00:00,"X","1011.0","13.2","92"
"6",2019-03-24 06:00:00,"X","1010.2","13.6","90"
"7",2019-03-24 07:00:00,"X","1009.7","14.7","82"
"8",2019-03-24 08:00:00,"X","1010.5","15.4","79"
"9",2019-03-24 09:00:00,"X","1010.6","15.7","84"
"10",2019-03-24 10:00:00,"X","1010.5","16.2","83"
"11",2019-03-24 11:00:00,"X","1010.4","16.5","81"
"12",2019-03-24 12:00:00,"X","1009.9","17.1","82"
"13",2019-03-24 13:00:00,"X","1009.2","17.2","81"
"14",2019-03-24 14:00:00,"X","1007.9","16.9","86"
"15",2019-03-24 15:00:00,"X","1007.9","16.7","89"
"16",2019-03-24 16:00:00,"X","1008.1","16.8","92"
"17",2019-03-24 17:00:00,"X","1008.4","16.9","92"
"18",2019-03-24 18:00:00,"X","1008.6","16.9","90"
"19",2019-03-24 19:00:00,"X","1008.6","17.0","90"
"20",2019-03-24 20:00:00,"X","1008.7","17.0","92"
"21",2019-03-24 21:00:00,"X","1009.5","16.8","94"
"22",2019-03-24 22:00:00,"X","1008.9","16.7","95"
"23",2019-03-24 23:00:00,"X","1008.6","16.7","95"
"24",2019-03-25 00:00:00,"X","1008.2","16.6","95"
