"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1006.5","16.0","86"
"2",2019-03-24 02:00:00,"0.0","1006.8","16.0","80"
"3",2019-03-24 03:00:00,"0.5","1006.6","15.3","85"
"4",2019-03-24 04:00:00,"1.0","1006.3","14.9","89"
"5",2019-03-24 05:00:00,"0.0","1005.6","14.9","89"
"6",2019-03-24 06:00:00,"0.0","1006.8","14.9","90"
"7",2019-03-24 07:00:00,"0.0","1007.3","15.5","89"
"8",2019-03-24 08:00:00,"0.0","1007.9","15.8","89"
"9",2019-03-24 09:00:00,"0.0","1008.1","16.1","91"
"10",2019-03-24 10:00:00,"2.0","1008.8","14.9","95"
"11",2019-03-24 11:00:00,"6.0","1008.7","15.4","96"
"12",2019-03-24 12:00:00,"2.5","1008.1","16.2","96"
"13",2019-03-24 13:00:00,"1.0","1007.1","16.8","96"
"14",2019-03-24 14:00:00,"0.0","1006.1","16.9","96"
"15",2019-03-24 15:00:00,"1.0","1006.2","17.3","96"
"16",2019-03-24 16:00:00,"0.0","1005.9","17.5","95"
"17",2019-03-24 17:00:00,"0.0","1005.8","17.9","95"
"18",2019-03-24 18:00:00,"0.0","1006.1","18.0","96"
"19",2019-03-24 19:00:00,"0.0","1006.4","18.0","96"
"20",2019-03-24 20:00:00,"0.0","1006.9","17.8","96"
"21",2019-03-24 21:00:00,"0.0","1006.7","17.7","96"
"22",2019-03-24 22:00:00,"0.0","1006.9","17.6","96"
"23",2019-03-24 23:00:00,"0.0","1006.8","17.1","96"
"24",2019-03-25 00:00:00,"0.0","1006.3","17.0","96"
