"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","982.3","16.3","88"
"2",2019-03-24 02:00:00,"0.0","981.9","16.6","88"
"3",2019-03-24 03:00:00,"0.0","981.5","16.4","93"
"4",2019-03-24 04:00:00,"0.0","981.5","15.4","94"
"5",2019-03-24 05:00:00,"0.0","981.5","15.7","92"
"6",2019-03-24 06:00:00,"0.5","981.6","15.8","96"
"7",2019-03-24 07:00:00,"1.0","982.4","16.1","97"
"8",2019-03-24 08:00:00,"0.5","983.3","15.3","97"
"9",2019-03-24 09:00:00,"1.5","983.4","15.9","97"
"10",2019-03-24 10:00:00,"1.0","983.8","16.6","98"
"11",2019-03-24 11:00:00,"2.5","983.5","17.0","98"
"12",2019-03-24 12:00:00,"0.0","983.5","17.4","97"
"13",2019-03-24 13:00:00,"1.0","982.7","17.7","95"
"14",2019-03-24 14:00:00,"0.5","981.8","18.2","95"
"15",2019-03-24 15:00:00,"0.0","981.5","18.7","94"
"16",2019-03-24 16:00:00,"0.0","981.3","18.6","93"
"17",2019-03-24 17:00:00,"0.0","981.2","18.1","95"
"18",2019-03-24 18:00:00,"0.5","981.5","18.0","95"
"19",2019-03-24 19:00:00,"0.0","982.0","17.8","96"
"20",2019-03-24 20:00:00,"0.0","982.5","17.8","96"
"21",2019-03-24 21:00:00,"0.0","982.7","17.8","96"
"22",2019-03-24 22:00:00,"0.0","982.6","17.8","96"
"23",2019-03-24 23:00:00,"0.0","982.6","17.7","97"
"24",2019-03-25 00:00:00,"0.0","982.2","17.5","98"
