"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"T","1015.6","14.7","77"
"2",2019-03-24 02:00:00,"0.5","1015.4","14.5","80"
"3",2019-03-24 03:00:00,"0.5","1015.4","14.1","83"
"4",2019-03-24 04:00:00,"3.0","1014.9","14.0","85"
"5",2019-03-24 05:00:00,"0.5","1015.1","14.4","84"
"6",2019-03-24 06:00:00,"T","1014.6","14.8","83"
"7",2019-03-24 07:00:00,"T","1014.3","15.4","80"
"8",2019-03-24 08:00:00,"T","1015.5","15.4","86"
"9",2019-03-24 09:00:00,"0.5","1015.5","15.7","82"
"10",2019-03-24 10:00:00,"0.5","1015.9","16.1","86"
"11",2019-03-24 11:00:00,"0.5","1015.9","15.8","89"
"12",2019-03-24 12:00:00,"T","1015.4","16.3","89"
"13",2019-03-24 13:00:00,"T","1014.6","16.6","89"
"14",2019-03-24 14:00:00,"0.5","1013.4","17.0","88"
"15",2019-03-24 15:00:00,"0.5","1013.4","17.3","89"
"16",2019-03-24 16:00:00,"0.5","1013.5","17.2","89"
"17",2019-03-24 17:00:00,"T","1013.7","17.1","91"
"18",2019-03-24 18:00:00,"T","1014.0","17.2","91"
"19",2019-03-24 19:00:00,"T","1013.9","17.2","91"
"20",2019-03-24 20:00:00,"T","1014.2","17.3","90"
"21",2019-03-24 21:00:00,"T","1014.9","17.4","91"
"22",2019-03-24 22:00:00,"0.0","1014.5","17.2","91"
"23",2019-03-24 23:00:00,"0.0","1014.2","17.1","91"
"24",2019-03-25 00:00:00,"0.5","1013.7","17.2","91"
