"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","676.3","4.2","100"
"2",2019-03-24 02:00:00,"2.5","676.0","4.4","100"
"3",2019-03-24 03:00:00,"3.0","675.7","4.5","100"
"4",2019-03-24 04:00:00,"6.0","675.7","4.9","100"
"5",2019-03-24 05:00:00,"6.5","675.8","4.6","100"
"6",2019-03-24 06:00:00,"3.0","676.0","4.4","100"
"7",2019-03-24 07:00:00,"7.0","676.6","4.4","100"
"8",2019-03-24 08:00:00,"3.5","676.9","4.4","100"
"9",2019-03-24 09:00:00,"1.0","677.2","4.2","100"
"10",2019-03-24 10:00:00,"3.0","677.3","4.3","100"
"11",2019-03-24 11:00:00,"3.5","677.1","3.8","100"
"12",2019-03-24 12:00:00,"1.0","676.8","3.1","100"
"13",2019-03-24 13:00:00,"2.5","676.6","3.0","100"
"14",2019-03-24 14:00:00,"1.5","676.2","2.5","100"
"15",2019-03-24 15:00:00,"0.5","676.0","3.2","100"
"16",2019-03-24 16:00:00,"1.5","676.0","3.5","100"
"17",2019-03-24 17:00:00,"0.5","676.0","3.6","100"
"18",2019-03-24 18:00:00,"0.0","676.4","3.4","100"
"19",2019-03-24 19:00:00,"0.0","676.6","3.5","100"
"20",2019-03-24 20:00:00,"0.0","677.0","3.6","100"
"21",2019-03-24 21:00:00,"0.0","677.2","3.5","100"
"22",2019-03-24 22:00:00,"0.0","677.1","3.5","100"
"23",2019-03-24 23:00:00,"0.5","676.9","3.4","100"
"24",2019-03-25 00:00:00,"0.0","676.6","3.7","100"
