"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","993.4","13.1","86"
"2",2019-03-24 02:00:00,"1.5","993.2","12.3","95"
"3",2019-03-24 03:00:00,"1.0","993.1","12.1","98"
"4",2019-03-24 04:00:00,"3.0","993.0","12.1","99"
"5",2019-03-24 05:00:00,"5.0","992.2","12.2","99"
"6",2019-03-24 06:00:00,"0.5","992.5","12.4","99"
"7",2019-03-24 07:00:00,"0.0","992.6","12.7","99"
"8",2019-03-24 08:00:00,"0.0","993.1","13.3","99"
"9",2019-03-24 09:00:00,"0.5","993.7","13.7","99"
"10",2019-03-24 10:00:00,"0.0","993.3","14.4","99"
"11",2019-03-24 11:00:00,"0.5","994.2","14.1","99"
"12",2019-03-24 12:00:00,"1.0","993.2","14.5","99"
"13",2019-03-24 13:00:00,"0.0","992.7","15.0","99"
"14",2019-03-24 14:00:00,"0.0","991.3","15.7","99"
"15",2019-03-24 15:00:00,"0.0","991.6","16.0","99"
"16",2019-03-24 16:00:00,"1.0","991.8","15.6","99"
"17",2019-03-24 17:00:00,"0.0","992.0","15.8","99"
"18",2019-03-24 18:00:00,"0.0","992.2","15.6","99"
"19",2019-03-24 19:00:00,"0.5","992.2","15.6","99"
"20",2019-03-24 20:00:00,"0.0","992.2","15.6","99"
"21",2019-03-24 21:00:00,"0.0","993.1","15.7","99"
"22",2019-03-24 22:00:00,"0.0","992.5","15.9","99"
"23",2019-03-24 23:00:00,"0.0","992.4","15.9","99"
"24",2019-03-25 00:00:00,"0.5","991.9","16.0","99"
