"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1015.2","15.4","83"
"2",2019-03-24 02:00:00,"0.0","1014.9","15.5","84"
"3",2019-03-24 03:00:00,"0.0","1015.1","14.2","98"
"4",2019-03-24 04:00:00,"1.0","1014.6","13.8","100"
"5",2019-03-24 05:00:00,"3.5","1014.9","13.6","100"
"6",2019-03-24 06:00:00,"1.0","1014.8","13.7","100"
"7",2019-03-24 07:00:00,"0.0","1014.7","14.1","100"
"8",2019-03-24 08:00:00,"0.0","1015.3","14.6","100"
"9",2019-03-24 09:00:00,"0.5","1015.8","15.0","100"
"10",2019-03-24 10:00:00,"0.5","1015.8","15.3","100"
"11",2019-03-24 11:00:00,"0.5","1015.9","15.6","100"
"12",2019-03-24 12:00:00,"0.5","1015.5","15.8","100"
"13",2019-03-24 13:00:00,"0.0","1014.3","16.2","99"
"14",2019-03-24 14:00:00,"0.0","1013.5","17.4","100"
"15",2019-03-24 15:00:00,"0.0","1013.7","17.4","100"
"16",2019-03-24 16:00:00,"0.5","1013.5","17.5","99"
"17",2019-03-24 17:00:00,"0.0","1013.7","16.9","99"
"18",2019-03-24 18:00:00,"0.0","1013.7","17.1","100"
"19",2019-03-24 19:00:00,"0.0","1013.7","17.1","100"
"20",2019-03-24 20:00:00,"0.0","1014.0","17.3","100"
"21",2019-03-24 21:00:00,"0.0","1014.7","17.5","100"
"22",2019-03-24 22:00:00,"0.0","1014.4","17.5","100"
"23",2019-03-24 23:00:00,"0.0","1014.3","17.6","100"
"24",2019-03-25 00:00:00,"0.0","1013.4","17.5","100"
