"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1016.4","16.7","74"
"2",2019-03-24 02:00:00,"0.0","1016.1","16.6","74"
"3",2019-03-24 03:00:00,"0.0","1016.0","16.4","73"
"4",2019-03-24 04:00:00,"0.0","1015.7","16.4","75"
"5",2019-03-24 05:00:00,"0.0","1015.7","16.6","77"
"6",2019-03-24 06:00:00,"0.0","1016.1","15.5","89"
"7",2019-03-24 07:00:00,"0.5","1016.7","15.2","97"
"8",2019-03-24 08:00:00,"1.0","1017.2","15.6","99"
"9",2019-03-24 09:00:00,"0.5","1017.8","15.9","99"
"10",2019-03-24 10:00:00,"1.0","1017.8","15.9","99"
"11",2019-03-24 11:00:00,"1.5","1018.0","16.3","100"
"12",2019-03-24 12:00:00,"0.5","1017.3","16.6","100"
"13",2019-03-24 13:00:00,"1.0","1016.2","17.2","100"
"14",2019-03-24 14:00:00,"0.0","1015.8","18.5","99"
"15",2019-03-24 15:00:00,"0.5","/","/","/"
"16",2019-03-24 16:00:00,"0.0","1015.2","18.6","97"
"17",2019-03-24 17:00:00,"X","1015.2","18.6","97"
"18",2019-03-24 18:00:00,"0.0","1015.6","18.6","97"
"19",2019-03-24 19:00:00,"0.0","1015.8","18.2","99"
"20",2019-03-24 20:00:00,"0.0","1016.3","18.5","100"
"21",2019-03-24 21:00:00,"0.0","1016.4","18.4","100"
"22",2019-03-24 22:00:00,"0.0","1016.2","18.6","100"
"23",2019-03-24 23:00:00,"0.0","1016.2","18.6","100"
"24",2019-03-25 00:00:00,"0.0","1015.5","18.4","100"
