"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"X","989.8","11.8","99"
"2",2019-03-24 02:00:00,"0.5","988.8","11.7","99"
"3",2019-03-24 03:00:00,"1.5","988.6","12.0","99"
"4",2019-03-24 04:00:00,"2.5","988.2","12.0","99"
"5",2019-03-24 05:00:00,"1.5","988.2","12.0","99"
"6",2019-03-24 06:00:00,"0.5","988.4","12.2","99"
"7",2019-03-24 07:00:00,"0.0","988.5","12.4","99"
"8",2019-03-24 08:00:00,"0.5","988.3","13.2","99"
"9",2019-03-24 09:00:00,"0.0","988.7","13.9","99"
"10",2019-03-24 10:00:00,"0.0","988.0","14.4","99"
"11",2019-03-24 11:00:00,"0.5","987.9","14.6","99"
"12",2019-03-24 12:00:00,"0.5","/","/","/"
"13",2019-03-24 13:00:00,"0.0","986.3","15.9","99"
"14",2019-03-24 14:00:00,"0.0","985.7","16.0","99"
"15",2019-03-24 15:00:00,"0.5","984.0","16.1","99"
"16",2019-03-24 16:00:00,"0.5","/","/","/"
"17",2019-03-24 17:00:00,"0.0","/","/","/"
"18",2019-03-24 18:00:00,"0.0","985.1","15.8","99"
"19",2019-03-24 19:00:00,"0.0","985.2","15.7","99"
"20",2019-03-24 20:00:00,"0.0","985.1","15.7","99"
"21",2019-03-24 21:00:00,"0.0","985.1","15.7","99"
"22",2019-03-24 22:00:00,"0.0","985.1","15.8","99"
"23",2019-03-24 23:00:00,"0.0","984.5","15.7","99"
"24",2019-03-25 00:00:00,"0.0","984.0","15.5","99"
