"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1014.8","14.7","73"
"2",2019-03-24 02:00:00,"0.0","1014.4","14.4","77"
"3",2019-03-24 03:00:00,"1.0","1014.8","13.3","89"
"4",2019-03-24 04:00:00,"3.0","1014.2","13.0","93"
"5",2019-03-24 05:00:00,"1.0","1014.3","13.2","92"
"6",2019-03-24 06:00:00,"0.5","1014.4","13.6","91"
"7",2019-03-24 07:00:00,"0.0","1014.0","13.8","91"
"8",2019-03-24 08:00:00,"0.0","1014.8","14.2","93"
"9",2019-03-24 09:00:00,"1.0","1015.1","14.6","91"
"10",2019-03-24 10:00:00,"0.0","1015.2","14.8","91"
"11",2019-03-24 11:00:00,"0.0","1015.4","15.0","92"
"12",2019-03-24 12:00:00,"1.0","1014.9","14.8","92"
"13",2019-03-24 13:00:00,"0.0","1013.7","15.5","92"
"14",2019-03-24 14:00:00,"0.0","1012.8","16.8","88"
"15",2019-03-24 15:00:00,"0.0","1012.9","16.5","91"
"16",2019-03-24 16:00:00,"0.0","1013.0","16.7","92"
"17",2019-03-24 17:00:00,"0.0","1013.2","16.5","92"
"18",2019-03-24 18:00:00,"0.5","1013.3","16.5","94"
"19",2019-03-24 19:00:00,"0.5","1013.2","16.7","94"
"20",2019-03-24 20:00:00,"0.0","1013.5","16.9","93"
"21",2019-03-24 21:00:00,"0.0","1014.2","17.0","94"
"22",2019-03-24 22:00:00,"0.0","1013.8","16.9","95"
"23",2019-03-24 23:00:00,"0.0","1013.6","16.8","95"
"24",2019-03-25 00:00:00,"0.0","1012.8","16.7","95"
