"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","1017.3","18.4","81"
"2",2019-03-24 02:00:00,"0.0","1016.8","19.0","82"
"3",2019-03-24 03:00:00,"0.5","1016.6","19.0","83"
"4",2019-03-24 04:00:00,"0.0","1016.9","18.9","84"
"5",2019-03-24 05:00:00,"0.0","1016.8","18.6","85"
"6",2019-03-24 06:00:00,"0.0","1017.2","19.1","83"
"7",2019-03-24 07:00:00,"0.0","1017.6","19.5","85"
"8",2019-03-24 08:00:00,"0.0","1018.1","20.6","83"
"9",2019-03-24 09:00:00,"0.0","1018.6","20.8","82"
"10",2019-03-24 10:00:00,"0.0","1018.6","21.7","77"
"11",2019-03-24 11:00:00,"0.0","1018.3","22.6","76"
"12",2019-03-24 12:00:00,"0.0","1017.6","23.2","73"
"13",2019-03-24 13:00:00,"0.0","1017.4","23.0","73"
"14",2019-03-24 14:00:00,"0.0","1016.4","24.4","68"
"15",2019-03-24 15:00:00,"0.0","1016.0","23.5","69"
"16",2019-03-24 16:00:00,"0.0","1015.8","23.0","75"
"17",2019-03-24 17:00:00,"0.0","1015.9","22.8","73"
"18",2019-03-24 18:00:00,"0.0","1015.7","22.5","75"
"19",2019-03-24 19:00:00,"0.0","1016.4","22.4","76"
"20",2019-03-24 20:00:00,"0.0","1017.0","22.1","76"
"21",2019-03-24 21:00:00,"0.0","1016.8","21.7","81"
"22",2019-03-24 22:00:00,"0.0","1017.1","21.3","83"
"23",2019-03-24 23:00:00,"0.0","1017.1","21.0","82"
"24",2019-03-25 00:00:00,"0.0","1016.5","20.8","84"
