"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1019.2","11.8","78"
"2",2019-03-24 02:00:00,"0.0","1018.9","10.9","86"
"3",2019-03-24 03:00:00,"0.0","1018.3","11.2","83"
"4",2019-03-24 04:00:00,"T","1017.7","11.7","77"
"5",2019-03-24 05:00:00,"T","1017.4","11.8","76"
"6",2019-03-24 06:00:00,"T","1017.7","11.2","82"
"7",2019-03-24 07:00:00,"1.0","1018.6","11.3","86"
"8",2019-03-24 08:00:00,"1.5","1018.9","11.5","86"
"9",2019-03-24 09:00:00,"5.0","1019.2","11.5","89"
"10",2019-03-24 10:00:00,"1.0","1019.1","12.2","86"
"11",2019-03-24 11:00:00,"0.5","1018.9","13.1","85"
"12",2019-03-24 12:00:00,"0.0","1018.3","13.8","79"
"13",2019-03-24 13:00:00,"0.0","1017.5","14.4","77"
"14",2019-03-24 14:00:00,"0.0","1016.5","14.9","73"
"15",2019-03-24 15:00:00,"0.0","1016.0","14.9","74"
"16",2019-03-24 16:00:00,"T","1015.6","14.4","78"
"17",2019-03-24 17:00:00,"T","1015.3","13.9","82"
"18",2019-03-24 18:00:00,"T","1016.1","13.5","83"
"19",2019-03-24 19:00:00,"T","1016.2","13.7","82"
"20",2019-03-24 20:00:00,"T","1016.3","13.8","80"
"21",2019-03-24 21:00:00,"T","1017.3","13.7","80"
"22",2019-03-24 22:00:00,"0.0","1015.7","13.3","83"
"23",2019-03-24 23:00:00,"0.0","1016.2","13.2","86"
"24",2019-03-25 00:00:00,"0.0","1016.0","13.8","85"
