"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.5","989.4","12.2","99"
"2",2019-03-24 02:00:00,"0.0","988.8","12.0","99"
"3",2019-03-24 03:00:00,"2.5","988.8","12.2","99"
"4",2019-03-24 04:00:00,"0.5","988.1","12.1","99"
"5",2019-03-24 05:00:00,"0.5","987.5","12.3","99"
"6",2019-03-24 06:00:00,"0.0","987.5","12.5","99"
"7",2019-03-24 07:00:00,"0.0","987.2","13.1","94"
"8",2019-03-24 08:00:00,"0.0","987.6","14.0","88"
"9",2019-03-24 09:00:00,"0.0","987.6","14.5","90"
"10",2019-03-24 10:00:00,"0.0","987.1","14.8","91"
"11",2019-03-24 11:00:00,"0.0","987.6","15.7","85"
"12",2019-03-24 12:00:00,"0.0","987.2","15.9","87"
"13",2019-03-24 13:00:00,"0.5","986.6","15.8","90"
"14",2019-03-24 14:00:00,"X","985.4","16.0","91"
"15",2019-03-24 15:00:00,"0.0","985.2","15.9","95"
"16",2019-03-24 16:00:00,"0.0","985.4","16.4","91"
"17",2019-03-24 17:00:00,"0.0","985.8","16.4","93"
"18",2019-03-24 18:00:00,"0.0","986.0","16.5","94"
"19",2019-03-24 19:00:00,"0.0","986.2","16.5","94"
"20",2019-03-24 20:00:00,"0.0","986.0","16.7","94"
"21",2019-03-24 21:00:00,"0.0","986.5","16.9","94"
"22",2019-03-24 22:00:00,"0.0","986.0","17.1","93"
"23",2019-03-24 23:00:00,"0.0","985.5","17.1","94"
"24",2019-03-25 00:00:00,"0.0","985.3","17.0","96"
