"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","1006.0","16.1","86"
"2",2019-03-24 02:00:00,"0.0","1006.1","16.0","81"
"3",2019-03-24 03:00:00,"0.0","1005.9","15.1","89"
"4",2019-03-24 04:00:00,"1.0","1005.8","14.6","95"
"5",2019-03-24 05:00:00,"0.0","1005.1","14.9","95"
"6",2019-03-24 06:00:00,"0.0","1006.1","15.4","91"
"7",2019-03-24 07:00:00,"0.0","1006.8","15.2","94"
"8",2019-03-24 08:00:00,"0.0","1007.5","15.9","93"
"9",2019-03-24 09:00:00,"2.5","1007.5","15.3","97"
"10",2019-03-24 10:00:00,"10.5","1008.2","14.6","98"
"11",2019-03-24 11:00:00,"2.0","1008.0","15.5","98"
"12",2019-03-24 12:00:00,"1.5","1007.5","16.0","98"
"13",2019-03-24 13:00:00,"0.5","1006.6","16.6","98"
"14",2019-03-24 14:00:00,"0.0","1005.7","17.2","98"
"15",2019-03-24 15:00:00,"0.5","1005.6","17.2","98"
"16",2019-03-24 16:00:00,"0.0","1005.2","17.5","97"
"17",2019-03-24 17:00:00,"0.0","1005.2","17.9","98"
"18",2019-03-24 18:00:00,"0.0","1005.6","18.0","98"
"19",2019-03-24 19:00:00,"0.0","1005.9","17.9","98"
"20",2019-03-24 20:00:00,"0.0","1006.4","17.8","98"
"21",2019-03-24 21:00:00,"0.0","1006.2","17.6","98"
"22",2019-03-24 22:00:00,"0.0","1006.3","17.5","98"
"23",2019-03-24 23:00:00,"0.0","1006.2","17.3","98"
"24",2019-03-25 00:00:00,"0.0","1006.0","17.3","98"
