"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,"0.0","782.2","10.7","100"
"2",2019-03-24 02:00:00,"0.0","781.9","10.2","100"
"3",2019-03-24 03:00:00,"2.0","781.7","10.4","100"
"4",2019-03-24 04:00:00,"2.0","781.4","10.4","100"
"5",2019-03-24 05:00:00,"1.0","781.4","10.2","100"
"6",2019-03-24 06:00:00,"3.0","781.9","10.2","100"
"7",2019-03-24 07:00:00,"2.0","782.3","9.7","100"
"8",2019-03-24 08:00:00,"0.5","782.9","9.9","100"
"9",2019-03-24 09:00:00,"0.0","783.2","10.1","100"
"10",2019-03-24 10:00:00,"0.5","783.3","10.1","100"
"11",2019-03-24 11:00:00,"0.5","783.3","10.2","100"
"12",2019-03-24 12:00:00,"0.0","782.9","10.2","100"
"13",2019-03-24 13:00:00,"0.5","782.8","10.0","100"
"14",2019-03-24 14:00:00,"0.0","782.3","10.7","100"
"15",2019-03-24 15:00:00,"0.5","782.0","10.4","100"
"16",2019-03-24 16:00:00,"0.5","781.9","10.3","100"
"17",2019-03-24 17:00:00,"0.0","781.9","9.9","100"
"18",2019-03-24 18:00:00,"0.0","782.3","9.5","100"
"19",2019-03-24 19:00:00,"0.0","782.4","9.3","100"
"20",2019-03-24 20:00:00,"0.0","782.9","9.2","100"
"21",2019-03-24 21:00:00,"0.0","783.3","9.3","100"
"22",2019-03-24 22:00:00,"0.0","783.2","9.5","100"
"23",2019-03-24 23:00:00,"0.0","783.0","9.4","100"
"24",2019-03-25 00:00:00,"0.0","782.7","9.6","100"
